title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Green Seedless Grapes 1.5lb/Pack,,,Produce->Fruit & Vegetable->Fruit,,4.49,,1.99,,,,,PFVF053,PFVF053.JPG,,non-taxable ,zero-rate
Red Seedless Grapes 1.5lb/Pack ,,,Produce->Fruit & Vegetable->Fruit,,4.49,,1.99,,,,,PFVF054,PFVF054.JPG,,non-taxable ,zero-rate
Compliments 12 Large Size Eggs,,,Groceries->Eggs,,2.85,,1.99,,,,,GE020,GE020.JPG,,taxable,standard-rate
Gala Apples 0.5lb,,,Produce->Fruit & Vegetable->Fruit,,0.99,,0.49,,,,,PFVF024,PFVF024.JPG,,non-taxable ,zero-rate
Red Delicious Apples 0.5lb/Each ,,,Produce->Fruit & Vegetable->Fruit,,0.99,,0.49,,,,,PFVF026,PFVF026.JPG,,non-taxable ,zero-rate
Fuji Apples 0.5lb/Each,,,Produce->Fruit & Vegetable->Fruit,,0.99,,0.49,,,,,PFVF027,PFVF027.JPG,,non-taxable ,zero-rate
Papaya 2.7lb/Each,,,Produce->Fruit & Vegetable->Fruit,,3.99,,2.79,,,,,PFVF044,PFVF044.JPG,,non-taxable ,zero-rate
Christie Crispers Sour Crean & Onion 200g,,,Snacks & Candies->Cookies & Biscuits->Crackers,,3.49,,1.99,,,,,SCCR121,SCCR121.JPG,,taxable,standard-rate
Christie Crispers Barbecue 200g,,,Snacks & Candies->Cookies & Biscuits->Crackers,,3.49,,1.99,,,,,SCCR122,SCCR122.JPG,,taxable,standard-rate
Christie Crispers Ranch 200g,,,Snacks & Candies->Cookies & Biscuits->Crackers,,3.49,,1.99,,,,,SCCR125,SCCR125.JPG,,taxable,standard-rate
Quaker Instant Oatmeal Apple Cinnamon 10Pk 325g,,,Groceries->Cereal & Breakfast->Oatmeal,,3.79,,2.49,,,,,GCO007,GCO007.JPG,,taxable,standard-rate
Quaker Instant Oatmeal Maple & Brown Sugar 430g,,,Groceries->Cereal & Breakfast->Oatmeal,,3.79,,2.49,,,,,GCO010,GCO010.JPG,,taxable,standard-rate
Quaker Instant Oatmeal Regular 336g ,,,Groceries->Cereal & Breakfast->Oatmeal,,3.79,,2.49,,,,,GCO013,GCO013.JPG,,taxable,standard-rate
Olay Quench Body Wash 354ml,,,Home & Lifestyle->Personal Care->Body Wash,,5.79,,3.59,,,,,HLPCBW045,HLPCBW045.JPG,,taxable ,standard-rate
Olay Soothing Cucumber Cleansing Body Wash 354ml,,,Home & Lifestyle->Personal Care->Body Wash,,5.79,,3.59,,,,,HLPCBW046,HLPCBW046.JPG,,taxable ,standard-rate
Old Spice Fiji Body Wash 473ml,,,Home & Lifestyle->Personal Care->Body Wash,,4.99,,3.99,,,,,HLPCBW072,HLPCBW072.JPG,,taxable ,standard-rate
Old Spice Matt Denali Body Wash 473ml,,,Home & Lifestyle->Personal Care->Body Wash,,4.99,,3.99,,,,,HLPCBW076,HLPCBW076.JPG,,taxable ,standard-rate
Nestle Spring Water 500ml 24Pk ,,,Beverages->Water->Spring Water,,4.99,,3.49,,,,,BWSW005,BWSW005.JPG,,non-taxable,zero-rate
Lays Sour Cream & Onion 270g,,,Snacks & Candies->Chips & Popcorn->Lays ,,3.49,,2.79,,,,,SCL001,SCL001.JPG,,taxable ,standard-rate 
Lays BBQ 270g ,,,Snacks & Candies->Chips & Popcorn->Lays ,,3.49,,2.79,,,,,SCL008,SCL008.JPG,,taxable ,standard-rate 
