title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Finesse Firm Control Mousse 150g,,,Home & Lifestyle->Personal Care->Hair Enhancement ,,3.49,,,,,,,HLPCHE001,HLPCHE001.JPG,,taxable,standard-rate
Finesse Firm Hold Hairspray 300ml,,,Home & Lifestyle->Personal Care->Hair Enhancement ,,3.49,,,,,,,HLPCHE002,HLPCHE002.JPG,,taxable,standard-rate
Finesse Firm Hold Unscented Hairspray 300ml,,,Home & Lifestyle->Personal Care->Hair Enhancement ,,3.49,,,,,,,HLPCHE003,HLPCHE003.JPG,,taxable,standard-rate
Finesse Firm Hold Hairspray Faster Drying 300ml,,,Home & Lifestyle->Personal Care->Hair Enhancement ,,3.49,,,,,,,HLPCHE004,HLPCHE004.JPG,,taxable,standard-rate
Alberto ExtraHold Styling Gel 200ml,,,Home & Lifestyle->Personal Care->Hair Enhancement ,,3.99,,,,,,,HLPCHE005,HLPCHE005.JPG,,taxable,standard-rate
Alberto Extra Hold Styling Mousse 226g,,,Home & Lifestyle->Personal Care->Hair Enhancement ,,3.99,,,,,,,HLPCHE006,HLPCHE006.JPG,,taxable,standard-rate
Alberto Extra Hold Weather Resistant Hairspray 300ml,,,Home & Lifestyle->Personal Care->Hair Enhancement ,,3.99,,,,,,,HLPCHE007,HLPCHE007.JPG,,taxable,standard-rate
Alberto Extra Hold Unscented Weather Resistant Hairspray 300ml,,,Home & Lifestyle->Personal Care->Hair Enhancement ,,3.99,,,,,,,HLPCHE008,HLPCHE008.JPG,,taxable,standard-rate
Alberto Extra Hold Weather Resistant Hairspray 213g,,,Home & Lifestyle->Personal Care->Hair Enhancement ,,3.99,,,,,,,HLPCHE009,HLPCHE009.JPG,,taxable,standard-rate
Alberto Extra Hold Unscented Weather Resistant Hairspray 213g,,,Home & Lifestyle->Personal Care->Hair Enhancement ,,3.99,,,,,,,HLPCHE010,HLPCHE010.JPG,,taxable,standard-rate
Garnier Fructis Style Wax 75ml,,,Home & Lifestyle->Personal Care->Hair Enhancement ,,6.49,,,,,,,HLPCHE011,HLPCHE011.JPG,,taxable,standard-rate
Garnier Fructis Style Beach Look Flexible 150ml,,,Home & Lifestyle->Personal Care->Hair Enhancement ,,6.49,,,,,,,HLPCHE012,HLPCHE012.JPG,,taxable,standard-rate
