title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Oral-B Scope Complete Value Pack Soft 2Pk,,,Home & Lifestyle->Oral Care->Toothbrush,,7.29,,,,,,,HLOCTB001,HLOCTB001.JPG,,taxable,standard-rate
Oral-B Scope Complete Medium,,,Home & Lifestyle->Oral Care->Toothbrush,,3.99,,,,,,,HLOCTB002,HLOCTB002.JPG,,taxable,standard-rate
Oral-B Complete Soft,,,Home & Lifestyle->Oral Care->Toothbrush,,3.99,,,,,,,HLOCTB003,HLOCTB003.JPG,,taxable,standard-rate
Compliments Circular Medium,,,Home & Lifestyle->Oral Care->Toothbrush,,1.49,,,,,,,HLOCTB004,HLOCTB004.JPG,,taxable,standard-rate
Compliments Ultra Max Soft,,,Home & Lifestyle->Oral Care->Toothbrush,,1.49,,,,,,,HLOCTB005,HLOCTB005.JPG,,taxable,standard-rate
Compliments Ultra Max Medium,,,Home & Lifestyle->Oral Care->Toothbrush,,1.79,,,,,,,HLOCTB006,HLOCTB006.JPG,,taxable,standard-rate
Oral-B Pro-Health Soft,,,Home & Lifestyle->Oral Care->Toothbrush,,4.99,,,,,,,HLOCTB007,HLOCTB007.JPG,,taxable,standard-rate
Oral-B Pro-Health Soft 8yr,,,Home & Lifestyle->Oral Care->Toothbrush,,4.99,,,,,,,HLOCTB008,HLOCTB008.JPG,,taxable,standard-rate
Oral-B 3D White Action Electronic ,,,Home & Lifestyle->Oral Care->Toothbrush,,9.99,,,,,,,HLOCTB009,HLOCTB009.JPG,,taxable,standard-rate
Oral-B Indicator Value Pack Soft 2Pk,,,Home & Lifestyle->Oral Care->Toothbrush,,4.49,,,,,,,HLOCTB010,HLOCTB010.JPG,,taxable,standard-rate
Oral-B Pro-Health Medium,,,Home & Lifestyle->Oral Care->Toothbrush,,4.99,,,,,,,HLOCTB011,HLOCTB011.JPG,,taxable,standard-rate
Oral-B CrossAction Soft ,,,Home & Lifestyle->Oral Care->Toothbrush,,4.99,,,,,,,HLOCTB012,HLOCTB012.JPG,,taxable,standard-rate
Oral-B Indicator Soft,,,Home & Lifestyle->Oral Care->Toothbrush,,2.79,,,,,,,HLOCTB013,HLOCTB013.JPG,,taxable,standard-rate
Oral-B Indicator Nettoyage Contour Clean Medium,,,Home & Lifestyle->Oral Care->Toothbrush,,2.79,,,,,,,HLOCTB014,HLOCTB014.JPG,,taxable,standard-rate
Oral-B Indicator Nettoyage Contour Clean Soft,,,Home & Lifestyle->Oral Care->Toothbrush,,2.79,,,,,,,HLOCTB015,HLOCTB015.JPG,,taxable,standard-rate
Colgate 360 Value Pack Soft 2Pk ,,,Home & Lifestyle->Oral Care->Toothbrush,,8.99,,,,,,,HLOCTB016,HLOCTB016.JPG,,taxable,standard-rate
Colgate 360 Medium ,,,Home & Lifestyle->Oral Care->Toothbrush,,4.49,,,,,,,HLOCTB017,HLOCTB017.JPG,,taxable,standard-rate
Colgate 360 Soft ,,,Home & Lifestyle->Oral Care->Toothbrush,,6.49,,,,,,,HLOCTB018,HLOCTB018.JPG,,taxable,standard-rate
Colgate 360 Ultra Soft ,,,Home & Lifestyle->Oral Care->Toothbrush,,6.99,,,,,,,HLOCTB019,HLOCTB019.JPG,,taxable,standard-rate
Colgate MaxWhite Medium,,,Home & Lifestyle->Oral Care->Toothbrush,,2.99,,,,,,,HLOCTB020,HLOCTB020.JPG,,taxable,standard-rate
Colgate MaxWhite Soft,,,Home & Lifestyle->Oral Care->Toothbrush,,3.79,,,,,,,HLOCTB021,HLOCTB021.JPG,,taxable,standard-rate
Colgate MaxFresh Medium,,,Home & Lifestyle->Oral Care->Toothbrush,,3.79,,,,,,,HLOCTB022,HLOCTB022.JPG,,taxable,standard-rate
Colgate Twister Medium,,,Home & Lifestyle->Oral Care->Toothbrush,,3.49,,,,,,,HLOCTB023,HLOCTB023.JPG,,taxable,standard-rate
Colgate Twister Soft,,,Home & Lifestyle->Oral Care->Toothbrush,,3.49,,,,,,,HLOCTB024,HLOCTB024.JPG,,taxable,standard-rate
Colgate ZigZag Medium,,,Home & Lifestyle->Oral Care->Toothbrush,,3.49,,,,,,,HLOCTB025,HLOCTB025.JPG,,taxable,standard-rate
Colgate ZigZag Soft,,,Home & Lifestyle->Oral Care->Toothbrush,,3.49,,,,,,,HLOCTB026,HLOCTB026.JPG,,taxable,standard-rate
Colgate 360 Electronic Refill Soft 2Pk,,,Home & Lifestyle->Oral Care->Toothbrush,,8.99,,,,,,,HLOCTB027,HLOCTB027.JPG,,taxable,standard-rate
Colgate 360 Electronic Refill Medium 2Pk,,,Home & Lifestyle->Oral Care->Toothbrush,,8.99,,,,,,,HLOCTB028,HLOCTB028.JPG,,taxable,standard-rate
Colgate 360 ActiFlex Sonic Power Electronic Soft,,,Home & Lifestyle->Oral Care->Toothbrush,,8.49,,,,,,,HLOCTB029,HLOCTB029.JPG,,taxable,standard-rate
Colgate 360 MaxWhite Sonic Power Electronic Soft,,,Home & Lifestyle->Oral Care->Toothbrush,,8.49,,,,,,,HLOCTB030,HLOCTB030.JPG,,taxable,standard-rate
Colgate 360 MaxWhite Sonic Power Electronic Medium,,,Home & Lifestyle->Oral Care->Toothbrush,,7.99,,,,,,,HLOCTB031,HLOCTB031.JPG,,taxable,standard-rate
Spinbrush Swirl Electronic Toothbrush Soft,,,Home & Lifestyle->Oral Care->Toothbrush,,5.99,,,,,,,HLOCTB032,HLOCTB032.JPG,,taxable,standard-rate
Oral-B Complete Value Pack Medium 2Pk ,,,Home & Lifestyle->Oral Care->Toothbrush,,7.49,,,,,,,HLOCTB033,HLOCTB033.JPG,,taxable,standard-rate
Spinbrush Pro CleanNet Electronic Toothbrush Medium,,,Home & Lifestyle->Oral Care->Toothbrush,,9.99,,,,,,,HLOCTB034,HLOCTB034.JPG,,taxable,standard-rate
Spinbrush Pro CleanNet Electronic Teethbrush Soft,,,Home & Lifestyle->Oral Care->Toothbrush,,9.99,,,,,,,HLOCTB035,HLOCTB035.JPG,,taxable,standard-rate
Compliments Cross Angled Medium,,,Home & Lifestyle->Oral Care->Toothbrush,,1.79,,,,,,,HLOCTB036,HLOCTB036.JPG,,taxable,standard-rate
Compliments Cross Angled Soft,,,Home & Lifestyle->Oral Care->Toothbrush,,1.79,,,,,,,HLOCTB037,HLOCTB037.JPG,,taxable,standard-rate
