Dept.,Crs.,Sections,E/En,Prov.,R/O,Author,Title,Vl,Ed,Publisher,Cp,B,Price,Category,Picture,tax_status,tax_class,,Default
AB,101,A,132,47,R,BRUSTARD ET AL,ALIF BAA WITH DVDS INTRODUCTION TO ARABIC LETT,,3,LOGIN,,P,62.95,Textbook->Arabic->100,AB101A.JPG,taxable,standard-rate,,*
AB,101,B,132,47,R,BRUSTARD ET AL,ALIF BAA WITH DVDS INTRODUCTION TO ARABIC LETT,,3,LOGIN,,P,62.95,Textbook->Arabic->100,AB101B.JPG,taxable,standard-rate,,*
AB,201,A,46,8,R,BRUSTARD K,AL KITAAB FII TA CALLUM ARABIYYA/DVDS,,3,LOGIN,,P,87.95,Textbook->Arabic->200,AB201A.JPG,taxable,standard-rate,,
AF,101A,A,22,17,R,SEEMAN E,HURON WENDAT FEAST OF THE DEAD,,,LOGIN,20,P,21.95,Textbook->Faculty of Arts->100,AF101AA01.JPG,taxable,standard-rate,,
AF,101A,A,22,5,R,UBELAKER DH,HUMAN SKELETAL REMAINS EXCAVATION ANALYSIS INT,,,TAX,,,21.35,Textbook->Faculty of Arts->100,AF101AA02.JPG,taxable,standard-rate,,
AF,101B,A,22,10,R,LEDDY M,OUR FRIENDLY LOCAL TERRORIST,,,UTP,,,24.95,Textbook->Faculty of Arts->100,AF101BA.JPG,taxable,standard-rate,,
AF,101D,A,22,22,R,BRETON R,DIFFERENT GODS INTEGRATING NON CHRISTIAN MINOR,,,MCGILL,20,P,27.95,Textbook->Faculty of Arts->100,AF101DA01.JPG,taxable,standard-rate,,
AF,101D,A,22,22,R,SCOTT J,RELIGIONS OF CANADIANS,,,UTP,20,P,46.95,Textbook->Faculty of Arts->100,AF101DA02.JPG,taxable,standard-rate,,
AF,101E,A,0,22,R,BURROWAY J,IMAGINATIVE WRITING 3RD,,3,PEARSON,,P,62.95,Textbook->Faculty of Arts->100,AF101EA01.JPG,taxable,standard-rate,,
AF,101E,A,0,22,R,CISNEROS S,HOUSE ON MANGO STREET,,,RANDOM,,P,14,Textbook->Faculty of Arts->100,AF101EA02.JPG,taxable,standard-rate,,
