title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Cesar Double Delights Filet Mignon 150g,,,Dog->Biscuits & Treats->Grocery,,3.99,,,,,,,DBTG001,DBTG001.JPG,,taxable ,standard-rate
Iams Shakeables Soft & Chewy Treats with Turkey 170g,,,Dog->Biscuits & Treats->Grocery,,3.99,,,,,,,DBTG002,DBTG002.JPG,,taxable ,standard-rate
Iams Shakeables Soft & Chewy Treats with Chicken 170g,,,Dog->Biscuits & Treats->Grocery,,3.99,,,,,,,DBTG003,DBTG003.JPG,,taxable ,standard-rate
Iams Shakeables Soft & Chewy Treats with Lamb 170g,,,Dog->Biscuits & Treats->Grocery,,3.99,,,,,,,DBTG004,DBTG004.JPG,,taxable ,standard-rate
Iams ProActive Health Adult Lamb Meal & Rice Biscuits 680g,,,Dog->Biscuits & Treats->Grocery,,5.99,,,,,,,DBTG005,DBTG005.JPG,,taxable ,standard-rate
Iams ProActive Health Adult Large Biscuits 680g,,,Dog->Biscuits & Treats->Grocery,,5.49,,,,,,,DBTG006,DBTG006.JPG,,taxable ,standard-rate
Iams ProActive Health Adult Small Biscuits 680g,,,Dog->Biscuits & Treats->Grocery,,5.49,,,,,,,DBTG007,DBTG007.JPG,,taxable ,standard-rate
Iams ProActive Health Adult Puppy Biscuits 680g,,,Dog->Biscuits & Treats->Grocery,,5.49,,,,,,,DBTG008,DBTG008.JPG,,taxable ,standard-rate
Jerky Treats American Beef 170g,,,Dog->Biscuits & Treats->Grocery,,3.99,,,,,,,DBTG009,DBTG009.JPG,,taxable ,standard-rate
Kong Liver Easy Treat - Paste 225g,,,Dog->Biscuits & Treats->Grocery,,12.99,,,,,,,DBTG010,DBTG010.JPG,,taxable ,standard-rate
Kong Peanut Butter Easy Treat - Paste 225g,,,Dog->Biscuits & Treats->Grocery,,12.99,,,,,,,DBTG011,DBTG011.JPG,,taxable ,standard-rate
Kong Puppy Easy Treat - Paste 225g,,,Dog->Biscuits & Treats->Grocery,,12.99,,,,,,,DBTG012,DBTG012.JPG,,taxable ,standard-rate
Kong Ziggies Small 12Pk,,,Dog->Biscuits & Treats->Grocery,,12.99,,,,,,,DBTG013,DBTG013.JPG,,taxable ,standard-rate
Kong Ziggies Large 6Pk,,,Dog->Biscuits & Treats->Grocery,,12.99,,,,,,,DBTG014,DBTG014.JPG,,taxable ,standard-rate
Kong Ziggies Puppy Small 12Pk,,,Dog->Biscuits & Treats->Grocery,,12.99,,,,,,,DBTG015,DBTG015.JPG,,taxable ,standard-rate
Kong Ziggies Puppy Large 6Pk,,,Dog->Biscuits & Treats->Grocery,,12.99,,,,,,,DBTG016,DBTG016.JPG,,taxable ,standard-rate
Milk Bone Soft & Chewy Steak & Cheese 113g,,,Dog->Biscuits & Treats->Grocery,,2.88,,,,,,,DBTG017,DBTG017.JPG,,taxable ,standard-rate
Milk Bone Soft & Chewy Chicken Drumstix 113g,,,Dog->Biscuits & Treats->Grocery,,2.88,,,,,,,DBTG018,DBTG018.JPG,,taxable ,standard-rate
Milk Bone Soft & Chewy Ham & Cheesers 113g,,,Dog->Biscuits & Treats->Grocery,,2.88,,,,,,,DBTG019,DBTG019.JPG,,taxable ,standard-rate
Pedigree Breathbuster 500g,,,Dog->Biscuits & Treats->Grocery,,5.99,,,,,,,DBTG020,DBTG020.JPG,,taxable ,standard-rate
Pedigree Breathbuster for Small Dogs 500g,,,Dog->Biscuits & Treats->Grocery,,5.99,,,,,,,DBTG021,DBTG021.JPG,,taxable ,standard-rate
Pedigree Stix Original Small Dogs 158g,,,Dog->Biscuits & Treats->Grocery,,5.99,,,,,,,DBTG022,DBTG022.JPG,,taxable ,standard-rate
Pedigree Stix Original Medium Dogs 172g,,,Dog->Biscuits & Treats->Grocery,,5.99,,,,,,,DBTG023,DBTG023.JPG,,taxable ,standard-rate
Pup-Peroni Original Beef 158g,,,Dog->Biscuits & Treats->Grocery,,3.99,,,,,,,DBTG024,DBTG024.JPG,,taxable ,standard-rate
Snausages In a Blanket Beef 196g,,,Dog->Biscuits & Treats->Grocery,,2.98,,,,,,,DBTG025,DBTG025.JPG,,taxable ,standard-rate
Snausages In a Blanket Beef & Cheese 196g,,,Dog->Biscuits & Treats->Grocery,,2.98,,,,,,,DBTG026,DBTG026.JPG,,taxable ,standard-rate
Yip Yap Dog Breath Treat Tin 40g,,,Dog->Biscuits & Treats->Grocery,,4.99,,,,,,,DBTG027,DBTG027.JPG,,taxable ,standard-rate
