title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Beefeaters BBQ's Mixed 255g,,,Dog->Biscuits & Treats->Rawhide ,,9.99,,,,,,,DBTR001,DBTR001.JPG,,taxable,standard-rate
Beefeaters Chicken Stix 30Pk,,,Dog->Biscuits & Treats->Rawhide ,,8.99,,,,,,,DBTR002,DBTR002.JPG,,taxable,standard-rate
Beefeaters Chicken Tops Knotted Bone 5'' ,,,Dog->Biscuits & Treats->Rawhide ,,6.99,,,,,,,DBTR003,DBTR003.JPG,,taxable,standard-rate
Beefeaters Chicken Tops Knotted Bone 7'',,,Dog->Biscuits & Treats->Rawhide ,,9.99,,,,,,,DBTR004,DBTR004.JPG,,taxable,standard-rate
Beefeaters Chicken Tops Knotted Bone 9'',,,Dog->Biscuits & Treats->Rawhide ,,11.99,,,,,,,DBTR005,DBTR005.JPG,,taxable,standard-rate
Beefeaters Chicken Tops 2.5'',,,Dog->Biscuits & Treats->Rawhide ,,9.99,,,,,,,DBTR006,DBTR006.JPG,,taxable,standard-rate
Beefeaters Chicken Tops 5'',,,Dog->Biscuits & Treats->Rawhide ,,9.99,,,,,,,DBTR007,DBTR007.JPG,,taxable,standard-rate
Beefeaters Chicken Top 7'',,,Dog->Biscuits & Treats->Rawhide ,,12.99,,,,,,,DBTR008,DBTR008.JPG,,taxable,standard-rate
Beefeaters Chicken Wrapped ,,,Dog->Biscuits & Treats->Rawhide ,,7.99,,,,,,,DBTR009,DBTR009.JPG,,taxable,standard-rate
Beefeaters Duck Wrapped ,,,Dog->Biscuits & Treats->Rawhide ,,7.99,,,,,,,DBTR010,DBTR010.JPG,,taxable,standard-rate
Beefeaters Liver Stix ,,,Dog->Biscuits & Treats->Rawhide ,,8.99,,,,,,,DBTR011,DBTR011.JPG,,taxable,standard-rate
Beefeaters Liver Tops ,,,Dog->Biscuits & Treats->Rawhide ,,6.99,,,,,,,DBTR012,DBTR012.JPG,,taxable,standard-rate
Beefeaters Liver Twists Size Small 5'',,,Dog->Biscuits & Treats->Rawhide ,,7.99,,,,,,,DBTR013,DBTR013.JPG,,taxable,standard-rate
Beefeaters Liver Twists Size Large 5'',,,Dog->Biscuits & Treats->Rawhide ,,7.99,,,,,,,DBTR014,DBTR014.JPG,,taxable,standard-rate
Beefeaters Piggy Twists 8Pk,,,Dog->Biscuits & Treats->Rawhide ,,6.99,,,,,,,DBTR015,DBTR015.JPG,,taxable,standard-rate
Beefeaters Piggy Twists 20Pk,,,Dog->Biscuits & Treats->Rawhide ,,12.99,,,,,,,DBTR016,DBTR016.JPG,,taxable,standard-rate
Beefeaters Sweet Potato Stix ,,,Dog->Biscuits & Treats->Rawhide ,,8.99,,,,,,,DBTR017,DBTR017.JPG,,taxable,standard-rate
Beefeaters Sweet Potato Tops 170g,,,Dog->Biscuits & Treats->Rawhide ,,6.99,,,,,,,DBTR018,DBTR018.JPG,,taxable,standard-rate
Beefeaters Sweet Potato Chips 500g ,,,Dog->Biscuits & Treats->Rawhide ,,9.99,,,,,,,DBTR019,DBTR019.JPG,,taxable,standard-rate
Beefeaters Sweet Potato Twists Size Small 5'',,,Dog->Biscuits & Treats->Rawhide ,,7.99,,,,,,,DBTR020,DBTR020.JPG,,taxable,standard-rate
Beefeaters Sweet Potato Twists Size Large 5'',,,Dog->Biscuits & Treats->Rawhide ,,7.99,,,,,,,DBTR021,DBTR021.JPG,,taxable,standard-rate
Beefeaters Sweet Potato Wrapped 142g,,,Dog->Biscuits & Treats->Rawhide ,,7.99,,,,,,,DBTR022,DBTR022.JPG,,taxable,standard-rate
Beefeaters Swizzles 10-11'',,,Dog->Biscuits & Treats->Rawhide ,,5.99,,,,,,,DBTR023,DBTR023.JPG,,taxable,standard-rate
Dogit Beefhide Knotted Bone Size Mini 10cm ,,,Dog->Biscuits & Treats->Rawhide ,,1.79,,,,,,,DBTR024,DBTR024.JPG,,taxable,standard-rate
Dogit Beefhide Knotted Bone Size Small 15.2 - 16.5cm ,,,Dog->Biscuits & Treats->Rawhide ,,3.59,,,,,,,DBTR025,DBTR025.JPG,,taxable,standard-rate
Dogit Beefhide Knotted Bone Small Value Pack 300g ,,,Dog->Biscuits & Treats->Rawhide ,,12.99,,,,,,,DBTR026,DBTR026.JPG,,taxable,standard-rate
Dogit Beefhide Knotted Bone Size Medium 20.3 - 22.8cm,,,Dog->Biscuits & Treats->Rawhide ,,5.39,,,,,,,DBTR027,DBTR027.JPG,,taxable,standard-rate
Dogit Beefhide Knotted Bone Size Medium Value Pack 600g,,,Dog->Biscuits & Treats->Rawhide ,,24.99,,,,,,,DBTR028,DBTR028.JPG,,taxable,standard-rate
Dogit Beefhide Knotted Bone Size Large 22.8 - 25.4cm,,,Dog->Biscuits & Treats->Rawhide ,,7.99,,,,,,,DBTR029,DBTR029.JPG,,taxable,standard-rate
Dogit Beefhide Knotted Bone Size Extra Large 33 - 34.2cm,,,Dog->Biscuits & Treats->Rawhide ,,14.99,,,,,,,DBTR030,DBTR030.JPG,,taxable,standard-rate
Dogit Beefhide Knotted Bone Size Super Large 43 - 45.7cm,,,Dog->Biscuits & Treats->Rawhide ,,22.99,,,,,,,DBTR031,DBTR031.JPG,,taxable,standard-rate
