title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Ceramic Style Ceramic Dish Size Small 200ml,,,"Dog->Bowls, Feeders & Waterers->Bowls",,10.99,,,,,,,DBFWB001,DBFWB001.JPG,,taxable,standard-rate
Ceramic Style Ceramic Dish Size Medium 350ml,,,"Dog->Bowls, Feeders & Waterers->Bowls",,15.99,,,,,,,DBFWB002,DBFWB002.JPG,,taxable,standard-rate
Ceramic Style Ceramic Dish Size Large 750ml,,,"Dog->Bowls, Feeders & Waterers->Bowls",,20.99,,,,,,,DBFWB003,DBFWB003.JPG,,taxable,standard-rate
Ceramic Dish Size Small Round 350ml,,,"Dog->Bowls, Feeders & Waterers->Bowls",,12.99,,,,,,,DBFWB004,DBFWB004.JPG,,taxable,standard-rate
Ceramic Dish Size Small Square 350ml,,,"Dog->Bowls, Feeders & Waterers->Bowls",,12.99,,,,,,,DBFWB005,DBFWB005.JPG,,taxable,standard-rate
Ceramic Dish Size Large Round 750ml,,,"Dog->Bowls, Feeders & Waterers->Bowls",,10.99,,,,,,,DBFWB006,DBFWB006.JPG,,taxable,standard-rate
Ceramic Dish Size Large Square 750ml,,,"Dog->Bowls, Feeders & Waterers->Bowls",,10.99,,,,,,,DBFWB007,DBFWB007.JPG,,taxable,standard-rate
Ceramic Stoneware Dog Dish Size Small ,,,"Dog->Bowls, Feeders & Waterers->Bowls",,6.99,,,,,,,DBFWB008,DBFWB008.JPG,,taxable,standard-rate
Ceramic Stoneware Dog Dish Size Medium,,,"Dog->Bowls, Feeders & Waterers->Bowls",,9.99,,,,,,,DBFWB009,DBFWB009.JPG,,taxable,standard-rate
Ceramic Stoneware Dog Dish Size Large,,,"Dog->Bowls, Feeders & Waterers->Bowls",,14.99,,,,,,,DBFWB010,DBFWB010.JPG,,taxable,standard-rate
Ceramic Stoneware Dog Dish Size Jumbo,,,"Dog->Bowls, Feeders & Waterers->Bowls",,17.99,,,,,,,DBFWB011,DBFWB011.JPG,,taxable,standard-rate
Plastic Gourmet Lightweight Dish Size Small ,,,"Dog->Bowls, Feeders & Waterers->Bowls",,1.99,,,,,,,DBFWB012,DBFWB012.JPG,,taxable,standard-rate
Plastic Go Slow Anti-Gulping Dish 140ml,,,"Dog->Bowls, Feeders & Waterers->Bowls",,13.99,,,,,,,DBFWB013,DBFWB013.JPG,,taxable,standard-rate
Plastic Go Slow Anti-Gulping Dish 300ml,,,"Dog->Bowls, Feeders & Waterers->Bowls",,15.99,,,,,,,DBFWB014,DBFWB014.JPG,,taxable,standard-rate
Plastic Go Slow Anti-Gulping Dish 600ml,,,"Dog->Bowls, Feeders & Waterers->Bowls",,20.99,,,,,,,DBFWB015,DBFWB015.JPG,,taxable,standard-rate
Stainless Steel 2 in 1 Dog Dish Size Extra Small ,,,"Dog->Bowls, Feeders & Waterers->Bowls",,13.99,,,,,,,DBFWB016,DBFWB016.JPG,,taxable,standard-rate
Stainless Steel 2 in 1 Dog Dish Size Small ,,,"Dog->Bowls, Feeders & Waterers->Bowls",,20.99,,,,,,,DBFWB017,DBFWB017.JPG,,taxable,standard-rate
Stainless Steel 2 in 1 Dog Dish Size Medium ,,,"Dog->Bowls, Feeders & Waterers->Bowls",,25.99,,,,,,,DBFWB018,DBFWB018.JPG,,taxable,standard-rate
Stainless Steel 2 in 1 Dog Dish Size Large,,,"Dog->Bowls, Feeders & Waterers->Bowls",,35.99,,,,,,,DBFWB019,DBFWB019.JPG,,taxable,standard-rate
Stainless Steel Style 2 in 1 Dog Dish Size Extra Small ,,,"Dog->Bowls, Feeders & Waterers->Bowls",,18.99,,,,,,,DBFWB020,DBFWB020.JPG,,taxable,standard-rate
