title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Deluxe Lead Chain Size Extra Small ,,,Dog->Collars & Leashes->Chains & Muzzles ,,12.99,,,,,,,DCLCM001,DCLCM001.JPG,,taxable,standard-rate
Deluxe Lead Chain Size Small ,,,Dog->Collars & Leashes->Chains & Muzzles ,,13.99,,,,,,,DCLCM002,DCLCM002.JPG,,taxable,standard-rate
Deluxe Lead Chain Size Medium,,,Dog->Collars & Leashes->Chains & Muzzles ,,14.99,,,,,,,DCLCM003,DCLCM003.JPG,,taxable,standard-rate
Deluxe Lead Chain Size Large,,,Dog->Collars & Leashes->Chains & Muzzles ,,15.99,,,,,,,DCLCM004,DCLCM004.JPG,,taxable,standard-rate
Deluxe Lead Chain Size Extra Large,,,Dog->Collars & Leashes->Chains & Muzzles ,,16.99,,,,,,,DCLCM005,DCLCM005.JPG,,taxable,standard-rate
Walking Halter Size Small ,,,Dog->Collars & Leashes->Chains & Muzzles ,,19.99,,,,,,,DCLCM006,DCLCM006.JPG,,taxable,standard-rate
Walking Halter Size Medium ,,,Dog->Collars & Leashes->Chains & Muzzles ,,22.99,,,,,,,DCLCM007,DCLCM007.JPG,,taxable,standard-rate
Walking Halter Size Large,,,Dog->Collars & Leashes->Chains & Muzzles ,,24.99,,,,,,,DCLCM008,DCLCM008.JPG,,taxable,standard-rate
Muzzle Size Extra Small ,,,Dog->Collars & Leashes->Chains & Muzzles ,,9.99,,,,,,,DCLCM009,DCLCM009.JPG,,taxable,standard-rate
Muzzle Size Small ,,,Dog->Collars & Leashes->Chains & Muzzles ,,10.99,,,,,,,DCLCM010,DCLCM010.JPG,,taxable,standard-rate
Muzzle Size Medium,,,Dog->Collars & Leashes->Chains & Muzzles ,,11.99,,,,,,,DCLCM011,DCLCM011.JPG,,taxable,standard-rate
Muzzle Size Large,,,Dog->Collars & Leashes->Chains & Muzzles ,,12.99,,,,,,,DCLCM012,DCLCM012.JPG,,taxable,standard-rate
Muzzle Size Extra Large,,,Dog->Collars & Leashes->Chains & Muzzles ,,13.99,,,,,,,DCLCM013,DCLCM013.JPG,,taxable,standard-rate
Muzzle Size Extra large - Extra Extra large ,,,Dog->Collars & Leashes->Chains & Muzzles ,,14.99,,,,,,,DCLCM014,DCLCM014.JPG,,taxable,standard-rate
Muzzle Size Extra Extra Large,,,Dog->Collars & Leashes->Chains & Muzzles ,,15.99,,,,,,,DCLCM015,DCLCM015.JPG,,taxable,standard-rate
