title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Leather Love Harness Size Extra Small ,,,Dog->Collars & Leashes->Leather ,,29.99,,,,,,,DCLL001,DCLL001.JPG,,taxable,standard-rate
Leather Love Harness Size Small ,,,Dog->Collars & Leashes->Leather ,,34.99,,,,,,,DCLL002,DCLL002.JPG,,taxable,standard-rate
Leather Love Harness Size Medium,,,Dog->Collars & Leashes->Leather ,,39.99,,,,,,,DCLL003,DCLL003.JPG,,taxable,standard-rate
Leather Love Harness Size large,,,Dog->Collars & Leashes->Leather ,,55.99,,,,,,,DCLL004,DCLL004.JPG,,taxable,standard-rate
Leather Love Harness Size Extra large,,,Dog->Collars & Leashes->Leather ,,69.99,,,,,,,DCLL005,DCLL005.JPG,,taxable,standard-rate
Design Petite Faux Croc Collar Size Small ,,,Dog->Collars & Leashes->Leather ,,15.99,,,,,,,DCLL006,DCLL006.JPG,,taxable,standard-rate
Design Petite Faux Croc Collar Size Large,,,Dog->Collars & Leashes->Leather ,,17.99,,,,,,,DCLL007,DCLL007.JPG,,taxable,standard-rate
Design Petite Faux Croc leash 4ft,,,Dog->Collars & Leashes->Leather ,,15.99,,,,,,,DCLL008,DCLL008.JPG,,taxable,standard-rate
Design Petite Faux Croc Leash 6ft,,,Dog->Collars & Leashes->Leather ,,24.99,,,,,,,DCLL009,DCLL009.JPG,,taxable,standard-rate
Design Petite Faux Croc Harness Size Extra Small ,,,Dog->Collars & Leashes->Leather ,,24.99,,,,,,,DCLL010,DCLL010.JPG,,taxable,standard-rate
Design Petite Faux Croc Harness Size Small ,,,Dog->Collars & Leashes->Leather ,,26.99,,,,,,,DCLL011,DCLL011.JPG,,taxable,standard-rate
