title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Nylon Leash Single Ply Size Small 1.2m ,,,Dog->Collars & Leash->Nylon ,,8.99,,,,,,,DCLN001,DCLN001.JPG,,taxable,standard-rate
Nylon Leash Single Ply Size Medium 1.2m ,,,Dog->Collars & Leash->Nylon ,,10.99,,,,,,,DCLN002,DCLN002.JPG,,taxable,standard-rate
Nylon Leash Single Ply Size Large 1.2m ,,,Dog->Collars & Leash->Nylon ,,12.99,,,,,,,DCLN003,DCLN003.JPG,,taxable,standard-rate
Nylon Leash Single Ply Size Extra Large 1.2m ,,,Dog->Collars & Leash->Nylon ,,14.99,,,,,,,DCLN004,DCLN004.JPG,,taxable,standard-rate
Nylon Training Leash Single Ply Size Small 1.8m,,,Dog->Collars & Leash->Nylon ,,8.99,,,,,,,DCLN005,DCLN005.JPG,,taxable,standard-rate
Nylon Training Leash Single Ply Size Medium 1.8m,,,Dog->Collars & Leash->Nylon ,,12.99,,,,,,,DCLN006,DCLN006.JPG,,taxable,standard-rate
Nylon Training Leash Single Ply Size Large 1.8m,,,Dog->Collars & Leash->Nylon ,,14.99,,,,,,,DCLN007,DCLN007.JPG,,taxable,standard-rate
Nylon Training Leash Single Ply Size Extra Large 1.8m,,,Dog->Collars & Leash->Nylon ,,17.99,,,,,,,DCLN008,DCLN008.JPG,,taxable,standard-rate
Nylon Train Traffic Leash Single Ply Size Medium 1.8m,,,Dog->Collars & Leash->Nylon ,,14.99,,,,,,,DCLN009,DCLN009.JPG,,taxable,standard-rate
Nylon Train Traffic Leash Single Ply Size Large 1.8m,,,Dog->Collars & Leash->Nylon ,,19.99,,,,,,,DCLN010,DCLN010.JPG,,taxable,standard-rate
Nylon Train Traffic Leash Single Ply Size Extra Large 1.8m,,,Dog->Collars & Leash->Nylon ,,21.99,,,,,,,DCLN011,DCLN011.JPG,,taxable,standard-rate
Nylon Leash Double Ply Size Small 1.2m,,,Dog->Collars & Leash->Nylon ,,9.99,,,,,,,DCLN012,DCLN012.JPG,,taxable,standard-rate
Nylon Leash Double Ply Size Extra Large 60cm,,,Dog->Collars & Leash->Nylon ,,17.99,,,,,,,DCLN013,DCLN013.JPG,,taxable,standard-rate
Nylon Leash Double Ply Size Extra Large 1.2m,,,Dog->Collars & Leash->Nylon ,,22.99,,,,,,,DCLN014,DCLN014.JPG,,taxable,standard-rate
Nylon Leash Double Ply Size Extra Large 1.8m,,,Dog->Collars & Leash->Nylon ,,29.99,,,,,,,DCLN015,DCLN015.JPG,,taxable,standard-rate
Step in Harness Size Extra Extra Small ,,,Dog->Collars & Leash->Nylon ,,9.99,,,,,,,DCLN016,DCLN016.JPG,,taxable,standard-rate
Step in Harness Size Extra Small ,,,Dog->Collars & Leash->Nylon ,,12.99,,,,,,,DCLN017,DCLN017.JPG,,taxable,standard-rate
Step in Harness Size Small ,,,Dog->Collars & Leash->Nylon ,,15.99,,,,,,,DCLN018,DCLN018.JPG,,taxable,standard-rate
Step in Harness Size Medium ,,,Dog->Collars & Leash->Nylon ,,24.99,,,,,,,DCLN019,DCLN019.JPG,,taxable,standard-rate
Step in Harness Size Large,,,Dog->Collars & Leash->Nylon ,,29.99,,,,,,,DCLN020,DCLN020.JPG,,taxable,standard-rate
Step in Harness Size Extra Large,,,Dog->Collars & Leash->Nylon ,,34.99,,,,,,,DCLN021,DCLN021.JPG,,taxable,standard-rate
