title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Design Retractable Tape Leash Size Extra Small ,,,Dog->Collars & Leashes->Retractable Leashes ,,29.99,,,,,,,DCLRL001,DCLRL001.JPG,,taxable,standard-rate
Design Retractable Tape Leash Size Small ,,,Dog->Collars & Leashes->Retractable Leashes ,,39.99,,,,,,,DCLRL002,DCLRL002.JPG,,taxable,standard-rate
Design Retractable Tape Leash Size Medium ,,,Dog->Collars & Leashes->Retractable Leashes ,,54.99,,,,,,,DCLRL003,DCLRL003.JPG,,taxable,standard-rate
Design Retractable Tape Leash Size Large,,,Dog->Collars & Leashes->Retractable Leashes ,,69.99,,,,,,,DCLRL004,DCLRL004.JPG,,taxable,standard-rate
Design Retractable Tape Leash Size Extra Large,,,Dog->Collars & Leashes->Retractable Leashes ,,79.99,,,,,,,DCLRL005,DCLRL005.JPG,,taxable,standard-rate
Retractable Cord Leash Size Extra Small ,,,Dog->Collars & Leashes->Retractable Leashes ,,24.99,,,,,,,DCLRL006,DCLRL006.JPG,,taxable,standard-rate
Retractable Cord Leash Size Small ,,,Dog->Collars & Leashes->Retractable Leashes ,,29.99,,,,,,,DCLRL007,DCLRL007.JPG,,taxable,standard-rate
Retractable Cord Leash Size Medium ,,,Dog->Collars & Leashes->Retractable Leashes ,,39.99,,,,,,,DCLRL008,DCLRL008.JPG,,taxable,standard-rate
Retractable Cord Leash Size Large,,,Dog->Collars & Leashes->Retractable Leashes ,,44.99,,,,,,,DCLRL009,DCLRL009.JPG,,taxable,standard-rate
Retractable Cord Leash Size Extra Large,,,Dog->Collars & Leashes->Retractable Leashes ,,24.99,,,,,,,DCLRL010,DCLRL010.JPG,,taxable,standard-rate
