title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Cesar Roast Chicken Flavour 3kg,,,Dog->Dry Food->Grocery ,,19.99,,,,,,,DDFG001,DDFG001.JPG,,taxable,standard-rate
Iams ProActive Health Chunks 6.8kg,,,Dog->Dry Food->Grocery ,,25.99,,,,,,,DDFG002,DDFG002.JPG,,taxable,standard-rate
Iams ProActive Health Chunks 13.2kg,,,Dog->Dry Food->Grocery ,,44.99,,,,,,,DDFG003,DDFG003.JPG,,taxable,standard-rate
Iams ProActive Health Mini Chunks 2.6kg,,,Dog->Dry Food->Grocery ,,13.49,,,,,,,DDFG004,DDFG004.JPG,,taxable,standard-rate
Iams ProActive Health Adult Lamb Meal & Rice 11.9kg,,,Dog->Dry Food->Grocery ,,44.99,,,,,,,DDFG005,DDFG005.JPG,,taxable,standard-rate
Iams ProActive Health Large Breed 13.6kg,,,Dog->Dry Food->Grocery ,,44.99,,,,,,,DDFG006,DDFG006.JPG,,taxable,standard-rate
Iams ProActive Health Smart Puppy Original 2.6kg,,,Dog->Dry Food->Grocery ,,13.49,,,,,,,DDFG007,DDFG007.JPG,,taxable,standard-rate
Iams ProActive Health Smart Puppy Original 6.8kg,,,Dog->Dry Food->Grocery ,,25.99,,,,,,,DDFG008,DDFG008.JPG,,taxable,standard-rate
Iams ProAcitve Health Smart Puppy Large Breed 13.9kg,,,Dog->Dry Food->Grocery ,,44.99,,,,,,,DDFG009,DDFG009.JPG,,taxable,standard-rate
Iams Premium Protection Puppy 5.5kg,,,Dog->Dry Food->Grocery ,,25.99,,,,,,,DDFG010,DDFG010.JPG,,taxable,standard-rate
