title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Addiction Le Lamb 1.81kg,,,Dog->Dry Food->Natural ,,19.99,,,,,,,DDFN001,DDFN001.JPG,,taxable,standard-rate
Addiction Le Lamb 9.1kg,,,Dog->Dry Food->Natural ,,64.99,,,,,,,DDFN002,DDFN002.JPG,,taxable,standard-rate
Addiction La Porchetta 1.81kg,,,Dog->Dry Food->Natural ,,19.99,,,,,,,DDFN003,DDFN003.JPG,,taxable,standard-rate
Addiction La Porchetta 9.1kg,,,Dog->Dry Food->Natural ,,64.99,,,,,,,DDFN004,DDFN004.JPG,,taxable,standard-rate
Addiction Salmon Bleu 1.81kg,,,Dog->Dry Food->Natural ,,19.99,,,,,,,DDFN005,DDFN005.JPG,,taxable,standard-rate
Addiction Salmon Bleu 9.1kg ,,,Dog->Dry Food->Natural ,,64.99,,,,,,,DDFN006,DDFN006.JPG,,taxable,standard-rate
Addiction Viva La Venison 1.81kg,,,Dog->Dry Food->Natural ,,19.99,,,,,,,DDFN007,DDFN007.JPG,,taxable,standard-rate
Addiction Viva La Venison 9.1kg,,,Dog->Dry Food->Natural ,,64.99,,,,,,,DDFN008,DDFN008.JPG,,taxable,standard-rate
Addiction Wild Kangaroo & Apples 1.36kg,,,Dog->Dry Food->Natural ,,19.99,,,,,,,DDFN009,DDFN009.JPG,,taxable,standard-rate
Addiction Wild Kangaroo & Apples 6.8kg,,,Dog->Dry Food->Natural ,,64.99,,,,,,,DDFN010,DDFN010.JPG,,taxable,standard-rate
Eukanuba Adult Natural Lamb & Rice 15.9kg,,,Dog->Dry Food->Natural ,,67.99,,,,,,,DDFN011,DDFN011.JPG,,taxable,standard-rate
Eukanuba Country-Grown Turkey & Multigrain 13.6kg,,,Dog->Dry Food->Natural ,,69.99,,,,,,,DDFN012,DDFN012.JPG,,taxable,standard-rate
Naturally Wild Salmon & Rice 13.6kg,,,Dog->Dry Food->Natural ,,69.99,,,,,,,DDFN013,DDFN013.JPG,,taxable,standard-rate
Naturally Wild Venison & Potato 13.6kg,,,Dog->Dry Food->Natural ,,69.99,,,,,,,DDFN014,DDFN014.JPG,,taxable,standard-rate
Halo Adult Vegan Garden Medley 1.81kg,,,Dog->Dry Food->Natural ,,23.99,,,,,,,DDFN015,DDFN015.JPG,,taxable,standard-rate
Halo Adult Wholesome Lamb 1.81kg,,,Dog->Dry Food->Natural ,,21.99,,,,,,,DDFN016,DDFN016.JPG,,taxable,standard-rate
Halo Adult Wholesome Chicken 1.8kg,,,Dog->Dry Food->Natural ,,18.99,,,,,,,DDFN017,DDFN017.JPG,,taxable,standard-rate
Halo Adult Wholesome Chicken 4.54kg,,,Dog->Dry Food->Natural ,,36.99,,,,,,,DDFN018,DDFN018.JPG,,taxable,standard-rate
Halo Adult Wholesome Chicken 6.8kg,,,Dog->Dry Food->Natural ,,49.99,,,,,,,DDFN019,DDFN019.JPG,,taxable,standard-rate
Halo Adult Wholesome Salmon 1.81kg,,,Dog->Dry Food->Natural ,,18.99,,,,,,,DDFN020,DDFN020.JPG,,taxable,standard-rate
Halo Adult Wholesome Salmon 4.54kg,,,Dog->Dry Food->Natural ,,36.99,,,,,,,DDFN021,DDFN021.JPG,,taxable,standard-rate
Halo Adult Wholesome Salmon 6.8kg,,,Dog->Dry Food->Natural ,,49.99,,,,,,,DDFN022,DDFN022.JPG,,taxable,standard-rate
Halo Adult Grain Free Wholesome Surf N' Turf 1.81kg,,,Dog->Dry Food->Natural ,,23.99,,,,,,,DDFN023,DDFN023.JPG,,taxable,standard-rate
Halo Toy & Small Breed Wholesome Chicken 1.81kg,,,Dog->Dry Food->Natural ,,23.99,,,,,,,DDFN024,DDFN024.JPG,,taxable,standard-rate
Halo Puppy Wholesome Chicken 1.36kg,,,Dog->Dry Food->Natural ,,17.99,,,,,,,DDFN025,DDFN025.JPG,,taxable,standard-rate
Halo Puppy Wholesome Chicken 2.72kg,,,Dog->Dry Food->Natural ,,27.9,,,,,,,DDFN026,DDFN026.JPG,,taxable,standard-rate
Halo Puppy Wholesome Chicken 4.54kg,,,Dog->Dry Food->Natural ,,36.99,,,,,,,DDFN027,DDFN027.JPG,,taxable,standard-rate
Halo Puppy Wholesome Salmon 1.36kg,,,Dog->Dry Food->Natural ,,17.99,,,,,,,DDFN028,DDFN028.JPG,,taxable,standard-rate
Halo Puppy Wholesome Salmon 2.72kg,,,Dog->Dry Food->Natural ,,27.99,,,,,,,DDFN029,DDFN029.JPG,,taxable,standard-rate
Halo Puppy Wholesome Salmon 4.54kg,,,Dog->Dry Food->Natural ,,36.99,,,,,,,DDFN030,DDFN030.JPG,,taxable,standard-rate
Ideal Balance Grain Free Natural Chicken & Potato Adult 1.59kg,,,Dog->Dry Food->Natural ,,18.99,,,,,,,DDFN031,DDFN031.JPG,,taxable,standard-rate
Ideal Balance Grain Free Natural Chicken & Potato Adult 9.5kg,,,Dog->Dry Food->Natural ,,69.99,,,,,,,DDFN032,DDFN032.JPG,,taxable,standard-rate
Ideal Balance Grain Free Natural Salmon & Potato Adult 1.59kg,,,Dog->Dry Food->Natural ,,18.99,,,,,,,DDFN033,DDFN033.JPG,,taxable,standard-rate
Ideal Balance Grain Free Natural Salmon & Potato Adult 5kg,,,Dog->Dry Food->Natural ,,49.99,,,,,,,DDFN034,DDFN034.JPG,,taxable,standard-rate
