title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Eukanuba Adult Maintenance 7.5kg,,,Dog->Dry Food-> Premium ,,44.99,,,,,,,DFDP001,DFDP001.JPG,,taxable,standard-rate
Eukanuba Adult Maintenance 15kg,,,Dog->Dry Food-> Premium ,,54.99,,,,,,,DFDP002,DFDP002.JPG,,taxable,standard-rate
Eukanuba Adult Maintenance Small Bite 7.4kg,,,Dog->Dry Food-> Premium ,,44.99,,,,,,,DFDP003,DFDP003.JPG,,taxable,standard-rate
Eukanuba Adult Maintenance Small Bite 15kg,,,Dog->Dry Food-> Premium ,,54.99,,,,,,,DFDP004,DFDP004.JPG,,taxable,standard-rate
Eukanuba Adult Small Breed 1.8Kg,,,Dog->Dry Food-> Premium ,,16.99,,,,,,,DFDP005,DFDP005.JPG,,taxable,standard-rate
Eukanuba Adult Small Breed 15Kg,,,Dog->Dry Food-> Premium ,,54.99,,,,,,,DFDP006,DFDP006.JPG,,taxable,standard-rate
Eukanuba Puppy Growth 2.27kg,,,Dog->Dry Food-> Premium ,,16.99,,,,,,,DFDP007,DFDP007.JPG,,taxable,standard-rate
Eukanuba Puppy Growth 15kg,,,Dog->Dry Food-> Premium ,,59.99,,,,,,,DFDP008,DFDP008.JPG,,taxable,standard-rate
Eukanuba Small Breed Puppy 1.8kg,,,Dog->Dry Food-> Premium ,,16.99,,,,,,,DFDP009,DFDP009.JPG,,taxable,standard-rate
Eukanuba Large Breed Puppy 15kg,,,Dog->Dry Food-> Premium ,,54.99,,,,,,,DFDP010,DFDP010.JPG,,taxable,standard-rate
Eukanuba Large Breed Senior 13.6kg,,,Dog->Dry Food-> Premium ,,59.99,,,,,,,DFDP011,DFDP011.JPG,,taxable,standard-rate
Eukanuba Labrador Retriever 16.3kg,,,Dog->Dry Food-> Premium ,,69.99,,,,,,,DFDP012,DFDP012.JPG,,taxable,standard-rate
Royal Canin Breed Boxer 26 1.14kg,,,Dog->Dry Food-> Premium ,,12.99,,,,,,,DFDP013,DFDP013.JPG,,taxable,standard-rate
Royal Canin Breed Boxer 26 13.5kg,,,Dog->Dry Food-> Premium ,,79.99,,,,,,,DFDP014,DFDP014.JPG,,taxable,standard-rate
Royal Canin Breed Bulldog 24 1.14kg,,,Dog->Dry Food-> Premium ,,12.99,,,,,,,DFDP015,DFDP015.JPG,,taxable,standard-rate
Royal Canin Breed Bulldog 24 13.6kg,,,Dog->Dry Food-> Premium ,,79.99,,,,,,,DFDP016,DFDP016.JPG,,taxable,standard-rate
Royal Canin Breed Bulldog Puppy 13.6kg,,,Dog->Dry Food-> Premium ,,81.99,,,,,,,DFDP017,DFDP017.JPG,,taxable,standard-rate
Royal Canin Breed Chihuahua 28 1.12kg ,,,Dog->Dry Food-> Premium ,,19.99,,,,,,,DFDP018,DFDP018.JPG,,taxable,standard-rate
Royal Canin Breed Chihuahua 28 6.81kg,,,Dog->Dry Food-> Premium ,,69.99,,,,,,,DFDP019,DFDP019.JPG,,taxable,standard-rate
Royal Canin Breed Chihuahua Puppy 30 1.1kg,,,Dog->Dry Food-> Premium ,,24.99,,,,,,,DFDP020,DFDP020.JPG,,taxable,standard-rate
Royal Canin Breed Cocker Spaniel 25 1.14kg,,,Dog->Dry Food-> Premium ,,12.99,,,,,,,DFDP021,DFDP021.JPG,,taxable,standard-rate
Royal Canin Breed Cocker Spaniel 25 11.3kg,,,Dog->Dry Food-> Premium ,,68.99,,,,,,,DFDP022,DFDP022.JPG,,taxable,standard-rate
Royal Canin Breed Dachshund 28 1.12kg,,,Dog->Dry Food-> Premium ,,19.99,,,,,,,DFDP023,DFDP023.JPG,,taxable,standard-rate
Royal Canin Breed Dachshund 28 4.5kg,,,Dog->Dry Food-> Premium ,,49.99,,,,,,,DFDP024,DFDP024.JPG,,taxable,standard-rate
Royal Canin Breed German Shepherd 24 1.14kg,,,Dog->Dry Food-> Premium ,,12.99,,,,,,,DFDP025,DFDP025.JPG,,taxable,standard-rate
Royal Canin Breed German Shepherd 13.5kg,,,Dog->Dry Food-> Premium ,,79.99,,,,,,,DFDP026,DFDP026.JPG,,taxable,standard-rate
Royal Canin Breed German Shepherd Puppy 13.6kg,,,Dog->Dry Food-> Premium ,,79.99,,,,,,,DFDP027,DFDP027.JPG,,taxable,standard-rate
Royal Canin Breed Golden Retriever 25 1.14kg,,,Dog->Dry Food-> Premium ,,12.99,,,,,,,DFDP028,DFDP028.JPG,,taxable,standard-rate
Royal Canin Breed Golden Retriever 25 13.5kg,,,Dog->Dry Food-> Premium ,,79.99,,,,,,,DFDP029,DFDP029.JPG,,taxable,standard-rate
Royal Canin Breed Labrador Retriever 30 1.14kg,,,Dog->Dry Food-> Premium ,,12.99,,,,,,,DFDP030,DFDP030.JPG,,taxable,standard-rate
Royal Canin Breed Labrador Retriever 30 13.5kg,,,Dog->Dry Food-> Premium ,,79.99,,,,,,,DFDP031,DFDP031.JPG,,taxable,standard-rate
Royal Canin Breed Labrador Retriever Puppy 33 13.6kg,,,Dog->Dry Food-> Premium ,,79.99,,,,,,,DFDP032,DFDP032.JPG,,taxable,standard-rate
Royal Canin Breed Miniature Schnauzer 25 4.5kg,,,Dog->Dry Food-> Premium ,,54.99,,,,,,,DFDP033,DFDP033.JPG,,taxable,standard-rate
Royal Canin Breed Poodle 1.13kg,,,Dog->Dry Food-> Premium ,,19.99,,,,,,,DFDP034,DFDP034.JPG,,taxable,standard-rate
Royal Canin Breed Poodle 4.5kg,,,Dog->Dry Food-> Premium ,,49.99,,,,,,,DFDP035,DFDP035.JPG,,taxable,standard-rate
