title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Love Glove One Size Fits All ,,,Dog->Brushes & Combs,,13.99,,,,,,,DGBC001,DGBC001.JPG,,taxable,standard-rate
Slicker Brush ,,,Dog->Brushes & Combs,,11.99,,,,,,,DGBC002,DGBC002.JPG,,taxable,standard-rate
Rubber Grooming Brush Round,,,Dog->Brushes & Combs,,8.49,,,,,,,DGBC003,DGBC003.JPG,,taxable,standard-rate
Massage & Grooming Brush Size Small,,,Dog->Brushes & Combs,,9.99,,,,,,,DGBC004,DGBC004.JPG,,taxable,standard-rate
Massage & Grooming Brush Size Large,,,Dog->Brushes & Combs,,10.99,,,,,,,DGBC005,DGBC005.JPG,,taxable,standard-rate
Bristle Brush Size Small ,,,Dog->Brushes & Combs,,8.99,,,,,,,DGBC006,DGBC006.JPG,,taxable,standard-rate
Bristle Brush Size Large,,,Dog->Brushes & Combs,,9.99,,,,,,,DGBC007,DGBC007.JPG,,taxable,standard-rate
Rubber Curry Brush Loop Handle ,,,Dog->Brushes & Combs,,9.49,,,,,,,DGBC008,DGBC008.JPG,,taxable,standard-rate
Bristle/Steel Pin Combo Brush Size Small ,,,Dog->Brushes & Combs,,9.99,,,,,,,DGBC009,DGBC009.JPG,,taxable,standard-rate
Bristle/Steel Pin Combo Brush Size Large,,,Dog->Brushes & Combs,,11.99,,,,,,,DGBC010,DGBC010.JPG,,taxable,standard-rate
Porcupine Bristle Brush Size Small ,,,Dog->Brushes & Combs,,9.99,,,,,,,DGBC011,DGBC011.JPG,,taxable,standard-rate
Porcupine Bristle Brush Size Large,,,Dog->Brushes & Combs,,10.49,,,,,,,DGBC012,DGBC012.JPG,,taxable,standard-rate
Flea Comb,,,Dog->Brushes & Combs,,10.49,,,,,,,DGBC013,DGBC013.JPG,,taxable,standard-rate
Rubber Slicker Brush Size Small,,,Dog->Brushes & Combs,,10.99,,,,,,,DGBC014,DGBC014.JPG,,taxable,standard-rate
Rubber Slicker Brush Size Large ,,,Dog->Brushes & Combs,,11.99,,,,,,,DGBC015,DGBC015.JPG,,taxable,standard-rate
Slicker Brush Size Small,,,Dog->Brushes & Combs,,10.99,,,,,,,DGBC016,DGBC016.JPG,,taxable,standard-rate
Slicker Brush Size Large ,,,Dog->Brushes & Combs,,12.49,,,,,,,DGBC017,DGBC017.JPG,,taxable,standard-rate
Grooming Mitt ,,,Dog->Brushes & Combs,,10.99,,,,,,,DGBC018,DGBC018.JPG,,taxable,standard-rate
Rubber Grooming Brush with Loop Handle,,,Dog->Brushes & Combs,,11.49,,,,,,,DGBC019,DGBC019.JPG,,taxable,standard-rate
Curved Slicker Brush with Rake Size Small ,,,Dog->Brushes & Combs,,20.99,,,,,,,DGBC020,DGBC020.JPG,,taxable,standard-rate
Curved Slicker Brush with Rake Size Large,,,Dog->Brushes & Combs,,26.99,,,,,,,DGBC021,DGBC021.JPG,,taxable,standard-rate
Combo Brush ,,,Dog->Brushes & Combs,,13.99,,,,,,,DGBC022,DGBC022.JPG,,taxable,standard-rate
