title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Nail Trimmer ,,,"Dog->Grooming->Clippers, Scissors & Blades ",,9.49,,,,,,,DGCSB001,DGCSB001.JPG,,taxable ,standard-rate
Guillotine Nail Cutter ,,,"Dog->Grooming->Clippers, Scissors & Blades ",,10.99,,,,,,,DGCSB002,DGCSB002.JPG,,taxable ,standard-rate
Mat Breaker ,,,"Dog->Grooming->Clippers, Scissors & Blades ",,9.99,,,,,,,DGCSB003,DGCSB003.JPG,,taxable ,standard-rate
All Purpose Trimming Scissor ,,,"Dog->Grooming->Clippers, Scissors & Blades ",,11.49,,,,,,,DGCSB004,DGCSB004.JPG,,taxable ,standard-rate
Shedding Comb ,,,"Dog->Grooming->Clippers, Scissors & Blades ",,11.99,,,,,,,DGCSB005,DGCSB005.JPG,,taxable ,standard-rate
Face Trimming Scissors ,,,"Dog->Grooming->Clippers, Scissors & Blades ",,12.49,,,,,,,DGCSB006,DGCSB006.JPG,,taxable ,standard-rate
Nail Clipper ,,,"Dog->Grooming->Clippers, Scissors & Blades ",,15.99,,,,,,,DGCSB007,DGCSB007.JPG,,taxable ,standard-rate
Shedding Blade ,,,"Dog->Grooming->Clippers, Scissors & Blades ",,15.99,,,,,,,DGCSB008,DGCSB008.JPG,,taxable ,standard-rate
Andis - Easy Clip 12Pk,,,"Dog->Grooming->Clippers, Scissors & Blades ",,84.99,,,,,,,DGCSB009,DGCSB009.JPG,,taxable ,standard-rate
FURminator - DeShedding Tool Medium 2.65'',,,"Dog->Grooming->Clippers, Scissors & Blades ",,69.99,,,,,,,DGCSB010,DGCSB010.JPG,,taxable ,standard-rate
FURminator - DeShedding Tool Small 1.75'',,,"Dog->Grooming->Clippers, Scissors & Blades ",,59.99,,,,,,,DGCSB011,DGCSB011.JPG,,taxable ,standard-rate
FURminator - DeShedding Tool Large 4'',,,"Dog->Grooming->Clippers, Scissors & Blades ",,79.99,,,,,,,DGCSB012,DGCSB012.JPG,,taxable ,standard-rate
