title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Shampoo - Oatmeal 375ml,,,Dog->Grooming->Shampoo & Conditioner ,,7.99,,,,,,,DGSC001,DGSC001.JPG,,taxable,standard-rate
Shampoo - Odor Control 375ml,,,Dog->Grooming->Shampoo & Conditioner ,,7.99,,,,,,,DGSC002,DGSC002.JPG,,taxable,standard-rate
Shampoo - Tearless 375ml,,,Dog->Grooming->Shampoo & Conditioner ,,7.99,,,,,,,DGSC003,DGSC003.JPG,,taxable,standard-rate
Shampoo - White Coat 375ml,,,Dog->Grooming->Shampoo & Conditioner ,,7.99,,,,,,,DGSC004,DGSC004.JPG,,taxable,standard-rate
Shampoo - Dark Lites 250ml,,,Dog->Grooming->Shampoo & Conditioner ,,11.99,,,,,,,DGSC005,DGSC005.JPG,,taxable,standard-rate
Shampoo - Detox 250ml,,,Dog->Grooming->Shampoo & Conditioner ,,11.99,,,,,,,DGSC006,DGSC006.JPG,,taxable,standard-rate
Shampoo - Gentle 250ml,,,Dog->Grooming->Shampoo & Conditioner ,,11.99,,,,,,,DGSC007,DGSC007.JPG,,taxable,standard-rate
Shampoo - Golden Lites 250ml,,,Dog->Grooming->Shampoo & Conditioner ,,11.99,,,,,,,DGSC008,DGSC008.JPG,,taxable,standard-rate
Shampoo - Shin 250ml,,,Dog->Grooming->Shampoo & Conditioner ,,11.99,,,,,,,DGSC009,DGSC009.JPG,,taxable,standard-rate
Shampoo - Soothe 250ml,,,Dog->Grooming->Shampoo & Conditioner ,,11.99,,,,,,,DGSC010,DGSC010.JPG,,taxable,standard-rate
Shampoo - Urban 250ml,,,Dog->Grooming->Shampoo & Conditioner ,,15.99,,,,,,,DGSC011,DGSC011.JPG,,taxable,standard-rate
Shampoo - White Lites 250ml,,,Dog->Grooming->Shampoo & Conditioner ,,11.99,,,,,,,DGSC012,DGSC012.JPG,,taxable,standard-rate
Shampoo - Waterless 210ml,,,Dog->Grooming->Shampoo & Conditioner ,,11.99,,,,,,,DGSC013,DGSC013.JPG,,taxable,standard-rate
Moisturizing Conditioner 375ml,,,Dog->Grooming->Shampoo & Conditioner ,,7.99,,,,,,,DGSC014,DGSC014.JPG,,taxable,standard-rate
Shampoo & Conditioner 2 in 1 250ml,,,Dog->Grooming->Shampoo & Conditioner ,,11.99,,,,,,,DGSC015,DGSC015.JPG,,taxable,standard-rate
Conditioner - Moisture Renew 250ml,,,Dog->Grooming->Shampoo & Conditioner ,,11.99,,,,,,,DGSC016,DGSC016.JPG,,taxable,standard-rate
