title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Addiction Black Forest Rabbit & Blueberries 369g,,,Dog->Wet Food->Natural ,,3.69,,,,,,,DWFN001,DWFN001.JPG,,taxable,standard-rate
Addiction Herbed Duck Confit & Sweet Potatoes 369g,,,Dog->Wet Food->Natural ,,3.69,,,,,,,DWFN002,DWFN002.JPG,,taxable,standard-rate
Addiction Hunter's Venison Stew 369g,,,Dog->Wet Food->Natural ,,3.69,,,,,,,DWFN003,DWFN003.JPG,,taxable,standard-rate
Addiction Safari Buffalo Meatloaf 369g,,,Dog->Wet Food->Natural ,,3.69,,,,,,,DWFN004,DWFN004.JPG,,taxable,standard-rate
"Freshpet Deli Fresh Adult Chicken, Vegetable & Rice 454g",,,Dog->Wet Food->Natural ,,4.69,,,,,,,DWFN005,DWFN005.JPG,,taxable,standard-rate
"Freshpet Deli Fresh Adult Chicken, Vegetable & Rice 907g",,,Dog->Wet Food->Natural ,,8.99,,,,,,,DWFN006,DWFN006.JPG,,taxable,standard-rate
"Freshpet Deli Fresh Adult Chicken, Vegetable & Rice 2.72kg",,,Dog->Wet Food->Natural ,,18.29,,,,,,,DWFN007,DWFN007.JPG,,taxable,standard-rate
"Freshpet Deli Fresh Adult Turkey, Vegetable & Rice 2.72kg",,,Dog->Wet Food->Natural ,,18.29,,,,,,,DWFN008,DWFN008.JPG,,taxable,standard-rate
"Freshpet Vital Chicken, Beef, Salmon & Egg 907g",,,Dog->Wet Food->Natural ,,12.99,,,,,,,DWFN009,DWFN009.JPG,,taxable,standard-rate
Freshpet Vital Salmon & Ocean Whitefish 907g,,,Dog->Wet Food->Natural ,,12.99,,,,,,,DWFN010,DWFN010.JPG,,taxable,standard-rate
Freshpet Vital Turkey 907g,,,Dog->Wet Food->Natural ,,12.99,,,,,,,DWFN011,DWFN011.JPG,,taxable,standard-rate
Freshpet Vital Complete Meals 754g,,,Dog->Wet Food->Natural ,,11.99,,,,,,,DWFN012,DWFN012.JPG,,taxable,standard-rate
Halo Spot's Stew Wholesome Chicken 156g,,,Dog->Wet Food->Natural ,,2.69,,,,,,,DWFN013,DWFN013.JPG,,taxable,standard-rate
Halo Spot's Stew Succulent Salmon 156g,,,Dog->Wet Food->Natural ,,2.69,,,,,,,DWFN014,DWFN014.JPG,,taxable,standard-rate
Halo Vegan Garden Medley 369g,,,Dog->Wet Food->Natural ,,3.99,,,,,,,DWFN015,DWFN015.JPG,,taxable,standard-rate
Ideal Balance Braised Lamb & Vegetables Recipe 363g,,,Dog->Wet Food->Natural ,,2.99,,,,,,,DWFN016,DWFN016.JPG,,taxable,standard-rate
Ideal Balance Roasted Turkey & Vegetables Recipe 363g,,,Dog->Wet Food->Natural ,,2.99,,,,,,,DWFN017,DWFN017.JPG,,taxable,standard-rate
Ideal Balance Slow-Cooked Beef & Vegetables Recipe 363g,,,Dog->Wet Food->Natural ,,2.99,,,,,,,DWFN018,DWFN018.JPG,,taxable,standard-rate
Ideal Balance Tender Chicken & Vegetables Recipe 363g,,,Dog->Wet Food->Natural ,,2.99,,,,,,,DWFN019,DWFN019.JPG,,taxable,standard-rate
Innova Adult 374g,,,Dog->Wet Food->Natural ,,2.39,,,,,,,DWFN020,DWFN020.JPG,,taxable,standard-rate
Innova Puppy 374g,,,Dog->Wet Food->Natural ,,2.39,,,,,,,DWFN021,DWFN021.JPG,,taxable,standard-rate
Innova Senior 374g,,,Dog->Wet Food->Natural ,,2.39,,,,,,,DWFN022,DWFN022.JPG,,taxable,standard-rate
Merrick Classic Grain Free 96% Real Pork 374g,,,Dog->Wet Food->Natural ,,3.59,,,,,,,DWFN023,DWFN023.JPG,,taxable,standard-rate
Merrick Classic Grain Free 96% Real Texas Beef 374g,,,Dog->Wet Food->Natural ,,3.59,,,,,,,DWFN024,DWFN024.JPG,,taxable,standard-rate
Merrick Classic Grain Free Turducken 374g,,,Dog->Wet Food->Natural ,,3.59,,,,,,,DWFN025,DWFN025.JPG,,taxable,standard-rate
Merrick Classic Grain Free Cowboy Cookout 374g,,,Dog->Wet Food->Natural ,,3.59,,,,,,,DWFN026,DWFN026.JPG,,taxable,standard-rate
Merrick Classic Grain Free Grammy's Pot Pie 374g,,,Dog->Wet Food->Natural ,,3.59,,,,,,,DWFN027,DWFN027.JPG,,taxable,standard-rate
Merrick Classic Thanksgiving Day Dinner 374g,,,Dog->Wet Food->Natural ,,3.59,,,,,,,DWFN028,DWFN028.JPG,,taxable,standard-rate
Merrick Classic Grain Free Small Breed Grammy's Pot Pie 91g,,,Dog->Wet Food->Natural ,,1.69,,,,,,,DWFN029,DWFN029.JPG,,taxable,standard-rate
Merrick Classic Grain Free Small Breed Cowboy Cookout 91g,,,Dog->Wet Food->Natural ,,1.69,,,,,,,DWFN030,DWFN030.JPG,,taxable,standard-rate
Merrick Classic Grain Free Small Breed Turducken 91g,,,Dog->Wet Food->Natural ,,1.69,,,,,,,DWFN031,DWFN031.JPG,,taxable,standard-rate
Merrick Classic Grain Free Small Breed Thanksgiving Day Dinner 91g,,,Dog->Wet Food->Natural ,,1.69,,,,,,,DWFN032,DWFN032.JPG,,taxable,standard-rate
Merrick Classic Grain Free Small Breed Senior Medley 91g,,,Dog->Wet Food->Natural ,,1.69,,,,,,,DWFN033,DWFN033.JPG,,taxable,standard-rate
Merrick Classic Grain Free Puppy Plate 91g,,,Dog->Wet Food->Natural ,,1.69,,,,,,,DWFN034,DWFN034.JPG,,taxable,standard-rate
Merrick Classic Grain Free Puppy Plate 374g,,,Dog->Wet Food->Natural ,,3.59,,,,,,,DWFN035,DWFN035.JPG,,taxable,standard-rate
Merrick Grain Free Golden Years Senior Medley 374g,,,Dog->Wet Food->Natural ,,3.59,,,,,,,DWFN036,DWFN036.JPG,,taxable,standard-rate
Nutrience Bison 369g,,,Dog->Wet Food->Natural ,,2.99,,,,,,,DWFN037,DWFN037.JPG,,taxable,standard-rate
