title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Petcetera Chicken with Carrots & Long Green Beans 400g,,,Dog->Wet Food->Premium,,1.43,,,,,,,DWFP001,DWFP001.JPG,,taxable ,standard-rate
Petcetera Chicken with Potatoes & Carrots 400g,,,Dog->Wet Food->Premium,,1.43,,,,,,,DWFP002,DWFP002.JPG,,taxable ,standard-rate
Eukanuba Adult Maintenance Entr & Carrots 400gans 400g,,,Dog->Wet Food->Premium,,2.29,,,,,,,DWFP003,DWFP003.JPG,,taxable ,standard-rate
Eukanuba Adult Maintenance Entr & Carrots 400gans 400g,,,Dog->Wet Food->Premium,,2.29,,,,,,,DWFP004,DWFP004.JPG,,taxable ,standard-rate
Eukanuba Adult Maintenance Dinner with Chicken Gravy 374g,,,Dog->Wet Food->Premium,,2.29,,,,,,,DWFP005,DWFP005.JPG,,taxable ,standard-rate
Eukanuba Adult Maintenance Hearty Stew with Beef & Vegetables in Gravy 374g,,,Dog->Wet Food->Premium,,2.29,,,,,,,DWFP006,DWFP006.JPG,,taxable ,standard-rate
Eukanuba Puppy Entriumance Hearty Stew with Beef & V,,,Dog->Wet Food->Premium,,2.29,,,,,,,DWFP007,DWFP007.JPG,,taxable ,standard-rate
Royal Canin Starter Mousse 165g,,,Dog->Wet Food->Premium,,2.29,,,,,,,DWFP008,DWFP008.JPG,,taxable ,standard-rate
Science Diet Adult Advanced Fitness Beef & Chicken Entrtables ,,,Dog->Wet Food->Premium,,2.99,,,,,,,DWFP009,DWFP009.JPG,,taxable ,standard-rate
Science Diet Adult Advanced Fitness Gourmet Beef Entrtrtable,,,Dog->Wet Food->Premium,,2.99,,,,,,,DWFP010,DWFP010.JPG,,taxable ,standard-rate
Science Diet Adult Advanced Fitness Gourmet Turkey Entrtables ,,,Dog->Wet Food->Premium,,2.99,,,,,,,DWFP011,DWFP011.JPG,,taxable ,standard-rate
Science Diet Adult Advanced Fitness Savoury Chicken Entrables i,,,Dog->Wet Food->Premium,,2.99,,,,,,,DWFP012,DWFP012.JPG,,taxable ,standard-rate
Science Diet Adult Light 370g,,,Dog->Wet Food->Premium,,2.99,,,,,,,DWFP013,DWFP013.JPG,,taxable ,standard-rate
Science Diet Adult Savoury Stew with Beef & Vegetables 370g,,,Dog->Wet Food->Premium,,2.99,,,,,,,DWFP014,DWFP014.JPG,,taxable ,standard-rate
Science Diet Adult Savoury Stew with Chicken & Vegetables 370g,,,Dog->Wet Food->Premium,,2.99,,,,,,,DWFP015,DWFP015.JPG,,taxable ,standard-rate
Science Diet Adult Savoury Stew with Turkey & Vegetables 370g,,,Dog->Wet Food->Premium,,2.99,,,,,,,DWFP016,DWFP016.JPG,,taxable ,standard-rate
Science Diet Puppy Healthy Development Savoury Chicken Entr0ggin G,,,Dog->Wet Food->Premium,,2.99,,,,,,,DWFP017,DWFP017.JPG,,taxable ,standard-rate
Science Diet Puppy Savoury Stew with Beef & Vegetables 370g,,,Dog->Wet Food->Premium,,2.99,,,,,,,DWFP018,DWFP018.JPG,,taxable ,standard-rate
Science Diet Puppy Savoury Stew with Chicken & Vegetables 370g,,,Dog->Wet Food->Premium,,2.99,,,,,,,DWFP019,DWFP019.JPG,,taxable ,standard-rate
Science Diet Mature Adult Active Longevity Gourmet Beef Entr0gin Gr,,,Dog->Wet Food->Premium,,2.99,,,,,,,DWFP020,DWFP020.JPG,,taxable ,standard-rate
Science Diet Mature Adult Active Longevity Savoury Chicken Entrn Gravy,,,Dog->Wet Food->Premium,,2.99,,,,,,,DWFP021,DWFP021.JPG,,taxable ,standard-rate
Science Diet Mature Adult Savoury Stew with Beef & Vegetables 370g,,,Dog->Wet Food->Premium,,2.99,,,,,,,DWFP022,DWFP022.JPG,,taxable ,standard-rate
Science Diet Mature Adult Savoury Stew with Chicken 7 Vegetables 370g,,,Dog->Wet Food->Premium,,2.99,,,,,,,DWFP023,DWFP023.JPG,,taxable ,standard-rate
