title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Petcetera Holistic Dog Biscuits 454g ,,,Dog-> Biscuits & Treats-> Natural ,,5.99,,,,,,,DBTN001,DBTN001.JPG,,taxable,standard-rate
Petcetera Organics Dog Treats 340g,,,Dog-> Biscuits & Treats-> Natural ,,5.99,,,,,,,DBTN002,DBTN002.JPG,,taxable,standard-rate
Petcetera Bulk Biscuits - Charcoal & Peppermint 50g,,,Dog-> Biscuits & Treats-> Natural ,,99.99,,,,,,,DBTN003,DBTN003.JPG,,taxable,standard-rate
Petcetera Bulk Biscuits - Cheese Hearts 50g,,,Dog-> Biscuits & Treats-> Natural ,,99.99,,,,,,,DBTN004,DBTN004.JPG,,taxable,standard-rate
Petcetera Bulk Biscuits - Chicken Fingers 50g,,,Dog-> Biscuits & Treats-> Natural ,,99.99,,,,,,,DBTN005,DBTN005.JPG,,taxable,standard-rate
Petcetera Bulk Biscuits - Puppy Hearts 50g,,,Dog-> Biscuits & Treats-> Natural ,,99.99,,,,,,,DBTN006,DBTN006.JPG,,taxable,standard-rate
Petcetera Bulk Biscuits - Peanut Butter 50g,,,Dog-> Biscuits & Treats-> Natural ,,99.99,,,,,,,DBTN007,DBTN007.JPG,,taxable,standard-rate
Petcetera Bulk Biscuits - Liver Hearts 50g,,,Dog-> Biscuits & Treats-> Natural ,,99.99,,,,,,,DBTN008,DBTN008.JPG,,taxable,standard-rate
Charlee Bear Cheese & Egg 453g,,,Dog-> Biscuits & Treats-> Natural ,,5.99,,,,,,,DBTN009,DBTN009.JPG,,taxable,standard-rate
Charlee Bear Chicken Soup & Garden Veggie 453g,,,Dog-> Biscuits & Treats-> Natural ,,5.99,,,,,,,DBTN010,DBTN010.JPG,,taxable,standard-rate
Charlee Bear Liver 453g,,,Dog-> Biscuits & Treats-> Natural ,,5.99,,,,,,,DBTN011,DBTN011.JPG,,taxable,standard-rate
Charlee Bear Turkey Liver & Cranberries 453g,,,Dog-> Biscuits & Treats-> Natural ,,5.99,,,,,,,DBTN012,DBTN012.JPG,,taxable,standard-rate
Crumps' Naturals Beef Tender Sticks 55g,,,Dog-> Biscuits & Treats-> Natural ,,8.99,,,,,,,DBTN013,DBTN013.JPG,,taxable,standard-rate
Crumps' Naturals Freeze Dried Liver Bites 65g,,,Dog-> Biscuits & Treats-> Natural ,,8.99,,,,,,,DBTN014,DBTN014.JPG,,taxable,standard-rate
Crumps' Naturals Garlic Liver Fillets 75g,,,Dog-> Biscuits & Treats-> Natural ,,8.99,,,,,,,DBTN015,DBTN015.JPG,,taxable,standard-rate
Crumps' Naturals Traditional Liver Fillets 75g,,,Dog-> Biscuits & Treats-> Natural ,,8.99,,,,,,,DBTN016,DBTN016.JPG,,taxable,standard-rate
Crumps' Naturals Chicken Morsels 65g,,,Dog-> Biscuits & Treats-> Natural ,,8.99,,,,,,,DBTN017,DBTN017.JPG,,taxable,standard-rate
Crumps' Naturals Sweet Potato & Liver Rawhide 160g,,,Dog-> Biscuits & Treats-> Natural ,,8.99,,,,,,,DBTN018,DBTN018.JPG,,taxable,standard-rate
Crumps' Naturals Sweet Potato Rawhide 160g,,,Dog-> Biscuits & Treats-> Natural ,,8.99,,,,,,,DBTN019,DBTN019.JPG,,taxable,standard-rate
Darford Mega Bacon Jr 100g,,,Dog-> Biscuits & Treats-> Natural ,,1.99,,,,,,,DBTN020,DBTN020.JPG,,taxable,standard-rate
Darford Mega Cheez Jr 100g,,,Dog-> Biscuits & Treats-> Natural ,,1.99,,,,,,,DBTN021,DBTN021.JPG,,taxable,standard-rate
Darford Mega Peanut Butter Jr 100g,,,Dog-> Biscuits & Treats-> Natural ,,1.99,,,,,,,DBTN022,DBTN022.JPG,,taxable,standard-rate
Halo Spot's Chew Natural Edible Dental Treat Mint Fresh Flavour 28g,,,Dog-> Biscuits & Treats-> Natural ,,1.99,,,,,,,DBTN023,DBTN023.JPG,,taxable,standard-rate
Halo Spot's Chew Natural Edible Dental Treat Yummy Pumpkin Flavour 28g,,,Dog-> Biscuits & Treats-> Natural ,,1.99,,,,,,,DBTN024,DBTN024.JPG,,taxable,standard-rate
Freshpet Dognation Beef 227g,,,Dog-> Biscuits & Treats-> Natural ,,4.99,,,,,,,DBTN025,DBTN025.JPG,,taxable,standard-rate
Freshpet Dognation Bones 159g,,,Dog-> Biscuits & Treats-> Natural ,,6.99,,,,,,,DBTN026,DBTN026.JPG,,taxable,standard-rate
Freshpet Dognation Chicken 227g,,,Dog-> Biscuits & Treats-> Natural ,,4.99,,,,,,,DBTN027,DBTN027.JPG,,taxable,standard-rate
Freshpet Dognation Sweet Potato Chews 184g,,,Dog-> Biscuits & Treats-> Natural ,,6.99,,,,,,,DBTN028,DBTN028.JPG,,taxable,standard-rate
Fruitables Pumpkin & Cranberry 198g ,,,Dog-> Biscuits & Treats-> Natural ,,6.28,,,,,,,DBTN029,DBTN029.JPG,,taxable,standard-rate
Innova HealthBar - Small Bars 737g,,,Dog-> Biscuits & Treats-> Natural ,,9.99,,,,,,,DBTN030,DBTN030.JPG,,taxable,standard-rate
Innova Prime HealthBar Beef & Lamb 737g,,,Dog-> Biscuits & Treats-> Natural ,,11.99,,,,,,,DBTN031,DBTN031.JPG,,taxable,standard-rate
Innova Prime HealthBar Chicken 737g,,,Dog-> Biscuits & Treats-> Natural ,,11.99,,,,,,,DBTN032,DBTN032.JPG,,taxable,standard-rate
Kong Peanut Butter Snacks Large 312g,,,Dog-> Biscuits & Treats-> Natural ,,9.99,,,,,,,DBTN033,DBTN033.JPG,,taxable,standard-rate
Kong Peanut Butter Snacks Mini 200g,,,Dog-> Biscuits & Treats-> Natural ,,7.99,,,,,,,DBTN034,DBTN034.JPG,,taxable,standard-rate
Kong Liver Snacks Large 312g,,,Dog-> Biscuits & Treats-> Natural ,,9.99,,,,,,,DBTN035,DBTN035.JPG,,taxable,standard-rate
Kong Liver Snacks Mini 200g,,,Dog-> Biscuits & Treats-> Natural ,,7.99,,,,,,,DBTN036,DBTN036.JPG,,taxable,standard-rate
Kong Puppy Snacks Large 312g,,,Dog-> Biscuits & Treats-> Natural ,,9.99,,,,,,,DBTN037,DBTN037.JPG,,taxable,standard-rate
Kong Puppy Snacks Mini 200g,,,Dog-> Biscuits & Treats-> Natural ,,7.99,,,,,,,DBTN038,DBTN038.JPG,,taxable,standard-rate
Mike's Deer 4'',,,Dog-> Biscuits & Treats-> Natural ,,10.99,,,,,,,DBTN039,DBTN039.JPG,,taxable,standard-rate
Mike's Deer 5'',,,Dog-> Biscuits & Treats-> Natural ,,12.99,,,,,,,DBTN040,DBTN040.JPG,,taxable,standard-rate
Mike's Deer 6'',,,Dog-> Biscuits & Treats-> Natural ,,14.99,,,,,,,DBTN041,DBTN041.JPG,,taxable,standard-rate
Mike's Deer 5'' Heavy,,,Dog-> Biscuits & Treats-> Natural ,,12.99,,,,,,,DBTN042,DBTN042.JPG,,taxable,standard-rate
Mike's Deer 6'' Heavy,,,Dog-> Biscuits & Treats-> Natural ,,14.99,,,,,,,DBTN043,DBTN043.JPG,,taxable,standard-rate
Mike's Deer 7'',,,Dog-> Biscuits & Treats-> Natural ,,15.99,,,,,,,DBTN044,DBTN044.JPG,,taxable,standard-rate
Mike's Deer 9'',,,Dog-> Biscuits & Treats-> Natural ,,19.99,,,,,,,DBTN045,DBTN045.JPG,,taxable,standard-rate
Mike's Deer 9'' Heavy,,,Dog-> Biscuits & Treats-> Natural ,,25.99,,,,,,,DBTN046,DBTN046.JPG,,taxable,standard-rate
