title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Tie - Out Cable Size 3m ,,,Dog->Collars & Leashes->Tie - Out & Cables ,,18.99,,,,,,,DCLTOC001,DCLTOC001.JPG,,taxable,standard-rate
Tie - Out Cable Size 4.57m,,,Dog->Collars & Leashes->Tie - Out & Cables ,,22.99,,,,,,,DCLTOC002,DCLTOC002.JPG,,taxable,standard-rate
Tie - Out Cable Size 6m,,,Dog->Collars & Leashes->Tie - Out & Cables ,,26.99,,,,,,,DCLTOC003,DCLTOC003.JPG,,taxable,standard-rate
Tie - Out Cable Size 9.14m ,,,Dog->Collars & Leashes->Tie - Out & Cables ,,33.99,,,,,,,DCLTOC004,DCLTOC004.JPG,,taxable,standard-rate
Tie - Out Cable Size 12.19m,,,Dog->Collars & Leashes->Tie - Out & Cables ,,39.99,,,,,,,DCLTOC005,DCLTOC005.JPG,,taxable,standard-rate
Spiral Stake Size 40.6cm ,,,Dog->Collars & Leashes->Tie - Out & Cables ,,31.99,,,,,,,DCLTOC006,DCLTOC006.JPG,,taxable,standard-rate
Tie Out Chain Size 6m ,,,Dog->Collars & Leashes->Tie - Out & Cables ,,12.99,,,,,,,DCLTOC007,DCLTOC007.JPG,,taxable,standard-rate
Tie Out Cable & Stake Size 4.5m ,,,Dog->Collars & Leashes->Tie - Out & Cables ,,22.99,,,,,,,DCLTOC008,DCLTOC008.JPG,,taxable,standard-rate
Tie Out Stake Cork Screw Size Large ,,,Dog->Collars & Leashes->Tie - Out & Cables ,,9.49,,,,,,,DCLTOC009,DCLTOC009.JPG,,taxable,standard-rate
Hurricane Tie Out Stake ,,,Dog->Collars & Leashes->Tie - Out & Cables ,,34.99,,,,,,,DCLTOC010,DCLTOC010.JPG,,taxable,standard-rate
Pet Tether - Tie Out Cable 10ft ,,,Dog->Collars & Leashes->Tie - Out & Cables ,,16.99,,,,,,,DCLTOC011,DCLTOC011.JPG,,taxable,standard-rate
Pet Tether - Tie Out Cable 15ft,,,Dog->Collars & Leashes->Tie - Out & Cables ,,17.99,,,,,,,DCLTOC012,DCLTOC012.JPG,,taxable,standard-rate
Pet Tether - Tie Out Cable 20ft,,,Dog->Collars & Leashes->Tie - Out & Cables ,,20.99,,,,,,,DCLTOC013,DCLTOC013.JPG,,taxable,standard-rate
Pet Tether - Tie Out Cable 25ft,,,Dog->Collars & Leashes->Tie - Out & Cables ,,26.99,,,,,,,DCLTOC014,DCLTOC014.JPG,,taxable,standard-rate
Pet Tether - Tie Out Cable 30ft,,,Dog->Collars & Leashes->Tie - Out & Cables ,,29.99,,,,,,,DCLTOC015,DCLTOC015.JPG,,taxable,standard-rate
Pet Tether - Overhead Trolley 50ft,,,Dog->Collars & Leashes->Tie - Out & Cables ,,44.99,,,,,,,DCLTOC016,DCLTOC016.JPG,,taxable,standard-rate
Pet Tether - Portable Hitch Tie Out Cable 25ft,,,Dog->Collars & Leashes->Tie - Out & Cables ,,34.99,,,,,,,DCLTOC017,DCLTOC017.JPG,,taxable,standard-rate
Pet Tether - Puppy Tie Out Cable Green ,,,Dog->Collars & Leashes->Tie - Out & Cables ,,13.99,,,,,,,DCLTOC018,DCLTOC018.JPG,,taxable,standard-rate
