title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
7 Up 2L,,,Beverages->Soft Drink->7up & Schweppes & MontainDew,,2.79,,,,,,,BSDSSM001,BSDSSM001.JPG,,taxable,standard-rate
7 Up diet 2L,,,Beverages->Soft Drink->7up & Schweppes & MontainDew,,2.79,,,,,,,BSDSSM002,BSDSSM002.JPG,,taxable,standard-rate
Schweppes Ginger Ale2L,,,Beverages->Soft Drink->7up & Schweppes & MontainDew,,2.79,,,,,,,BSDSSM003,BSDSSM003.JPG,,taxable,standard-rate
Schweppes Club Soda 2L,,,Beverages->Soft Drink->7up & Schweppes & MontainDew,,2.79,,,,,,,BSDSSM004,BSDSSM004.JPG,,taxable,standard-rate
Schweppes Tonic Water 2L,,,Beverages->Soft Drink->7up & Schweppes & MontainDew,,2.79,,,,,,,BSDSSM005,BSDSSM005.JPG,,taxable,standard-rate
Mountain Dew Diet 2L,,,Beverages->Soft Drink->7up & Schweppes & MontainDew,,2.79,,,,,,,BSDSSM006,BSDSSM006.JPG,,taxable,standard-rate
Mountain Dew 2L,,,Beverages->Soft Drink->7up & Schweppes & MontainDew,,2.79,,,,,,,BSDSSM007,BSDSSM007.JPG,,taxable,standard-rate
7 up Multi-Pack 710ML 6pk,,,Beverages->Soft Drink->7up & Schweppes & MontainDew,,5.79,,,,,,,BSDSSM008,BSDSSM008.JPG,,taxable,standard-rate
Mountain Dew 710ML 6pk,,,Beverages->Soft Drink->7up & Schweppes & MontainDew,,5.79,,,,,,,BSDSSM009,BSDSSM009.JPG,,taxable,standard-rate
Schweppes Ginger Ale 710ML 6pk,,,Beverages->Soft Drink->7up & Schweppes & MontainDew,,5.79,,,,,,,BSDSSM010,BSDSSM010.JPG,,taxable,standard-rate
7 up 355ML 12pk,,,Beverages->Soft Drink->7up & Schweppes & MontainDew,,6.59,,,,,,,BSDSSM011,BSDSSM011.JPG,,taxable,standard-rate
7 up diet 355ML 12pk,,,Beverages->Soft Drink->7up & Schweppes & MontainDew,,6.59,,,,,,,BSDSSM012,BSDSSM012.JPG,,taxable,standard-rate
Schweppes Diet Ginger Ale 355ML 12pk,,,Beverages->Soft Drink->7up & Schweppes & MontainDew,,6.59,,,,,,,BSDSSM013,BSDSSM013.JPG,,taxable,standard-rate
Schweppes Ginger Ale 355ML 12pk,,,Beverages->Soft Drink->7up & Schweppes & MontainDew,,6.59,,,,,,,BSDSSM014,BSDSSM014.JPG,,taxable,standard-rate
Mountain Dew 355ML 12pk,,,Beverages->Soft Drink->7up & Schweppes & MontainDew,,6.59,,,,,,,BSDSSM015,BSDSSM015.JPG,,taxable,standard-rate
Mountain Dew Diet 355ML 12pk,,,Beverages->Soft Drink->7up & Schweppes & MontainDew,,6.59,,,,,,,BSDSSM016,BSDSSM016.JPG,,taxable,standard-rate
Schweppes Club Soda 355ML 12pk,,,Beverages->Soft Drink->7up & Schweppes & MontainDew,,6.59,,,,,,,BSDSSM017,BSDSSM017.JPG,,taxable,standard-rate
