title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Allens Drink Strawberry Banana 200ml 8Pk ,,,Beverages->Juice->Allens,,3.49,,,,,,,BJA001,BJA001.JPG,,taxable,standard-rate
Allens Drink Fruit Punch 200ml 8Pk ,,,Beverages->Juice->Allens,,3.49,,,,,,,BJA002,BJA002.JPG,,taxable,standard-rate
Allens Cocktail Peach 200ml 8Pk ,,,Beverages->Juice->Allens,,3.49,,,,,,,BJA003,BJA003.JPG,,taxable,standard-rate
Allens Juice 5 Citrus Drink 200ml 8Pk ,,,Beverages->Juice->Allens,,3.49,,,,,,,BJA004,BJA004.JPG,,taxable,standard-rate
Allens Juice Apple 200ml 8Pk ,,,Beverages->Juice->Allens,,3.49,,,,,,,BJA005,BJA005.JPG,,taxable,standard-rate
Allens Juice Orange 300ml 6Pk ,,,Beverages->Juice->Allens,,4.59,,,,,,,BJA006,BJA006.JPG,,taxable,standard-rate
Allens Juice Apple 300ml 6Pk ,,,Beverages->Juice->Allens,,4.59,,,,,,,BJA007,BJA007.JPG,,taxable,standard-rate
Allens Cocktail Peach 300ml 6Pk ,,,Beverages->Juice->Allens,,4.59,,,,,,,BJA008,BJA008.JPG,,taxable,standard-rate
Allens Juice fruit Punch 300ml 6Pk ,,,Beverages->Juice->Allens,,4.59,,,,,,,BJA009,BJA009.JPG,,taxable,standard-rate
Allens Juice 5 Citrus Drink 1L ,,,Beverages->Juice->Allens,,1.99,,,,,,,BJA010,BJA010.JPG,,taxable,standard-rate
Allens Cocktail Fruit Punch 1L ,,,Beverages->Juice->Allens,,1.99,,,,,,,BJA011,BJA011.JPG,,taxable,standard-rate
Allens Apple-Saskatoon Berry-Raspberry Cocktail 1.89L,,,Beverages->Juice->Allens,,3.79,,,,,,,BJA012,BJA012.JPG,,taxable,standard-rate
Allens Juice Apple Green Tea 1.89L ,,,Beverages->Juice->Allens,,3.79,,,,,,,BJA013,BJA013.JPG,,taxable,standard-rate
Allens Juice Apple Low Acid 1.89L ,,,Beverages->Juice->Allens,,3.79,,,,,,,BJA014,BJA014.JPG,,taxable,standard-rate
