title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Secret Solid Baby Powder Antiperspirant 75g,,,Home & Lifestyle->Personal Care->Antiperspirant & Deodorant,,3.79,,,,,,,HLPCAD001,HLPCAD001.JPG,,taxable,standard-rate
Secret Solid PH Balanced Baby Powder Antiperspirant 73g,,,Home & Lifestyle->Personal Care->Antiperspirant & Deodorant,,3.79,,,,,,,HLPCAD002,HLPCAD002.JPG,,taxable,standard-rate
Secret Aerosol Baby Powder Antiperspirant 175ml,,,Home & Lifestyle->Personal Care->Antiperspirant & Deodorant,,3.79,,,,,,,HLPCAD003,HLPCAD003.JPG,,taxable,standard-rate
Secret Clinical Waterproof All-Day Fresh Scent Power Solid 45g,,,Home & Lifestyle->Personal Care->Antiperspirant & Deodorant,,9.49,,,,,,,HLPCAD004,HLPCAD004.JPG,,taxable,standard-rate
Secret Clinical Ooh-La-La Lavender Scent Power Solid 45g,,,Home & Lifestyle->Personal Care->Antiperspirant & Deodorant,,8.49,,,,,,,HLPCAD005,HLPCAD005.JPG,,taxable,standard-rate
Secret Outlast Unscented Antiperspirant 48g,,,Home & Lifestyle->Personal Care->Antiperspirant & Deodorant,,3.79,,,,,,,HLPCAD006,HLPCAD006.JPG,,taxable,standard-rate
Secret Outlast Protecting Powder Antiperspirant 48g,,,Home & Lifestyle->Personal Care->Antiperspirant & Deodorant,,3.79,,,,,,,HLPCAD007,HLPCAD007.JPG,,taxable,standard-rate
Secret Fresh Effects Orange Blossom Verbena Scent Antiperspirant 45g,,,Home & Lifestyle->Personal Care->Antiperspirant & Deodorant,,3.79,,,,,,,HLPCAD008,HLPCAD008.JPG,,taxable,standard-rate
Secret Scent Expressions Va Va Vanilla Scent Antiperspirant 48g,,,Home & Lifestyle->Personal Care->Antiperspirant & Deodorant,,3.79,,,,,,,HLPCAD009,HLPCAD009.JPG,,taxable,standard-rate
Secret Scent Expressions ooh-la-la Lavender Scent Antiperspirant 48g,,,Home & Lifestyle->Personal Care->Antiperspirant & Deodorant,,3.79,,,,,,,HLPCAD010,HLPCAD010.JPG,,taxable,standard-rate
