title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Comp Juice Red Grapefruit 1.89L,,,Beverages->Juice->Compliments,,3.29,,,,,,,BJC001,BJC001.JPG,,taxable,standard-rate
Comp Juice White Cranbery 1.89L ,,,Beverages->Juice->Compliments,,3.29,,,,,,,BJC002,BJC002.JPG,,taxable,standard-rate
Comp Juice White Cranbry Peach 1.89L ,,,Beverages->Juice->Compliments,,3.29,,,,,,,BJC003,BJC003.JPG,,taxable,standard-rate
Comp Cocktail WhtCrnbry Stwbry 1.89L ,,,Beverages->Juice->Compliments,,3.29,,,,,,,BJC004,BJC004.JPG,,taxable,standard-rate
Comp Cranberry Cocktail 1.89L,,,Beverages->Juice->Compliments,,3.29,,,,,,,BJC005,BJC005.JPG,,taxable,standard-rate
Comp Juice 100% Cranberry ,,,Beverages->Juice->Compliments,,4.29,,,,,,,BJC006,BJC006.JPG,,taxable,standard-rate
Comp Jce Cbry C/Tail Lgt 1.89L ,,,Beverages->Juice->Compliments,,3.29,,,,,,,BJC007,BJC007.JPG,,taxable,standard-rate
CompBal Juice Cherry Blend 1.89L,,,Beverages->Juice->Compliments,,3.79,,,,,,,BJC008,BJC008.JPG,,taxable,standard-rate
CompBal Juice Blend Acai 1.89L ,,,Beverages->Juice->Compliments,,4.29,,,,,,,BJC009,BJC009.JPG,,taxable,standard-rate
Comp Cocktail Cranbry Cherry 1.89L,,,Beverages->Juice->Compliments,,3.29,,,,,,,BJC010,BJC010.JPG,,taxable,standard-rate
Comp Juice Cranbry Rasp 1.89L,,,Beverages->Juice->Compliments,,3.29,,,,,,,BJC011,BJC011.JPG,,taxable,standard-rate
Comp Juice Crnbry Rasp Lt 1.89L,,,Beverages->Juice->Compliments,,3.29,,,,,,,BJC012,BJC012.JPG,,taxable,standard-rate
CompBal Juice CranRasp 1.89L ,,,Beverages->Juice->Compliments,,4.29,,,,,,,BJC013,BJC013.JPG,,taxable,standard-rate
CompBal Juice Pome Cbry 1.89L,,,Beverages->Juice->Compliments,,4.29,,,,,,,BJC014,BJC014.JPG,,taxable,standard-rate
Comp Cocktail Cranberry Apple 1.89L ,,,Beverages->Juice->Compliments,,3.29,,,,,,,BJC015,BJC015.JPG,,taxable,standard-rate
Comp Juice Cranbry Grape 1.89L,,,Beverages->Juice->Compliments,,3.29,,,,,,,BJC016,BJC016.JPG,,taxable,standard-rate
Comp Cocktail Crnbry Grape Lt 1.89L ,,,Beverages->Juice->Compliments,,3.29,,,,,,,BJC017,BJC017.JPG,,taxable,standard-rate
Comp 100% Cranberry Grape Blend 1.89L,,,Beverages->Juice->Compliments,,3.79,,,,,,,BJC018,BJC018.JPG,,taxable,standard-rate
CompBal Juice Pomegranat 1.89L,,,Beverages->Juice->Compliments,,4.29,,,,,,,BJC019,BJC019.JPG,,taxable,standard-rate
Comp Drink Frt Pnch 200ml 10Pk ,,,Beverages->Juice->Compliments,,3.29,,,,,,,BJC020,BJC020.JPG,,taxable,standard-rate
Comp Juice Grape 200ml 10Pk ,,,Beverages->Juice->Compliments,,3.29,,,,,,,BJC021,BJC021.JPG,,taxable,standard-rate
Comp Juice Orange 200ml 10Pk ,,,Beverages->Juice->Compliments,,3.29,,,,,,,BJC022,BJC022.JPG,,taxable,standard-rate
Comp Juice Peach 200ml 10Pk ,,,Beverages->Juice->Compliments,,3.29,,,,,,,BJC023,BJC023.JPG,,taxable,standard-rate
Comp Juice Apple Grape 200ml 10Pk ,,,Beverages->Juice->Compliments,,3.29,,,,,,,BJC024,BJC024.JPG,,taxable,standard-rate
Comp Juice Apple 200ml 10Pk ,,,Beverages->Juice->Compliments,,3.29,,,,,,,BJC025,BJC025.JPG,,taxable,standard-rate
Comp Juice Apple McIntosh 2L ,,,Beverages->Juice->Compliments,,2.99,,,,,,,BJC026,BJC026.JPG,,taxable,standard-rate
Comp Drink Strawberry 2L ,,,Beverages->Juice->Compliments,,1.99,,,,,,,BJC027,BJC027.JPG,,taxable,standard-rate
Comp Drink Peach 2L ,,,Beverages->Juice->Compliments,,1.99,,,,,,,BJC028,BJC028.JPG,,taxable,standard-rate
Comp Apple Juice Low Acid 2L,,,Beverages->Juice->Compliments,,2.99,,,,,,,BJC029,BJC029.JPG,,taxable,standard-rate
Comp Drink Orange 2L ,,,Beverages->Juice->Compliments,,1.99,,,,,,,BJC030,BJC030.JPG,,taxable,standard-rate
Comp Drink Grape 2L ,,,Beverages->Juice->Compliments,,1.99,,,,,,,BJC031,BJC031.JPG,,taxable,standard-rate
Comp Drink Fruit Punch Lt 2L ,,,Beverages->Juice->Compliments,,1.99,,,,,,,BJC032,BJC032.JPG,,taxable,standard-rate
Comp Drink Fruit Punch 2L ,,,Beverages->Juice->Compliments,,1.99,,,,,,,BJC033,BJC033.JPG,,taxable,standard-rate
