title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
MiniMaid Jce FrtPun 200ml 10Pk ,,,Beverages->Juice->Minute Maid&FiveAlive,,3.99,,,,,,,BJMF001,BJMF001.JPG,,taxable,standard-rate
MinMaid Punch Grape 200ml 10Pk ,,,Beverages->Juice->Minute Maid&FiveAlive,,3.99,,,,,,,BJMF002,BJMF002.JPG,,taxable,standard-rate
MinMaid Jce Bry Pun 200ml 10Pk ,,,Beverages->Juice->Minute Maid&FiveAlive,,3.99,,,,,,,BJMF003,BJMF003.JPG,,taxable,standard-rate
MinMaid Juice Fruit 200ml 10Pk ,,,Beverages->Juice->Minute Maid&FiveAlive,,3.99,,,,,,,BJMF004,BJMF004.JPG,,taxable,standard-rate
MinMaid Juice Orange 200ml 10Pk ,,,Beverages->Juice->Minute Maid&FiveAlive,,3.99,,,,,,,BJMF005,BJMF005.JPG,,taxable,standard-rate
MinMaid Trop Orgn 200ml 10Pk ,,,Beverages->Juice->Minute Maid&FiveAlive,,3.99,,,,,,,BJMF006,BJMF006.JPG,,taxable,standard-rate
MinMaid Juice Apple 200ml 10Pk ,,,Beverages->Juice->Minute Maid&FiveAlive,,3.99,,,,,,,BJMF007,BJMF007.JPG,,taxable,standard-rate
MinMaid Apple Grape 200ml 10Pk ,,,Beverages->Juice->Minute Maid&FiveAlive,,3.99,,,,,,,BJMF008,BJMF008.JPG,,taxable,standard-rate
MinMaid Juice BryMx 200ml 10Pk ,,,Beverages->Juice->Minute Maid&FiveAlive,,3.99,,,,,,,BJMF009,BJMF009.JPG,,taxable,standard-rate
FiveAliv Jce PchCit 200ml 10pk ,,,Beverages->Juice->Minute Maid&FiveAlive,,3.99,,,,,,,BJMF010,BJMF010.JPG,,taxable,standard-rate
FiveAliv Jce TrpCit 200ml 10Pk ,,,Beverages->Juice->Minute Maid&FiveAlive,,3.99,,,,,,,BJMF011,BJMF011.JPG,,taxable,standard-rate
FiveAliv Jce Cit 200ml 10Pk ,,,Beverages->Juice->Minute Maid&FiveAlive,,3.99,,,,,,,BJMF012,BJMF012.JPG,,taxable,standard-rate
FiceAliv Jce BryCit 200ml 10Pk ,,,Beverages->Juice->Minute Maid&FiveAlive,,3.99,,,,,,,BJMF013,BJMF013.JPG,,taxable,standard-rate
MinMaid Juice Apple 341ml 12Pk ,,,Beverages->Juice->Minute Maid&FiveAlive,,7.49,,,,,,,BJMF014,BJMF014.JPG,,taxable,standard-rate
MinMaid Juice Orange 341ml 12Pk ,,,Beverages->Juice->Minute Maid&FiveAlive,,7.49,,,,,,,BJMF015,BJMF015.JPG,,taxable,standard-rate
MinMaid Cocktail 341ml 12Pk ,,,Beverages->Juice->Minute Maid&FiveAlive,,7.49,,,,,,,BJMF016,BJMF016.JPG,,taxable,standard-rate
FiceAliv Juice Citr 341ml 12Pk ,,,Beverages->Juice->Minute Maid&FiveAlive,,7.49,,,,,,,BJMF017,BJMF017.JPG,,taxable,standard-rate
