title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Oasis Jce Frt Yellow 200ml 8Pk ,,,Beverages->Juice->Oasis ,,3.49,,,,,,,BJO001,BJO001.JPG,,taxable ,standard-rate
Oasis Juice Trop Psn 200ml 8Pk ,,,Beverages->Juice->Oasis ,,3.49,,,,,,,BJO002,BJO002.JPG,,taxable ,standard-rate
OasisFrt Jce S/B Ban 200ml 8Pk ,,,Beverages->Juice->Oasis ,,3.49,,,,,,,BJO003,BJO003.JPG,,taxable ,standard-rate
Oasis Jce Exotc Mngo 200ml 8Pk ,,,Beverages->Juice->Oasis ,,3.49,,,,,,,BJO004,BJO004.JPG,,taxable ,standard-rate
Oasis Jce Frt Purple 200ml 8Pk ,,,Beverages->Juice->Oasis ,,3.49,,,,,,,BJO005,BJO005.JPG,,taxable ,standard-rate
OasisFrt Jce Grp Bry 200ml 8Pk ,,,Beverages->Juice->Oasis ,,3.49,,,,,,,BJO006,BJO006.JPG,,taxable ,standard-rate
Oasis Juice Pure Breakfast 200ml 8Pk ,,,Beverages->Juice->Oasis ,,3.49,,,,,,,BJO007,BJO007.JPG,,taxable ,standard-rate
Oasis Jce Fruit Red 200ml 8Pk ,,,Beverages->Juice->Oasis ,,3.49,,,,,,,BJO008,BJO008.JPG,,taxable ,standard-rate
OasisFrt Juice Apple 200ml 8Pk ,,,Beverages->Juice->Oasis ,,3.49,,,,,,,BJO009,BJO009.JPG,,taxable ,standard-rate
Oasis Jce Apple NFC 200ml 8Pk ,,,Beverages->Juice->Oasis ,,3.49,,,,,,,BJO010,BJO010.JPG,,taxable ,standard-rate
Oasis Juice WldBry Pome 300ml ,,,Beverages->Juice->Oasis ,,3.99,,,,,,,BJO011,BJO011.JPG,,taxable ,standard-rate
Oasis Juice Apple Calc 300ml ,,,Beverages->Juice->Oasis ,,3.79,,,,,,,BJO012,BJO012.JPG,,taxable ,standard-rate
Oasis Juice Fruit Yellow 960ml,,,Beverages->Juice->Oasis ,,1.99,,,,,,,BJO013,BJO013.JPG,,taxable ,standard-rate
Oasis FrtsEtc Jce Delicly Orgn 960ml ,,,Beverages->Juice->Oasis ,,1.99,,,,,,,BJO014,BJO014.JPG,,taxable ,standard-rate
Oasis Jus Tropical Passn 960ml ,,,Beverages->Juice->Oasis ,,1.99,,,,,,,BJO015,BJO015.JPG,,taxable ,standard-rate
Oasis Jce Fruit Purple 960ml ,,,Beverages->Juice->Oasis ,,1.99,,,,,,,BJO016,BJO016.JPG,,taxable ,standard-rate
Oasis Jce Fruit Red 960ml ,,,Beverages->Juice->Oasis ,,1.99,,,,,,,BJO017,BJO017.JPG,,taxable ,standard-rate
Oasis Juice Pineapple 960ml,,,Beverages->Juice->Oasis ,,1.99,,,,,,,BJO018,BJO018.JPG,,taxable ,standard-rate
Oasis Juice Orange Blend 960ml,,,Beverages->Juice->Oasis ,,1.99,,,,,,,BJO019,BJO019.JPG,,taxable ,standard-rate
Oasis Mango Juice Exotic 960ml ,,,Beverages->Juice->Oasis ,,1.99,,,,,,,BJO020,BJO020.JPG,,taxable ,standard-rate
Oasis Juice Apple Clss NFC 960ml ,,,Beverages->Juice->Oasis ,,1.99,,,,,,,BJO021,BJO021.JPG,,taxable ,standard-rate
Oasis Juice WldBry Pome Antiox 1.36L,,,Beverages->Juice->Oasis ,,3.99,,,,,,,BJO022,BJO022.JPG,,taxable ,standard-rate
Oasis C/Tail WldBry Pome L/Cal 1.36L,,,Beverages->Juice->Oasis ,,3.99,,,,,,,BJO023,BJO023.JPG,,taxable ,standard-rate
Oasis Juice Cranbry C/Tail 1.36L,,,Beverages->Juice->Oasis ,,3.99,,,,,,,BJO024,BJO024.JPG,,taxable ,standard-rate
Oasis Cbry Low Calr C/Tail 1.36L,,,Beverages->Juice->Oasis ,,3.99,,,,,,,BJO025,BJO025.JPG,,taxable ,standard-rate
