title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Lu Biscuits Chococlate  150g,,,Snacks & Candies->Cookies & Biscuits->Biscuits ,,3.49,,,,,,,SCB001,SCB001.JPG,,taxable,standard-rate
Lu Petit Ecolier Bitter Sweet 150g,,,Snacks & Candies->Cookies & Biscuits->Biscuits ,,3.49,,,,,,,SCB002,SCB002.JPG,,taxable,standard-rate
Lu School Boy Milk 150g ,,,Snacks & Candies->Cookies & Biscuits->Biscuits ,,3.49,,,,,,,SCB003,SCB003.JPG,,taxable,standard-rate
Lu Peit Ecolier White Chocolate 150g,,,Snacks & Candies->Cookies & Biscuits->Biscuits ,,3.49,,,,,,,SCB004,SCB004.JPG,,taxable,standard-rate
Lu Pims Raspberry 150g,,,Snacks & Candies->Cookies & Biscuits->Biscuits ,,3.49,,,,,,,SCB005,SCB005.JPG,,taxable,standard-rate
Lu Pims Original 150g,,,Snacks & Candies->Cookies & Biscuits->Biscuits ,,3.49,,,,,,,SCB006,SCB006.JPG,,taxable,standard-rate
Arnotts Cookies Double Coat 200g ,,,Snacks & Candies->Cookies & Biscuits->Biscuits ,,3.99,,,,,,,SCB014,SCB014.JPG,,taxable,standard-rate
Arnotts Tim Tam Cookies Caramel 175g,,,Snacks & Candies->Cookies & Biscuits->Biscuits ,,3.99,,,,,,,SCB015,SCB015.JPG,,taxable,standard-rate
Arnotts Tim Tam Cookies Original 200g,,,Snacks & Candies->Cookies & Biscuits->Biscuits ,,3.99,,,,,,,SCB016,SCB016.JPG,,taxable,standard-rate
Kambly Florentin Almond Biscuit 100g ,,,Snacks & Candies->Cookies & Biscuits->Biscuits ,,4.99,,,,,,,SCB017,SCB017.JPG,,taxable,standard-rate
kambly Chocolune Dark Chocolate 100g ,,,Snacks & Candies->Cookies & Biscuits->Biscuits ,,4.99,,,,,,,SCB018,SCB018.JPG,,taxable,standard-rate
Kambly Butterfly Almond Biscuit 100g,,,Snacks & Candies->Cookies & Biscuits->Biscuits ,,4.99,,,,,,,SCB019,SCB019.JPG,,taxable,standard-rate
Loacker Wafers Vanilla 175g,,,Snacks & Candies->Cookies & Biscuits->Biscuits ,,2.79,,,,,,,SCB020,SCB020.JPG,,taxable,standard-rate
Loacker Wafers Hazelnut 175g ,,,Snacks & Candies->Cookies & Biscuits->Biscuits ,,2.79,,,,,,,SCB021,SCB021.JPG,,taxable,standard-rate
Loacker Wafers Chocolate 175g,,,Snacks & Candies->Cookies & Biscuits->Biscuits ,,2.79,,,,,,,SCB022,SCB022.JPG,,taxable,standard-rate
Walker Highlander Short Bread 200g ,,,Snacks & Candies->Cookies & Biscuits->Biscuits ,,5.79,,,,,,,SCB027,SCB027.JPG,,taxable,standard-rate
Walker Short Bread Fingers 150g ,,,Snacks & Candies->Cookies & Biscuits->Biscuits ,,3.99,,,,,,,SCB028,SCB028.JPG,,taxable,standard-rate
Cadbury Finger Buscuits Milk Chocolate ,,,Snacks & Candies->Cookies & Biscuits->Biscuits ,,2.99,,,,,,,SCB029,SCB029.JPG,,taxable,standard-rate
Cadbury Biscuits Crunchie 130g ,,,Snacks & Candies->Cookies & Biscuits->Biscuits ,,3.49,,,,,,,SCB030,SCB030.JPG,,taxable,standard-rate
Nonnis Biscuits Cioccolati 193g ,,,Snacks & Candies->Cookies & Biscuits->Biscuits ,,3.99,,,,,,,SCB031,SCB031.JPG,,taxable,standard-rate
Nonnis Original 156g ,,,Snacks & Candies->Cookies & Biscuits->Biscuits ,,3.99,,,,,,,SCB032,SCB032.JPG,,taxable,standard-rate
Nonnis Decadence 193g ,,,Snacks & Candies->Cookies & Biscuits->Biscuits ,,3.99,,,,,,,SCB033,SCB033.JPG,,taxable,standard-rate
Savoia Biscuits Rustico 200g ,,,Snacks & Candies->Cookies & Biscuits->Biscuits ,,1.29,,,,,,,SCB036,SCB036.JPG,,taxable,standard-rate
Savoia Biscuits Chocolate Chip S 200g ,,,Snacks & Candies->Cookies & Biscuits->Biscuits ,,1.19,,,,,,,SCB037,SCB037.JPG,,taxable,standard-rate
Savoia Biscuits S 200g ,,,Snacks & Candies->Cookies & Biscuits->Biscuits ,,1.29,,,,,,,SCB038,SCB038.JPG,,taxable,standard-rate
Savoia Biscuits Lady Finger Giant 150g ,,,Snacks & Candies->Cookies & Biscuits->Biscuits ,,0.79,,,,,,,SCB039,SCB039.JPG,,taxable,standard-rate
Reko Vanilla Pizzelle 200g ,,,Snacks & Candies->Cookies & Biscuits->Biscuits ,,3.49,,,,,,,SCB042,SCB042.JPG,,taxable,standard-rate
Reko Anise Pizzelle 200g ,,,Snacks & Candies->Cookies & Biscuits->Biscuits ,,3.49,,,,,,,SCB043,SCB043.JPG,,taxable,standard-rate
Sardo Social Tea Biscuit 400g ,,,Snacks & Candies->Cookies & Biscuits->Biscuits ,,2.29,,,,,,,SCB044,SCB044.JPG,,taxable,standard-rate
