title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Dove Purely Pampering Almond Cream Body Wash 354ml,,,Home & Lifestyle->Personal Care->Body Wash,,5.99,,,,,,,HLPCBW001,HLPCBW001.JPG,,taxable ,standard-rate
Dove Purely Pampering Coconut Milk Body Wash 354ml,,,Home & Lifestyle->Personal Care->Body Wash,,5.99,,,,,,,HLPCBW002,HLPCBW002.JPG,,taxable ,standard-rate
Dove Purely Pampering Shea Butter Body Wash 354ml,,,Home & Lifestyle->Personal Care->Body Wash,,5.99,,,,,,,HLPCBW003,HLPCBW003.JPG,,taxable ,standard-rate
Dove Gentle Exfoliating Body Wash 354ml,,,Home & Lifestyle->Personal Care->Body Wash,,5.99,,,,,,,HLPCBW004,HLPCBW004.JPG,,taxable ,standard-rate
Dove Go Fresh Cucumber & Green Tea Body Wash 354ml,,,Home & Lifestyle->Personal Care->Body Wash,,5.99,,,,,,,HLPCBW005,HLPCBW005.JPG,,taxable ,standard-rate
Dove Go Fresh Nectarine & White Ginger Body Wash 354ml,,,Home & Lifestyle->Personal Care->Body Wash,,5.99,,,,,,,HLPCBW006,HLPCBW006.JPG,,taxable ,standard-rate
Dove Go Fresh Pomegranate & Lemon Verbena Body Wash 354ml,,,Home & Lifestyle->Personal Care->Body Wash,,5.99,,,,,,,HLPCBW007,HLPCBW007.JPG,,taxable ,standard-rate
Dove Go Fresh Plum & Sakura Blossom Body Wash 354ml,,,Home & Lifestyle->Personal Care->Body Wash,,5.99,,,,,,,HLPCBW008,HLPCBW008.JPG,,taxable ,standard-rate
Dove Deep Moisture Body Wash 710ml,,,Home & Lifestyle->Personal Care->Body Wash,,10.49,,,,,,,HLPCBW009,HLPCBW009.JPG,,taxable ,standard-rate
Dove Deep Moisture Body Wash 354ml,,,Home & Lifestyle->Personal Care->Body Wash,,5.99,,,,,,,HLPCBW010,HLPCBW010.JPG,,taxable ,standard-rate
Dove Sensitive Skin Body Wash 354ml,,,Home & Lifestyle->Personal Care->Body Wash,,5.99,,,,,,,HLPCBW011,HLPCBW011.JPG,,taxable ,standard-rate
Dove Visiblecare Softening Body Wash 300ml,,,Home & Lifestyle->Personal Care->Body Wash,,5.99,,,,,,,HLPCBW012,HLPCBW012.JPG,,taxable ,standard-rate
Dove Sensitive Skin Beauty Bar 8bars,,,Home & Lifestyle->Personal Care->Body Wash,,9.99,,,,,,,HLPCBW013,HLPCBW013.JPG,,taxable ,standard-rate
Dove White Beauty Bar 4bars,,,Home & Lifestyle->Personal Care->Body Wash,,5.49,,,,,,,HLPCBW014,HLPCBW014.JPG,,taxable ,standard-rate
Dove Sensitive Skin Beauty Bar 4bars,,,Home & Lifestyle->Personal Care->Body Wash,,5.49,,,,,,,HLPCBW015,HLPCBW015.JPG,,taxable ,standard-rate
Dove Sensitive Skin Beauty Bar 2bars,,,Home & Lifestyle->Personal Care->Body Wash,,3.49,,,,,,,HLPCBW016,HLPCBW016.JPG,,taxable ,standard-rate
Dove Go Fresh Pomegranate & Lemon Verbena Beauty Bar 4bars,,,Home & Lifestyle->Personal Care->Body Wash,,5.49,,,,,,,HLPCBW017,HLPCBW017.JPG,,taxable ,standard-rate
Dove Go Fresh Pomegranate & Lemon Verbena Beauty Bar 2bars,,,Home & Lifestyle->Personal Care->Body Wash,,4.59,,,,,,,HLPCBW018,HLPCBW018.JPG,,taxable ,standard-rate
Dove White Beauty Bar 8bars,,,Home & Lifestyle->Personal Care->Body Wash,,9.99,,,,,,,HLPCBW019,HLPCBW019.JPG,,taxable ,standard-rate
Dove White Beauty Bar 2bars,,,Home & Lifestyle->Personal Care->Body Wash,,3.49,,,,,,,HLPCBW020,HLPCBW020.JPG,,taxable ,standard-rate
Dove Go Fresh Cool Moisture Beauty Bar 2bars,,,Home & Lifestyle->Personal Care->Body Wash,,3.49,,,,,,,HLPCBW021,HLPCBW021.JPG,,taxable ,standard-rate
Dove Purely Pampering Shea Butter Beauty Bar 4bars,,,Home & Lifestyle->Personal Care->Body Wash,,5.49,,,,,,,HLPCBW022,HLPCBW022.JPG,,taxable ,standard-rate
Ivory Aloe Scented Body Wash 709ml,,,Home & Lifestyle->Personal Care->Body Wash,,4.79,,,,,,,HLPCBW023,HLPCBW023.JPG,,taxable ,standard-rate
Ivory Iavender Scented Body Wash 709ml,,,Home & Lifestyle->Personal Care->Body Wash,,4.79,,,,,,,HLPCBW024,HLPCBW024.JPG,,taxable ,standard-rate
Ivory Original Scented Body Wash 709ml,,,Home & Lifestyle->Personal Care->Body Wash,,4.79,,,,,,,HLPCBW025,HLPCBW025.JPG,,taxable ,standard-rate
Nivea Happy Time Orange Blossom Shower Cream 500ml,,,Home & Lifestyle->Personal Care->Body Wash,,5.99,,,,,,,HLPCBW026,HLPCBW026.JPG,,taxable ,standard-rate
Nivea Cashmere Moments Shower Cream 500ml,,,Home & Lifestyle->Personal Care->Body Wash,,5.99,,,,,,,HLPCBW027,HLPCBW027.JPG,,taxable ,standard-rate
Nivea Cream Soft Shower Cream 500ml,,,Home & Lifestyle->Personal Care->Body Wash,,5.99,,,,,,,HLPCBW028,HLPCBW028.JPG,,taxable ,standard-rate
Softsoap Coconut Scrub Body Butter 443ml,,,Home & Lifestyle->Personal Care->Body Wash,,5.99,,,,,,,HLPCBW029,HLPCBW029.JPG,,taxable ,standard-rate
Softsoap Shea Butter Body Butter 443ml,,,Home & Lifestyle->Personal Care->Body Wash,,5.99,,,,,,,HLPCBW030,HLPCBW030.JPG,,taxable ,standard-rate
Softsoap Strawberry Csryb Body Butter 443ml,,,Home & Lifestyle->Personal Care->Body Wash,,5.99,,,,,,,HLPCBW031,HLPCBW031.JPG,,taxable ,standard-rate
Softsoap Heavenly Vanilla Body Butter 443ml,,,Home & Lifestyle->Personal Care->Body Wash,,5.99,,,,,,,HLPCBW032,HLPCBW032.JPG,,taxable ,standard-rate
Ombra Spa Aromatic Foambath Citrus Sage 500ml,,,Home & Lifestyle->Personal Care->Body Wash,,7.99,,,,,,,HLPCBW033,HLPCBW033.JPG,,taxable ,standard-rate
Ombra Spa Aromatic Foambath Lavender 500ml,,,Home & Lifestyle->Personal Care->Body Wash,,7.99,,,,,,,HLPCBW034,HLPCBW034.JPG,,taxable ,standard-rate
Lever 2000 Citrus Fresh Body Wash 532ml,,,Home & Lifestyle->Personal Care->Body Wash,,4.79,,,,,,,HLPCBW035,HLPCBW035.JPG,,taxable ,standard-rate
Lever 2000 Pure Rain Body wash 532ml,,,Home & Lifestyle->Personal Care->Body Wash,,4.79,,,,,,,HLPCBW036,HLPCBW036.JPG,,taxable ,standard-rate
Dial Naturals Moisturizing Body Wash 473ml,,,Home & Lifestyle->Personal Care->Body Wash,,5.99,,,,,,,HLPCBW037,HLPCBW037.JPG,,taxable ,standard-rate
Dial All Day Freshness Antibacterial Body Wash 473ml,,,Home & Lifestyle->Personal Care->Body Wash,,5.99,,,,,,,HLPCBW038,HLPCBW038.JPG,,taxable ,standard-rate
Softsoap Creamy Milk Protein & Honey Body Wash 532ml,,,Home & Lifestyle->Personal Care->Body Wash,,5.99,,,,,,,HLPCBW039,HLPCBW039.JPG,,taxable ,standard-rate
Softsoap Sweet Honeysuckle & Orange Peel Body Wash 532ml,,,Home & Lifestyle->Personal Care->Body Wash,,5.99,,,,,,,HLPCBW040,HLPCBW040.JPG,,taxable ,standard-rate
Softsoap Black Orchid & Velvet Hibiscus Body Wash 532ml,,,Home & Lifestyle->Personal Care->Body Wash,,5.99,,,,,,,HLPCBW041,HLPCBW041.JPG,,taxable ,standard-rate
Softsoap Juicy Pomegranate & Mango Infusions Body Wash 532ml,,,Home & Lifestyle->Personal Care->Body Wash,,5.99,,,,,,,HLPCBW042,HLPCBW042.JPG,,taxable ,standard-rate
Ombra Spa Aromatic Foambath Ginger Lime 500ml,,,Home & Lifestyle->Personal Care->Body Wash,,7.99,,,,,,,HLPCBW043,HLPCBW043.JPG,,taxable ,standard-rate
Olay Luscious Embrace Cleansing Body Wash 354ml,,,Home & Lifestyle->Personal Care->Body Wash,,5.79,,,,,,,HLPCBW044,HLPCBW044.JPG,,taxable ,standard-rate
Olay Quench Body Wash 354ml,,,Home & Lifestyle->Personal Care->Body Wash,,5.79,,,,,,,HLPCBW045,HLPCBW045.JPG,,taxable ,standard-rate
Olay Soothing Cucumber Cleansing Body Wash 354ml,,,Home & Lifestyle->Personal Care->Body Wash,,5.79,,,,,,,HLPCBW046,HLPCBW046.JPG,,taxable ,standard-rate
Dial Healthy Moisture Soy & Almond Milk Body Wash 473ml,,,Home & Lifestyle->Personal Care->Body Wash,,5.99,,,,,,,HLPCBW047,HLPCBW047.JPG,,taxable ,standard-rate
Dial Yogurt Vanilla Honey Body Wash 473ml,,,Home & Lifestyle->Personal Care->Body Wash,,5.99,,,,,,,HLPCBW048,HLPCBW048.JPG,,taxable ,standard-rate
Clean & Clear Boost Mango & Papaya Body Wash 473ml,,,Home & Lifestyle->Personal Care->Body Wash,,6.49,,,,,,,HLPCBW049,HLPCBW049.JPG,,taxable ,standard-rate
Clean & Clear Charge Pomegranate & Orange Body Wash 473ml,,,Home & Lifestyle->Personal Care->Body Wash,,6.49,,,,,,,HLPCBW050,HLPCBW050.JPG,,taxable ,standard-rate
Ombra Spa Aromatic Foambath Eucalyptus 500ml,,,Home & Lifestyle->Personal Care->Body Wash,,7.99,,,,,,,HLPCBW051,HLPCBW051.JPG,,taxable ,standard-rate
Ivory Aloe Scent Bar 10bars,,,Home & Lifestyle->Personal Care->Body Wash,,5.49,,,,,,,HLPCBW052,HLPCBW052.JPG,,taxable ,standard-rate
Olay Ultra Moisture 2 Beauty Bars,,,Home & Lifestyle->Personal Care->Body Wash,,2.99,,,,,,,HLPCBW053,HLPCBW053.JPG,,taxable ,standard-rate
Olay Age Defying 4 Beauty Bars,,,Home & Lifestyle->Personal Care->Body Wash,,4.99,,,,,,,HLPCBW054,HLPCBW054.JPG,,taxable ,standard-rate
Olay Ultra Moisture 4 Beauty Bars,,,Home & Lifestyle->Personal Care->Body Wash,,4.99,,,,,,,HLPCBW055,HLPCBW055.JPG,,taxable ,standard-rate
Olay Sheer Moisture 4 Beauty Bars,,,Home & Lifestyle->Personal Care->Body Wash,,4.99,,,,,,,HLPCBW056,HLPCBW056.JPG,,taxable ,standard-rate
Olay Ultra Moisture 4 Beauty Bars,,,Home & Lifestyle->Personal Care->Body Wash,,4.99,,,,,,,HLPCBW057,HLPCBW057.JPG,,taxable ,standard-rate
Lever 2000 Original Refreshing Bars 4pk,,,Home & Lifestyle->Personal Care->Body Wash,,3.49,,,,,,,HLPCBW058,HLPCBW058.JPG,,taxable ,standard-rate
Dial Spring Water Antibacterial Deodorant Soap 8pk,,,Home & Lifestyle->Personal Care->Body Wash,,5.49,,,,,,,HLPCBW059,HLPCBW059.JPG,,taxable ,standard-rate
Dial Mountain Fresh Antibacterial Deodorant Soap 8pk,,,Home & Lifestyle->Personal Care->Body Wash,,5.49,,,,,,,HLPCBW060,HLPCBW060.JPG,,taxable ,standard-rate
Ivory Original Bars 3pk,,,Home & Lifestyle->Personal Care->Body Wash,,2.99,,,,,,,HLPCBW061,HLPCBW061.JPG,,taxable ,standard-rate
Ivory Original Bars 10pk,,,Home & Lifestyle->Personal Care->Body Wash,,5.49,,,,,,,HLPCBW062,HLPCBW062.JPG,,taxable ,standard-rate
Olay Age Defying 2 Beauty Bars,,,Home & Lifestyle->Personal Care->Body Wash,,3.29,,,,,,,HLPCBW063,HLPCBW063.JPG,,taxable ,standard-rate
Olay Fresh Reviving 4 Beauty Bars,,,Home & Lifestyle->Personal Care->Body Wash,,4.29,,,,,,,HLPCBW064,HLPCBW064.JPG,,taxable ,standard-rate
Lever 2000 Grapefruit & Orange Refreshing Bars 4pk,,,Home & Lifestyle->Personal Care->Body Wash,,3.49,,,,,,,HLPCBW065,HLPCBW065.JPG,,taxable ,standard-rate
Pears Transparent Soap 3pk,,,Home & Lifestyle->Personal Care->Body Wash,,2.99,,,,,,,HLPCBW066,HLPCBW066.JPG,,taxable ,standard-rate
Caprina Fresh Goat's Milk Soap with Olive Oil & Wheat Protein 3pk,,,Home & Lifestyle->Personal Care->Body Wash,,3.99,,,,,,,HLPCBW067,HLPCBW067.JPG,,taxable ,standard-rate
Caprina Fresh Goat's Milk Soap Original 3pk,,,Home & Lifestyle->Personal Care->Body Wash,,3.99,,,,,,,HLPCBW068,HLPCBW068.JPG,,taxable ,standard-rate
Axe Anarchy Shower Gel 473ml,,,Home & Lifestyle->Personal Care->Body Wash,,5.79,,,,,,,HLPCBW069,HLPCBW069.JPG,,taxable ,standard-rate
Axe Excite Shower Gel 473ml,,,Home & Lifestyle->Personal Care->Body Wash,,5.79,,,,,,,HLPCBW070,HLPCBW070.JPG,,taxable ,standard-rate
Axe Darktemptation Shower Gel 473ml,,,Home & Lifestyle->Personal Care->Body Wash,,5.79,,,,,,,HLPCBW071,HLPCBW071.JPG,,taxable ,standard-rate
Old Spice Fiji Body Wash 473ml,,,Home & Lifestyle->Personal Care->Body Wash,,4.99,,,,,,,HLPCBW072,HLPCBW072.JPG,,taxable ,standard-rate
