title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
M'lord Miniature Corn Cobs Whole 398ml,,,Groceries->Soups & Cans->Canned Corn and Other Vegetables ,,1.69,,,,,,,GSCCCOV001,GSCCCOV001.JPG,,taxable ,standard-rate
Aylmer Whole Rosebud Beets 398ml,,,Groceries->Soups & Cans->Canned Corn and Other Vegetables ,,1.99,,,,,,,GSCCCOV002,GSCCCOV002.JPG,,taxable ,standard-rate
Aylmer Sliced Beets 398ml,,,Groceries->Soups & Cans->Canned Corn and Other Vegetables ,,1.99,,,,,,,GSCCCOV003,GSCCCOV003.JPG,,taxable ,standard-rate
Compliments Sliced Beets 398ml,,,Groceries->Soups & Cans->Canned Corn and Other Vegetables ,,1.29,,,,,,,GSCCCOV004,GSCCCOV004.JPG,,taxable ,standard-rate
Compliments Asparagus Cuts 341ml,,,Groceries->Soups & Cans->Canned Corn and Other Vegetables ,,1.99,,,,,,,GSCCCOV005,GSCCCOV005.JPG,,taxable ,standard-rate
Compliments Asparagus Tips 341ml,,,Groceries->Soups & Cans->Canned Corn and Other Vegetables ,,2.99,,,,,,,GSCCCOV006,GSCCCOV006.JPG,,taxable ,standard-rate
DelMonte Whole Leaf Spinach 398ml,,,Groceries->Soups & Cans->Canned Corn and Other Vegetables ,,2.79,,,,,,,GSCCCOV007,GSCCCOV007.JPG,,taxable ,standard-rate
DelMonte Cut Sweet Potatoes 540ml,,,Groceries->Soups & Cans->Canned Corn and Other Vegetables ,,2.99,,,,,,,GSCCCOV008,GSCCCOV008.JPG,,taxable ,standard-rate
French's French Fried Onion 79g,,,Groceries->Soups & Cans->Canned Corn and Other Vegetables ,,2.79,,,,,,,GSCCCOV009,GSCCCOV009.JPG,,taxable ,standard-rate
Compliments Mushrooms Whole 284ml,,,Groceries->Soups & Cans->Canned Corn and Other Vegetables ,,1.42,,,,,,,GSCCCOV010,GSCCCOV010.JPG,,taxable ,standard-rate
Green Giant Niblets Less Salt 341ml,,,Groceries->Soups & Cans->Canned Corn and Other Vegetables ,,1.69,,,,,,,GSCCCOV011,GSCCCOV011.JPG,,taxable ,standard-rate
Compliments Mushrooms Sliced 284ml,,,Groceries->Soups & Cans->Canned Corn and Other Vegetables ,,1.29,,,,,,,GSCCCOV012,GSCCCOV012.JPG,,taxable ,standard-rate
Green Giant Garden Medley 398ml,,,Groceries->Soups & Cans->Canned Corn and Other Vegetables ,,1.69,,,,,,,GSCCCOV013,GSCCCOV013.JPG,,taxable ,standard-rate
Compliments Mixed Vegetables 398ml,,,Groceries->Soups & Cans->Canned Corn and Other Vegetables ,,1.29,,,,,,,GSCCCOV014,GSCCCOV014.JPG,,taxable ,standard-rate
