title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Chef Boyardee Beef Lasagna 212g ,,,Groceries->Soups & Cans->Canned Meal ,,2.05,,,,,,,GSCCM001,GSCCM001.JPG,,taxable ,standard-rate
Chef Boyardee Beefaroni 212g,,,Groceries->Soups & Cans->Canned Meal ,,2.05,,,,,,,GSCCM002,GSCCM002.JPG,,taxable ,standard-rate
Chef Boyardee Beef Rovioli 212g,,,Groceries->Soups & Cans->Canned Meal ,,2.05,,,,,,,GSCCM003,GSCCM003.JPG,,taxable ,standard-rate
Chef Boyardee Cheesy Mac 212g,,,Groceries->Soups & Cans->Canned Meal ,,2.05,,,,,,,GSCCM004,GSCCM004.JPG,,taxable ,standard-rate
Chef Boyardee Mini Spaghetti Rings & Meatballs 212g,,,Groceries->Soups & Cans->Canned Meal ,,2.05,,,,,,,GSCCM005,GSCCM005.JPG,,taxable ,standard-rate
Chef Boyardee Overstuffed Beef Ranioli 425g,,,Groceries->Soups & Cans->Canned Meal ,,2.05,,,,,,,GSCCM006,GSCCM006.JPG,,taxable ,standard-rate
Chef Boyardee Mini Ravioli 425g,,,Groceries->Soups & Cans->Canned Meal ,,2.05,,,,,,,GSCCM007,GSCCM007.JPG,,taxable ,standard-rate
Chef Boyardee Jumbo Spaghetti & Meatballs 411g,,,Groceries->Soups & Cans->Canned Meal ,,2.05,,,,,,,GSCCM008,GSCCM008.JPG,,taxable ,standard-rate
Chef Boyardee Spaghetti & Meatballs 418g,,,Groceries->Soups & Cans->Canned Meal ,,2.05,,,,,,,GSCCM009,GSCCM009.JPG,,taxable ,standard-rate
Chef Boyardee Big Beefaroni 418g,,,Groceries->Soups & Cans->Canned Meal ,,2.05,,,,,,,GSCCM010,GSCCM010.JPG,,taxable ,standard-rate
Chef Boyardee Beefaroni 425g,,,Groceries->Soups & Cans->Canned Meal ,,2.05,,,,,,,GSCCM011,GSCCM011.JPG,,taxable ,standard-rate
Chef Boyardee Mini Bites Beef Ravioli & Meatballs in Tomatoes Sauce 425g,,,Groceries->Soups & Cans->Canned Meal ,,2.05,,,,,,,GSCCM012,GSCCM012.JPG,,taxable ,standard-rate
Chef Boyardee Beef Lasagna 425g,,,Groceries->Soups & Cans->Canned Meal ,,2.05,,,,,,,GSCCM013,GSCCM013.JPG,,taxable ,standard-rate
Chef Boyardee Mini Pasta Shells & Meatballs in Tomato Sauces 418g,,,Groceries->Soups & Cans->Canned Meal ,,2.05,,,,,,,GSCCM014,GSCCM014.JPG,,taxable ,standard-rate
Compliments Beef Ravioli 425g,,,Groceries->Soups & Cans->Canned Meal ,,1.49,,,,,,,GSCCM015,GSCCM015.JPG,,taxable ,standard-rate
Compliments Safari Animals Pasta in Tomato Sauce with Cheese 398ml,,,Groceries->Soups & Cans->Canned Meal ,,1.32,,,,,,,GSCCM016,GSCCM016.JPG,,taxable ,standard-rate
Compliments Spaghetti & Meatballs 425g,,,Groceries->Soups & Cans->Canned Meal ,,1.49,,,,,,,GSCCM017,GSCCM017.JPG,,taxable ,standard-rate
Compliments Spaghetti 398ml,,,Groceries->Soups & Cans->Canned Meal ,,1.32,,,,,,,GSCCM018,GSCCM018.JPG,,taxable ,standard-rate
Compliments Macaroni & Beef 425g,,,Groceries->Soups & Cans->Canned Meal ,,1.49,,,,,,,GSCCM019,GSCCM019.JPG,,taxable ,standard-rate
Compliments Spell Bits Pasta in Tomato Sauce with Cheese 398ml,,,Groceries->Soups & Cans->Canned Meal ,,1.32,,,,,,,GSCCM020,GSCCM020.JPG,,taxable ,standard-rate
Compliments Mini Beef Ravioli in Tomato & Meat Sauce 425g,,,Groceries->Soups & Cans->Canned Meal ,,1.49,,,,,,,GSCCM021,GSCCM021.JPG,,taxable ,standard-rate
Compliments Balance Vegetarian Chili Beans 398ml,,,Groceries->Soups & Cans->Canned Meal ,,2.49,,,,,,,GSCCM022,GSCCM022.JPG,,taxable ,standard-rate
Compliments Traditional Chili Beans 410g,,,Groceries->Soups & Cans->Canned Meal ,,2.49,,,,,,,GSCCM023,GSCCM023.JPG,,taxable ,standard-rate
Compliments Hot & Spicy Chili Beans 410g,,,Groceries->Soups & Cans->Canned Meal ,,2.49,,,,,,,GSCCM024,GSCCM024.JPG,,taxable ,standard-rate
Compliments Beans in Tomato Sauce 398ml,,,Groceries->Soups & Cans->Canned Meal ,,1.32,,,,,,,GSCCM025,GSCCM025.JPG,,taxable ,standard-rate
Compliments Beans with Pork in Tomato Sauce 398ml,,,Groceries->Soups & Cans->Canned Meal ,,1.32,,,,,,,GSCCM026,GSCCM026.JPG,,taxable ,standard-rate
Compliments Beans in Maple Syrup 398ml,,,Groceries->Soups & Cans->Canned Meal ,,1.32,,,,,,,GSCCM027,GSCCM027.JPG,,taxable ,standard-rate
Compliments Beans with Pork In Molasses Sauce 398ml,,,Groceries->Soups & Cans->Canned Meal ,,1.32,,,,,,,GSCCM028,GSCCM028.JPG,,taxable ,standard-rate
Compliments Beans with Pork in Molasses Sauce 540ml,,,Groceries->Soups & Cans->Canned Meal ,,1.59,,,,,,,GSCCM029,GSCCM029.JPG,,taxable ,standard-rate
Compliments Beans with Pork in Tomato Sauce 540ml,,,Groceries->Soups & Cans->Canned Meal ,,1.79,,,,,,,GSCCM030,GSCCM030.JPG,,taxable ,standard-rate
Compliments Beef Stew 410g,,,Groceries->Soups & Cans->Canned Meal ,,1.49,,,,,,,GSCCM031,GSCCM031.JPG,,taxable ,standard-rate
Compliments Frontier Stew 410g,,,Groceries->Soups & Cans->Canned Meal ,,1.49,,,,,,,GSCCM032,GSCCM032.JPG,,taxable ,standard-rate
Compliments Irish Stew 410g,,,Groceries->Soups & Cans->Canned Meal ,,1.49,,,,,,,GSCCM033,GSCCM033.JPG,,taxable ,standard-rate
Heinz Chili Style Pinto & Red Kidney Beans 398ml,,,Groceries->Soups & Cans->Canned Meal ,,1.63,,,,,,,GSCCM034,GSCCM034.JPG,,taxable ,standard-rate
Heinz Original Beans with Pork & Tomato Sauce 398ml,,,Groceries->Soups & Cans->Canned Meal ,,1.63,,,,,,,GSCCM035,GSCCM035.JPG,,taxable ,standard-rate
Heinz Original Beans in Tomato Sauce 398ml,,,Groceries->Soups & Cans->Canned Meal ,,1.63,,,,,,,GSCCM036,GSCCM036.JPG,,taxable ,standard-rate
Heinz Original Beans with Pork & Molasses Sauce 398ml,,,Groceries->Soups & Cans->Canned Meal ,,1.63,,,,,,,GSCCM037,GSCCM037.JPG,,taxable ,standard-rate
Heinz Maple Style Beans in Pure Quebec maple Syrup Sauce 398ml,,,Groceries->Soups & Cans->Canned Meal ,,1.63,,,,,,,GSCCM038,GSCCM038.JPG,,taxable ,standard-rate
Heinz Alphagetti Pasta in Tomato Sauce 398ml,,,Groceries->Soups & Cans->Canned Meal ,,1.63,,,,,,,GSCCM039,GSCCM039.JPG,,taxable ,standard-rate
Heinz Zoodles Pasta in Tomato Sauce 398ml,,,Groceries->Soups & Cans->Canned Meal ,,1.63,,,,,,,GSCCM040,GSCCM040.JPG,,taxable ,standard-rate
Heinz Spaghetti in Tomato Sauce with Cheese 398ml,,,Groceries->Soups & Cans->Canned Meal ,,1.63,,,,,,,GSCCM041,GSCCM041.JPG,,taxable ,standard-rate
