title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Campbell Broth Chicken Broth 284ml,,,Groceries->Soups & Cans->Canned Soups ,,1.89,,,,,,,GSCCS001,GSCCS001.JPG,,taxable,standard-rate
Campbell Broth Consomme 284ml,,,Groceries->Soups & Cans->Canned Soups ,,1.89,,,,,,,GSCCS002,GSCCS002.JPG,,taxable,standard-rate
Campbell Cream of Potato 284ml,,,Groceries->Soups & Cans->Canned Soups ,,2.25,,,,,,,GSCCS003,GSCCS003.JPG,,taxable,standard-rate
Campbell Creams Cheddar Cheese 284ml,,,Groceries->Soups & Cans->Canned Soups ,,2.25,,,,,,,GSCCS004,GSCCS004.JPG,,taxable,standard-rate
Campbell Cream of Broccoli & Cheese 284ml,,,Groceries->Soups & Cans->Canned Soups ,,2.25,,,,,,,GSCCS005,GSCCS005.JPG,,taxable,standard-rate
Campbell Cream of Broccoli 284ml,,,Groceries->Soups & Cans->Canned Soups ,,2.25,,,,,,,GSCCS006,GSCCS006.JPG,,taxable,standard-rate
Campbell Cream of Wild Mushroom 284ml,,,Groceries->Soups & Cans->Canned Soups ,,2.25,,,,,,,GSCCS007,GSCCS007.JPG,,taxable,standard-rate
Campbell Cream of Mushroom& Garlic 284ml,,,Groceries->Soups & Cans->Canned Soups ,,2.25,,,,,,,GSCCS008,GSCCS008.JPG,,taxable,standard-rate
Campbell Soup Chicken Gumbo 284ml,,,Groceries->Soups & Cans->Canned Soups ,,2.25,,,,,,,GSCCS009,GSCCS009.JPG,,taxable,standard-rate
Campbell Soup Chicken Vegetable 284ml,,,Groceries->Soups & Cans->Canned Soups ,,2.25,,,,,,,GSCCS010,GSCCS010.JPG,,taxable,standard-rate
Campbell Soup Chicken with White and Wild Rice 284ml,,,Groceries->Soups & Cans->Canned Soups ,,2.25,,,,,,,GSCCS011,GSCCS011.JPG,,taxable,standard-rate
Campbell Soup Vegetable Beef 284ml,,,Groceries->Soups & Cans->Canned Soups ,,2.25,,,,,,,GSCCS012,GSCCS012.JPG,,taxable,standard-rate
