title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Primo Pizza Sauce Garlic And Basil 213ml,,,Groceries->Soups & Cans->Canned Tomatoes ,,0.99,,,,,,,GSCCT001,GSCCT001.JPG,,taxable,standard-rate
Primo Pizza Sauce Traditional 213ml,,,Groceries->Soups & Cans->Canned Tomatoes ,,0.99,,,,,,,GSCCT002,GSCCT002.JPG,,taxable,standard-rate
Primo Pizza Squeeze Traditional 375ml,,,Groceries->Soups & Cans->Canned Tomatoes ,,1.83,,,,,,,GSCCT003,GSCCT003.JPG,,taxable,standard-rate
Primo Diced Plum Tomatoes 796ml,,,Groceries->Soups & Cans->Canned Tomatoes ,,1.39,,,,,,,GSCCT004,GSCCT004.JPG,,taxable,standard-rate
Primo Crushed Tomatoes No Salt Added 796ml,,,Groceries->Soups & Cans->Canned Tomatoes ,,1.39,,,,,,,GSCCT005,GSCCT005.JPG,,taxable,standard-rate
Primo Whole Plum Tomatoes 796ml,,,Groceries->Soups & Cans->Canned Tomatoes ,,1.39,,,,,,,GSCCT006,GSCCT006.JPG,,taxable,standard-rate
Gattuso Pizza Sauce Spicy 213ml,,,Groceries->Soups & Cans->Canned Tomatoes ,,0.99,,,,,,,GSCCT007,GSCCT007.JPG,,taxable,standard-rate
Gattuso Pizza Sauce Original 213ml,,,Groceries->Soups & Cans->Canned Tomatoes ,,0.99,,,,,,,GSCCT008,GSCCT008.JPG,,taxable,standard-rate
Hunt's Tomato Paste Garlic 156ml,,,Groceries->Soups & Cans->Canned Tomatoes ,,1.02,,,,,,,GSCCT009,GSCCT009.JPG,,taxable,standard-rate
Hunt's Tomato Paste Herbs & Spices 156ml,,,Groceries->Soups & Cans->Canned Tomatoes ,,1.02,,,,,,,GSCCT010,GSCCT010.JPG,,taxable,standard-rate
Hunt's Tomato Paste 156ml,,,Groceries->Soups & Cans->Canned Tomatoes ,,1.02,,,,,,,GSCCT011,GSCCT011.JPG,,taxable,standard-rate
Unico Tomato Paste 156ml,,,Groceries->Soups & Cans->Canned Tomatoes ,,0.79,,,,,,,GSCCT012,GSCCT012.JPG,,taxable,standard-rate
Unico Tomato Paste Italian Herbs 156ml,,,Groceries->Soups & Cans->Canned Tomatoes ,,0.79,,,,,,,GSCCT013,GSCCT013.JPG,,taxable,standard-rate
Unico Diced Tomatoes Herbs & Spices 796ml,,,Groceries->Soups & Cans->Canned Tomatoes ,,1.49,,,,,,,GSCCT014,GSCCT014.JPG,,taxable,standard-rate
Unico Diced Tomatoes 796ml,,,Groceries->Soups & Cans->Canned Tomatoes ,,1.49,,,,,,,GSCCT015,GSCCT015.JPG,,taxable,standard-rate
Unico San Marzano Type Tomatoes Premium 796ml,,,Groceries->Soups & Cans->Canned Tomatoes ,,1.49,,,,,,,GSCCT016,GSCCT016.JPG,,taxable,standard-rate
Unico Crushed Tomatoes 796ml,,,Groceries->Soups & Cans->Canned Tomatoes ,,1.49,,,,,,,GSCCT017,GSCCT017.JPG,,taxable,standard-rate
Unico Tomatoes No Salt Added 796ml,,,Groceries->Soups & Cans->Canned Tomatoes ,,1.49,,,,,,,GSCCT018,GSCCT018.JPG,,taxable,standard-rate
Unico Tomatoes 796ml,,,Groceries->Soups & Cans->Canned Tomatoes ,,1.49,,,,,,,GSCCT019,GSCCT019.JPG,,taxable,standard-rate
Compliments Traditional Pizza Sauce 375ml,,,Groceries->Soups & Cans->Canned Tomatoes ,,2.19,,,,,,,GSCCT020,GSCCT020.JPG,,taxable,standard-rate
Compliments Roasted Garlic Pizza Sauce 375ml,,,Groceries->Soups & Cans->Canned Tomatoes ,,2.19,,,,,,,GSCCT021,GSCCT021.JPG,,taxable,standard-rate
Compliments Tomato Paste 156ml,,,Groceries->Soups & Cans->Canned Tomatoes ,,0.59,,,,,,,GSCCT022,GSCCT022.JPG,,taxable,standard-rate
Compliments Balance Diced Tomatoes No Salt Added 796ml,,,Groceries->Soups & Cans->Canned Tomatoes ,,1.29,,,,,,,GSCCT023,GSCCT023.JPG,,taxable,standard-rate
Compliments Diced Tomatoes 796ml,,,Groceries->Soups & Cans->Canned Tomatoes ,,1.29,,,,,,,GSCCT024,GSCCT024.JPG,,taxable,standard-rate
Compliments Crushed Tomatoes 796ml,,,Groceries->Soups & Cans->Canned Tomatoes ,,1.29,,,,,,,GSCCT025,GSCCT025.JPG,,taxable,standard-rate
Compliments Organic Whole Plum Tomatoes 796ml,,,Groceries->Soups & Cans->Canned Tomatoes ,,2.49,,,,,,,GSCCT026,GSCCT026.JPG,,taxable,standard-rate
Compliments Whole Tomatoes 796ml,,,Groceries->Soups & Cans->Canned Tomatoes ,,1.29,,,,,,,GSCCT027,GSCCT027.JPG,,taxable,standard-rate
Compliments Organic Diced Plum Tomatoes 796ml,,,Groceries->Soups & Cans->Canned Tomatoes ,,2.49,,,,,,,GSCCT028,GSCCT028.JPG,,taxable,standard-rate
Compliments Diced Tomatoes With Italian Seasoning 796ml,,,Groceries->Soups & Cans->Canned Tomatoes ,,1.29,,,,,,,GSCCT029,GSCCT029.JPG,,taxable,standard-rate
Compliments Stewed Tomatoes 796ml,,,Groceries->Soups & Cans->Canned Tomatoes ,,1.29,,,,,,,GSCCT030,GSCCT030.JPG,,taxable,standard-rate
