title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Kellogg Corn Pops Family Size 515g,,,Groceries->Cereal & Breakfast->Cereal,,6.29,,,,,,,GCC001,GCC001.JPG,,taxable,standard-rate
Kellogg Corn Pops 320g,,,Groceries->Cereal & Breakfast->Cereal,,5.93,,,,,,,GCC002,GCC002.JPG,,taxable,standard-rate
Kellogg Corn Pops Cinnamon 320g ,,,Groceries->Cereal & Breakfast->Cereal,,5.93,,,,,,,GCC003,GCC003.JPG,,taxable,standard-rate
Kellogg Frosted Flakes Family Size 680g ,,,Groceries->Cereal & Breakfast->Cereal,,6.29,,,,,,,GCC004,GCC004.JPG,,taxable,standard-rate
Kellogg Frosted Flakes 445g ,,,Groceries->Cereal & Breakfast->Cereal,,5.49,,,,,,,GCC005,GCC005.JPG,,taxable,standard-rate
Kellogg Froot Loops Family Size 580g ,,,Groceries->Cereal & Breakfast->Cereal,,6.29,,,,,,,GCC006,GCC006.JPG,,taxable,standard-rate
Kellogg Froot Loops 345g,,,Groceries->Cereal & Breakfast->Cereal,,5.49,,,,,,,GCC007,GCC007.JPG,,taxable,standard-rate
Kellogg Froot Lopps Jumbo 825g,,,Groceries->Cereal & Breakfast->Cereal,,9.99,,,,,,,GCC009,GCC009.JPG,,taxable,standard-rate
Kellogg Frosted Flakes Jumbo 975g,,,Groceries->Cereal & Breakfast->Cereal,,8.49,,,,,,,GCC010,GCC010.JPG,,taxable,standard-rate
Compliments Fruity Hoops 580g,,,Groceries->Cereal & Breakfast->Cereal,,3.99,,,,,,,GCC013,GCC013.JPG,,taxable,standard-rate
Post Alpha Bits Family Size 510g ,,,Groceries->Cereal & Breakfast->Cereal,,5.99,,,,,,,GCC014,GCC014.JPG,,taxable,standard-rate
Post Alpha Bits 340g ,,,Groceries->Cereal & Breakfast->Cereal,,4.49,,,,,,,GCC015,GCC015.JPG,,taxable,standard-rate
Post Sugar Crisp Family Size 550g,,,Groceries->Cereal & Breakfast->Cereal,,5.99,,,,,,,GCC017,GCC017.JPG,,taxable,standard-rate
Post Sugar Crisp 365g,,,Groceries->Cereal & Breakfast->Cereal,,4.49,,,,,,,GCC018,GCC018.JPG,,taxable,standard-rate
Post Honeycomb Family Size 595g,,,Groceries->Cereal & Breakfast->Cereal,,5.99,,,,,,,GCC019,GCC019.JPG,,taxable,standard-rate
Post Honeycomb 400g,,,Groceries->Cereal & Breakfast->Cereal,,4.49,,,,,,,GCC020,GCC020.JPG,,taxable,standard-rate
GenMills Lucky Charms 330g,,,Groceries->Cereal & Breakfast->Cereal,,4.99,,,,,,,GCC021,GCC021.JPG,,taxable,standard-rate
GenMills Cinnamon Toast Crunch Family Size 600g,,,Groceries->Cereal & Breakfast->Cereal,,7.99,,,,,,,GCC022,GCC022.JPG,,taxable,standard-rate
GenMills Ginnamon Toast Crunch 360g ,,,Groceries->Cereal & Breakfast->Cereal,,4.99,,,,,,,GCC023,GCC023.JPG,,taxable,standard-rate
Kelloggs Krave Cereal Double Chocolate 312g,,,Groceries->Cereal & Breakfast->Cereal,,5.49,,,,,,,GCC024,GCC024.JPG,,taxable,standard-rate
Kelloggs Krave Cereal Chocolate 323g,,,Groceries->Cereal & Breakfast->Cereal,,5.49,,,,,,,GCC025,GCC025.JPG,,taxable,standard-rate
GenMills Cereal Golden Grahams Family Size 665g,,,Groceries->Cereal & Breakfast->Cereal,,7.99,,,,,,,GCC026,GCC026.JPG,,taxable,standard-rate
GenMills Cheerios 400g,,,Groceries->Cereal & Breakfast->Cereal,,4.99,,,,,,,GCC027,GCC027.JPG,,taxable,standard-rate
GenMills Cheerios Family Size 525g,,,Groceries->Cereal & Breakfast->Cereal,,6.65,,,,,,,GCC028,GCC028.JPG,,taxable,standard-rate
GenMills Cheerios Chocolate 350g,,,Groceries->Cereal & Breakfast->Cereal,,4.99,,,,,,,GCC029,GCC029.JPG,,taxable,standard-rate
GenMills Cheerios Honey Nut 460g,,,Groceries->Cereal & Breakfast->Cereal,,4.99,,,,,,,GCC030,GCC030.JPG,,taxable,standard-rate
GenMills Cheerios Peanut Butter Cereal 360g,,,Groceries->Cereal & Breakfast->Cereal,,4.99,,,,,,,GCC031,GCC031.JPG,,taxable,standard-rate
GenMills Banana Nut Cheerios 345g,,,Groceries->Cereal & Breakfast->Cereal,,4.99,,,,,,,GCC032,GCC032.JPG,,taxable,standard-rate
GenMills Cheerios Multigrain 390g ,,,Groceries->Cereal & Breakfast->Cereal,,4.99,,,,,,,GCC033,GCC033.JPG,,taxable,standard-rate
GenMills Cheerios Apple Cinnamon 500g,,,Groceries->Cereal & Breakfast->Cereal,,4.99,,,,,,,GCC034,GCC034.JPG,,taxable,standard-rate
GenMills Cheerios Chocolate Family Size 610g,,,Groceries->Cereal & Breakfast->Cereal,,7.49,,,,,,,GCC035,GCC035.JPG,,taxable,standard-rate
GenMills Cheerios Honey Nut Family Size 685g,,,Groceries->Cereal & Breakfast->Cereal,,7.49,,,,,,,GCC036,GCC036.JPG,,taxable,standard-rate
GenMills Cheerios Multigrain Family Size 560g,,,Groceries->Cereal & Breakfast->Cereal,,7.49,,,,,,,GCC037,GCC037.JPG,,taxable,standard-rate
GenMills Cheerios Aplle Cinnamon Family Size 720g,,,Groceries->Cereal & Breakfast->Cereal,,7.49,,,,,,,GCC038,GCC038.JPG,,taxable,standard-rate
GenMills Cheerios Honey Nut Jumbo 1.3kg,,,Groceries->Cereal & Breakfast->Cereal,,9.99,,,,,,,GCC039,GCC039.JPG,,taxable,standard-rate
GenMills NesQuik Cereal Family Size 600g,,,Groceries->Cereal & Breakfast->Cereal,,7.99,,,,,,,GCC040,GCC040.JPG,,taxable,standard-rate
GenMills NesQuik Cereal 340g,,,Groceries->Cereal & Breakfast->Cereal,,4.99,,,,,,,GCC041,GCC041.JPG,,taxable,standard-rate
GenMIlls Reese Puffs Family Size 650g,,,Groceries->Cereal & Breakfast->Cereal,,7.99,,,,,,,GCC042,GCC042.JPG,,taxable,standard-rate
GenMills Reese Puffs 365g,,,Groceries->Cereal & Breakfast->Cereal,,4.99,,,,,,,GCC043,GCC043.JPG,,taxable,standard-rate
Compliments Oatie Oats Honey Nut 460g ,,,Groceries->Cereal & Breakfast->Cereal,,3.99,,,,,,,GCC044,GCC044.JPG,,taxable,standard-rate
Compliments Golden Oatie Os 525g,,,Groceries->Cereal & Breakfast->Cereal,,3.99,,,,,,,GCC045,GCC045.JPG,,taxable,standard-rate
Compliments Oatie Os Honey Nut Jumbo 1.3kg,,,Groceries->Cereal & Breakfast->Cereal,,6.49,,,,,,,GCC046,GCC046.JPG,,taxable,standard-rate
Compliments Corn Flakes Golden 680g,,,Groceries->Cereal & Breakfast->Cereal,,5.99,,,,,,,GCC047,GCC047.JPG,,taxable,standard-rate
Kellogg Corn Flakes 470g,,,Groceries->Cereal & Breakfast->Cereal,,4.99,,,,,,,GCC048,GCC048.JPG,,taxable,standard-rate
Post Honey Shreddies 540g,,,Groceries->Cereal & Breakfast->Cereal,,4.59,,,,,,,GCC049,GCC049.JPG,,taxable,standard-rate
Post Honey Shreddies Family Size 710g ,,,Groceries->Cereal & Breakfast->Cereal,,5.99,,,,,,,GCC050,GCC050.JPG,,taxable,standard-rate
Post Shreddies 550g,,,Groceries->Cereal & Breakfast->Cereal,,4.59,,,,,,,GCC051,GCC051.JPG,,taxable,standard-rate
Post Shreddies Family Size 725g,,,Groceries->Cereal & Breakfast->Cereal,,6.29,,,,,,,GCC052,GCC052.JPG,,taxable,standard-rate
Post Shreddies Granola Almond Crunch 540g,,,Groceries->Cereal & Breakfast->Cereal,,4.29,,,,,,,GCC053,GCC053.JPG,,taxable,standard-rate
Kellogg Cereal Rice Krispies Vanilla 395g,,,Groceries->Cereal & Breakfast->Cereal,,5.29,,,,,,,GCC054,GCC054.JPG,,taxable,standard-rate
