title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Toblerone Milk One by One Sub,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,4.49,,,,,,,SCCCCP001,SCCCCP001.JPG,,taxable,standard-rate
Lindor Milk Chocolate in Bag 150g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,6.49,,,,,,,SCCCCP002,SCCCCP002.JPG,,taxable,standard-rate
Lindor Bag Hazelnut 150g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,6.49,,,,,,,SCCCCP003,SCCCCP003.JPG,,taxable,standard-rate
Lindor Assorted Bag 150g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,6.49,,,,,,,SCCCCP004,SCCCCP004.JPG,,taxable,standard-rate
Lindt Mini Excellence Exra Creamy 165g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,5.99,,,,,,,SCCCCP005,SCCCCP005.JPG,,taxable,standard-rate
Lindt Excellence 85% 165g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,5.99,,,,,,,SCCCCP006,SCCCCP006.JPG,,taxable,standard-rate
Lindt Mini Excellence 70% 165g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,5.99,,,,,,,SCCCCP007,SCCCCP007.JPG,,taxable,standard-rate
Maltesers Stand Up Pouch 165g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,4.29,,,,,,,SCCCCP008,SCCCCP008.JPG,,taxable,standard-rate
Nestle Big Turk Bites 180g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,4.29,,,,,,,SCCCCP009,SCCCCP009.JPG,,taxable,standard-rate
Nestle KitKat Bites Cello 210g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,4.29,,,,,,,SCCCCP010,SCCCCP010.JPG,,taxable,standard-rate
Nestle Coffee Crisp Mini Cello 210g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,4.29,,,,,,,SCCCCP011,SCCCCP011.JPG,,taxable,standard-rate
Nestle Rolo 203g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,4.29,,,,,,,SCCCCP012,SCCCCP012.JPG,,taxable,standard-rate
M&M Pretzel Stand Up Pouch 162g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,3.99,,,,,,,SCCCCP016,SCCCCP016.JPG,,taxable,standard-rate
Snickers Peanut Butter Squared 200g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,4.29,,,,,,,SCCCCP017,SCCCCP017.JPG,,taxable,standard-rate
M&M Peanut Butter Stand Up Pouch 230g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,3.99,,,,,,,SCCCCP018,SCCCCP018.JPG,,taxable,standard-rate
M&M Milk Chocolate Stand Up Pouch 200g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,3.99,,,,,,,SCCCCP019,SCCCCP019.JPG,,taxable,standard-rate
M&M Milk Peanut Stand Up Pouch 200g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,3.99,,,,,,,SCCCCP020,SCCCCP020.JPG,,taxable,standard-rate
Nestle Smarties Cello Regular 203g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,4.29,,,,,,,SCCCCP021,SCCCCP021.JPG,,taxable,standard-rate
Reese Sticks Mini Pouch 180g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,4.29,,,,,,,SCCCCP023,SCCCCP023.JPG,,taxable,standard-rate
Reese Peanut Butter Cup Mini 210g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,4.29,,,,,,,SCCCCP024,SCCCCP024.JPG,,taxable,standard-rate
Reese Miniature Cello 230g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,4.29,,,,,,,SCCCCP025,SCCCCP025.JPG,,taxable,standard-rate
Reese Pieces Pouch 230g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,4.29,,,,,,,SCCCCP026,SCCCCP026.JPG,,taxable,standard-rate
Skor Minis 191g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,4.99,,,,,,,SCCCCP027,SCCCCP027.JPG,,taxable,standard-rate
Aero Bubbles Orange 135g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,4.29,,,,,,,SCCCCP028,SCCCCP028.JPG,,taxable,standard-rate
Aero Bubbles Mint 135g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,3.99,,,,,,,SCCCCP029,SCCCCP029.JPG,,taxable,standard-rate
Aero Bubbles Milk 135g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,3.99,,,,,,,SCCCCP030,SCCCCP030.JPG,,taxable,standard-rate
Hershey Drops Cookies n Cream 200g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,4.29,,,,,,,SCCCCP031,SCCCCP031.JPG,,taxable,standard-rate
Hershey Drops Milk 200g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,4.29,,,,,,,SCCCCP032,SCCCCP032.JPG,,taxable,standard-rate
Hershey Drops Almond Toffee 200g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,4.29,,,,,,,SCCCCP033,SCCCCP033.JPG,,taxable,standard-rate
Hershey Oh Henry Pouch 230g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,4.29,,,,,,,SCCCCP034,SCCCCP034.JPG,,taxable,standard-rate
York Pepmint Pattie Packaged Candy 200g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,4.29,,,,,,,SCCCCP035,SCCCCP035.JPG,,taxable,standard-rate
Lowney Bridge 290g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,4.49,,,,,,,SCCCCP036,SCCCCP036.JPG,,taxable,standard-rate
Neilson Slowpokes 131g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,1.99,,,,,,,SCCCCP037,SCCCCP037.JPG,,taxable,standard-rate
Neilson Willow Crisps 131g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,1.99,,,,,,,SCCCCP038,SCCCCP038.JPG,,taxable,standard-rate
Neilson Macaroons Original 131g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,1.99,,,,,,,SCCCCP039,SCCCCP039.JPG,,taxable,standard-rate
Neilson Golden Buds 100g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,1.99,,,,,,,SCCCCP040,SCCCCP040.JPG,,taxable,standard-rate
Junior Carmels 100g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,2.29,,,,,,,SCCCCP041,SCCCCP041.JPG,,taxable,standard-rate
Junior Mints 113g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,2.29,,,,,,,SCCCCP042,SCCCCP042.JPG,,taxable,standard-rate
Cadbury Popcorn 130g, ,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,4.29,,,,,,,SCCCCP043,SCCCCP043.JPG,,taxable,standard-rate
Cadbury Toffee Clusters 145g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,4.29,,,,,,,SCCCCP044,SCCCCP044.JPG,,taxable,standard-rate
Crunchie Clusters 145g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,4.29,,,,,,,SCCCCP045,SCCCCP045.JPG,,taxable,standard-rate
Cadbury Dairy Milk Buttons 175g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,4.29,,,,,,,SCCCCP046,SCCCCP046.JPG,,taxable,standard-rate
Cadbury Caramilk Secrets 175g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,4.29,,,,,,,SCCCCP047,SCCCCP047.JPG,,taxable,standard-rate
ChocBowl Milk Chocolate Alomonds 225g,,,Snacks & Candies->Candies & Chocolates->Chocolate Packs,,3.99,,,,,,,SCCCCP048,SCCCCP048.JPG,,taxable,standard-rate
