title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
CocaCola Classic 2L,,,Beverages->Soft Drink->CocaCola & Pepsi,,2.79,,,,,,,BSDCP001,BSDCP001.JPG,,taxable,standard-rate
CocaCola Zero 2L,,,Beverages->Soft Drink->CocaCola & Pepsi,,2.79,,,,,,,BSDCP002,BSDCP002.JPG,,taxable,standard-rate
CocaCola Diet 2L,,,Beverages->Soft Drink->CocaCola & Pepsi,,2.79,,,,,,,BSDCP003,BSDCP003.JPG,,taxable,standard-rate
CocaCola Diet Caffine Free 2L,,,Beverages->Soft Drink->CocaCola & Pepsi,,2.79,,,,,,,BSDCP004,BSDCP004.JPG,,taxable,standard-rate
CocaCola Classic 237ML 6pk,,,Beverages->Soft Drink->CocaCola & Pepsi,,5.49,,,,,,,BSDCP005,BSDCP005.JPG,,taxable,standard-rate
CocaColca Diet 237ML 6pk,,,Beverages->Soft Drink->CocaCola & Pepsi,,5.49,,,,,,,BSDCP006,BSDCP006.JPG,,taxable,standard-rate
CocaCola Classic 710ML 6pk,,,Beverages->Soft Drink->CocaCola & Pepsi,,5.79,,,,,,,BSDCP007,BSDCP007.JPG,,taxable,standard-rate
Cocacola Zero 710ML 6pk,,,Beverages->Soft Drink->CocaCola & Pepsi,,5.79,,,,,,,BSDCP008,BSDCP008.JPG,,taxable,standard-rate
CocaCola Diet 710ML 6pk,,,Beverages->Soft Drink->CocaCola & Pepsi,,5.79,,,,,,,BSDCP009,BSDCP009.JPG,,taxable,standard-rate
CocaCola Classic 355ML 12 cans,,,Beverages->Soft Drink->CocaCola & Pepsi,,6.59,,,,,,,BSDCP010,BSDCP010.JPG,,taxable,standard-rate
CocaCola Zero 355ML 12 cans,,,Beverages->Soft Drink->CocaCola & Pepsi,,6.59,,,,,,,BSDCP011,BSDCP011.JPG,,taxable,standard-rate
CocaCola Diet 355ML 12 cans,,,Beverages->Soft Drink->CocaCola & Pepsi,,6.59,,,,,,,BSDCP012,BSDCP012.JPG,,taxable,standard-rate
CocaCola Diet Caffine Free 355ML 12 cans,,,Beverages->Soft Drink->CocaCola & Pepsi,,6.59,,,,,,,BSDCP013,BSDCP013.JPG,,taxable,standard-rate
CocaCola Diet with Lime 355ML 12 cans,,,Beverages->Soft Drink->CocaCola & Pepsi,,6.59,,,,,,,BSDCP014,BSDCP014.JPG,,taxable,standard-rate
CocaCola Classic 222ML mini Sleek,,,Beverages->Soft Drink->CocaCola & Pepsi,,3.79,,,,,,,BSDCP015,BSDCP015.JPG,,taxable,standard-rate
CocaCola Zero 222ML mini Sleek,,,Beverages->Soft Drink->CocaCola & Pepsi,,3.79,,,,,,,BSDCP016,BSDCP016.JPG,,taxable,standard-rate
CocaCola Diet 222ML mini Sleek,,,Beverages->Soft Drink->CocaCola & Pepsi,,3.79,,,,,,,BSDCP017,BSDCP017.JPG,,taxable,standard-rate
Pepsi 2L,,,Beverages->Soft Drink->CocaCola & Pepsi,,2.79,,,,,,,BSDCP018,BSDCP018.JPG,,taxable,standard-rate
Pepsi Max 2L,,,Beverages->Soft Drink->CocaCola & Pepsi,,2.79,,,,,,,BSDCP019,BSDCP019.JPG,,taxable,standard-rate
Pepsi Diet 2L,,,Beverages->Soft Drink->CocaCola & Pepsi,,2.79,,,,,,,BSDCP020,BSDCP020.JPG,,taxable,standard-rate
Pepsi Diet Caffeine Free 2L,,,Beverages->Soft Drink->CocaCola & Pepsi,,2.79,,,,,,,BSDCP021,BSDCP021.JPG,,taxable,standard-rate
Pepsi Multipack 710ML 6pk,,,Beverages->Soft Drink->CocaCola & Pepsi,,5.79,,,,,,,BSDCP022,BSDCP022.JPG,,taxable,standard-rate
Pepsi Diet Multipack 710ML 6pk,,,Beverages->Soft Drink->CocaCola & Pepsi,,5.79,,,,,,,BSDCP023,BSDCP023.JPG,,taxable,standard-rate
Pepsi Cans 355ML 12pk,,,Beverages->Soft Drink->CocaCola & Pepsi,,6.59,,,,,,,BSDCP024,BSDCP024.JPG,,taxable,standard-rate
Pepsi Max Cans 355ML 12pk,,,Beverages->Soft Drink->CocaCola & Pepsi,,6.59,,,,,,,BSDCP025,BSDCP025.JPG,,taxable,standard-rate
Pepsi Diet 355ML 12pk,,,Beverages->Soft Drink->CocaCola & Pepsi,,6.59,,,,,,,BSDCP026,BSDCP026.JPG,,taxable,standard-rate
Pepsi Diet Caffeine Free 355ML 12pk,,,Beverages->Soft Drink->CocaCola & Pepsi,,6.59,,,,,,,BSDCP027,BSDCP027.JPG,,taxable,standard-rate
Pepsi Caffeine Free 355ML 12pk,,,Beverages->Soft Drink->CocaCola & Pepsi,,6.59,,,,,,,BSDCP028,BSDCP028.JPG,,taxable,standard-rate
Pepsi with Lime 355ML 12pk,,,Beverages->Soft Drink->CocaCola & Pepsi,,6.59,,,,,,,BSDCP029,BSDCP029.JPG,,taxable,standard-rate
Pepsi Diet with Lime 355ML 12pk,,,Beverages->Soft Drink->CocaCola & Pepsi,,6.59,,,,,,,BSDCP030,BSDCP030.JPG,,taxable,standard-rate
