title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Compliments Patato Chips Dill Pickle 220g ,,,Snacks & Candies->Chips & Popcorn->Compliments & Sensations,,2.29,,,,,,,SCCS009,SCCS009.JPG,,taxable ,standard-rate 
Compliments Chip Extraaa! All Dress Ridge Potato Chip 200g ,,,Snacks & Candies->Chips & Popcorn->Compliments & Sensations,,2.29,,,,,,,SCCS010,SCCS010.JPG,,taxable ,standard-rate 
Compliments Chip Salt & Vingenar 220g ,,,Snacks & Candies->Chips & Popcorn->Compliments & Sensations,,2.29,,,,,,,SCCS011,SCCS011.JPG,,taxable ,standard-rate 
Compliments Potato Chip Regular 220g ,,,Snacks & Candies->Chips & Popcorn->Compliments & Sensations,,2.29,,,,,,,SCCS012,SCCS012.JPG,,taxable ,standard-rate 
Compliments Extraaa Sour Cream & Onion Ridged 200g ,,,Snacks & Candies->Chips & Popcorn->Compliments & Sensations,,2.29,,,,,,,SCCS013,SCCS013.JPG,,taxable ,standard-rate 
Compliments Chip Sour Cream & Onion 220g ,,,Snacks & Candies->Chips & Popcorn->Compliments & Sensations,,2.29,,,,,,,SCCS014,SCCS014.JPG,,taxable ,standard-rate 
Compliments Extraaa! Ketchup Ridge Potato Chips 200g ,,,Snacks & Candies->Chips & Popcorn->Compliments & Sensations,,2.29,,,,,,,SCCS015,SCCS015.JPG,,taxable ,standard-rate 
Compliments Chip Ketchup Flavor 220g ,,,Snacks & Candies->Chips & Popcorn->Compliments & Sensations,,2.29,,,,,,,SCCS016,SCCS016.JPG,,taxable ,standard-rate 
Compliments Extraaa BBQ Ridge Potato Chips 200g ,,,Snacks & Candies->Chips & Popcorn->Compliments & Sensations,,2.29,,,,,,,SCCS017,SCCS017.JPG,,taxable ,standard-rate 
Compliments Chip BBQ 220g ,,,Snacks & Candies->Chips & Popcorn->Compliments & Sensations,,2.29,,,,,,,SCCS018,SCCS018.JPG,,taxable ,standard-rate 
Compliments Chips Ripple Lightly Salt 220g ,,,Snacks & Candies->Chips & Popcorn->Compliments & Sensations,,2.29,,,,,,,SCCS019,SCCS019.JPG,,taxable ,standard-rate 
Sensations Chips Sweet & Spicy Buffalo Thick Cut 220g ,,,Snacks & Candies->Chips & Popcorn->Compliments & Sensations,,2.29,,,,,,,SCCS020,SCCS020.JPG,,taxable ,standard-rate 
Sensations Potato Chips Kettle Lime & Black Pepper 220g ,,,Snacks & Candies->Chips & Popcorn->Compliments & Sensations,,2.86,,,,,,,SCCS021,SCCS021.JPG,,taxable ,standard-rate 
Sensations Potato Chips Kettle Jalapeno 220g ,,,Snacks & Candies->Chips & Popcorn->Compliments & Sensations,,2.86,,,,,,,SCCS022,SCCS022.JPG,,taxable ,standard-rate 
Sensations Potato Chips Kettle Original 220g ,,,Snacks & Candies->Chips & Popcorn->Compliments & Sensations,,2.86,,,,,,,SCCS023,SCCS023.JPG,,taxable ,standard-rate 
Sensations Chips Unsalted Kettle Cooked 220g ,,,Snacks & Candies->Chips & Popcorn->Compliments & Sensations,,2.86,,,,,,,SCCS024,SCCS024.JPG,,taxable ,standard-rate 
Sensations Kettle Balsamic Vingenar & Sweet Onion 220g ,,,Snacks & Candies->Chips & Popcorn->Compliments & Sensations,,2.86,,,,,,,SCCS025,SCCS025.JPG,,taxable ,standard-rate 
Sensations Potato Chip Kettle Sea Salt & Malt Vinegar 220g ,,,Snacks & Candies->Chips & Popcorn->Compliments & Sensations,,2.86,,,,,,,SCCS026,SCCS026.JPG,,taxable ,standard-rate 
Sensations Chips Rpl Hckry Bacon 220g ,,,Snacks & Candies->Chips & Popcorn->Compliments & Sensations,,2.86,,,,,,,SCCS027,SCCS027.JPG,,taxable ,standard-rate 
Sensations Chips Chs&Oni Thk Cut 220g ,,,Snacks & Candies->Chips & Popcorn->Compliments & Sensations,,2.86,,,,,,,SCCS028,SCCS028.JPG,,taxable ,standard-rate 
Sensations Pot Chps Ktl Chi S/Crm 220g ,,,Snacks & Candies->Chips & Popcorn->Compliments & Sensations,,2.86,,,,,,,SCCS029,SCCS029.JPG,,taxable ,standard-rate 
Sensations Pot Chips Ktl Kcky BBQ 220g ,,,Snacks & Candies->Chips & Popcorn->Compliments & Sensations,,2.86,,,,,,,SCCS030,SCCS030.JPG,,taxable ,standard-rate 
