title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Christie Brown Rice Thins Sweet Mesquite 100g ,,,Snacks & Candies->Cookies & Biscuits->Crackers,,3.49,,,,,,,SCCR001,SCCR001.JPG,,taxable,standard-rate
Christie Cracker Brown Rice Smoked Bacon & Gouda 100g ,,,Snacks & Candies->Cookies & Biscuits->Crackers,,3.49,,,,,,,SCCR002,SCCR002.JPG,,taxable,standard-rate
Christie Crckers Brown Rice Sea Salt & Pepper  100g ,,,Snacks & Candies->Cookies & Biscuits->Crackers,,3.49,,,,,,,SCCR003,SCCR003.JPG,,taxable,standard-rate
Christie Cracker Brown Rice White Cheddar 100g ,,,Snacks & Candies->Cookies & Biscuits->Crackers,,3.49,,,,,,,SCCR004,SCCR004.JPG,,taxable,standard-rate
Christie Cracker Brown Rice Sour Cream & Onion 100g,,,Snacks & Candies->Cookies & Biscuits->Crackers,,3.49,,,,,,,SCCR005,SCCR005.JPG,,taxable,standard-rate
Christie Rice Thins Sesame 100g ,,,Snacks & Candies->Cookies & Biscuits->Crackers,,3.49,,,,,,,SCCR006,SCCR006.JPG,,taxable,standard-rate
Christie Rice Thins Cheddar 100g ,,,Snacks & Candies->Cookies & Biscuits->Crackers,,3.49,,,,,,,SCCR007,SCCR007.JPG,,taxable,standard-rate
Christie Rice Thins Original 100g ,,,Snacks & Candies->Cookies & Biscuits->Crackers,,3.49,,,,,,,SCCR008,SCCR008.JPG,,taxable,standard-rate
Quaker BBQ Crispy Minis 100g ,,,Snacks & Candies->Cookies & Biscuits->Crackers,,2.55,,,,,,,SCCR009,SCCR009.JPG,,taxable,standard-rate
Quaker Crispy Mini Class Ketch 100g ,,,Snacks & Candies->Cookies & Biscuits->Crackers,,2.55,,,,,,,SCCR010,SCCR010.JPG,,taxable,standard-rate
Quaker Crispy Mini Caramel 100g ,,,Snacks & Candies->Cookies & Biscuits->Crackers,,2.55,,,,,,,SCCR011,SCCR011.JPG,,taxable,standard-rate
Quaker Crispy Mini Popcorn 100g ,,,Snacks & Candies->Cookies & Biscuits->Crackers,,2.55,,,,,,,SCCR012,SCCR012.JPG,,taxable,standard-rate
