title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Tostitos Dip Con Queso 394ml ,,,Snacks & Candies->Chips & Popcorn->Dips ,,3.29,,,,,,,SCD001,SCD001.JPG,,taxable ,standard-rate
Tostitos Dip Mild Salsa 418ml ,,,Snacks & Candies->Chips & Popcorn->Dips ,,3.29,,,,,,,SCD002,SCD002.JPG,,taxable ,standard-rate
Tostitos Med Salsa 430ml ,,,Snacks & Candies->Chips & Popcorn->Dips ,,3.29,,,,,,,SCD003,SCD003.JPG,,taxable ,standard-rate
Tostitos Hot Salsa 430ml ,,,Snacks & Candies->Chips & Popcorn->Dips ,,3.29,,,,,,,SCD004,SCD004.JPG,,taxable ,standard-rate
Tostitos Dip Spinach 432g ,,,Snacks & Candies->Chips & Popcorn->Dips ,,3.88,,,,,,,SCD005,SCD005.JPG,,taxable ,standard-rate
Ruffles Dip Onion 425g ,,,Snacks & Candies->Chips & Popcorn->Dips ,,3.99,,,,,,,SCD006,SCD006.JPG,,taxable ,standard-rate
Ruffles Dip Ranch 425g ,,,Snacks & Candies->Chips & Popcorn->Dips ,,4.39,,,,,,,SCD007,SCD007.JPG,,taxable ,standard-rate
Tostitos Rest Style Salsa ,,,Snacks & Candies->Chips & Popcorn->Dips ,,4.19,,,,,,,SCD008,SCD008.JPG,,taxable ,standard-rate
Tostitos Con Queso Dip 628ml ,,,Snacks & Candies->Chips & Popcorn->Dips ,,5.29,,,,,,,SCD009,SCD009.JPG,,taxable ,standard-rate
Tostitos Mild Salsa 645ml ,,,Snacks & Candies->Chips & Popcorn->Dips ,,4.99,,,,,,,SCD010,SCD010.JPG,,taxable ,standard-rate
Tostitos Medium Salsa 645ml ,,,Snacks & Candies->Chips & Popcorn->Dips ,,4.99,,,,,,,SCD011,SCD011.JPG,,taxable ,standard-rate
