title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Knoss Cream of Broccoli Less Sodium 52g,,,Groceries->Soups & Cans->Dried Soups & Instant Noodles,,2.25,,,,,,,GSCDSIN001,GSCDSIN001.JPG,,taxable,standard-rate
Knoss Cream of Potato Less Sodium 74g,,,Groceries->Soups & Cans->Dried Soups & Instant Noodles,,2.25,,,,,,,GSCDSIN002,GSCDSIN002.JPG,,taxable,standard-rate
Knoss Tomato Vegetable Less Sodium 71g,,,Groceries->Soups & Cans->Dried Soups & Instant Noodles,,2.25,,,,,,,GSCDSIN003,GSCDSIN003.JPG,,taxable,standard-rate
Knoss Onion 55g,,,Groceries->Soups & Cans->Dried Soups & Instant Noodles,,2.25,,,,,,,GSCDSIN004,GSCDSIN004.JPG,,taxable,standard-rate
Knoss Minestrone 83g,,,Groceries->Soups & Cans->Dried Soups & Instant Noodles,,2.25,,,,,,,GSCDSIN005,GSCDSIN005.JPG,,taxable,standard-rate
Knoss Cream of Leak Less Sodium 77g,,,Groceries->Soups & Cans->Dried Soups & Instant Noodles,,2.25,,,,,,,GSCDSIN006,GSCDSIN006.JPG,,taxable,standard-rate
Knoss Vegetable Less Sodium 40g,,,Groceries->Soups & Cans->Dried Soups & Instant Noodles,,2.25,,,,,,,GSCDSIN007,GSCDSIN007.JPG,,taxable,standard-rate
Knoss Chicken Noodle Less Sodium 71g,,,Groceries->Soups & Cans->Dried Soups & Instant Noodles,,2.25,,,,,,,GSCDSIN008,GSCDSIN008.JPG,,taxable,standard-rate
Knoss Lipton Cream of Chicken 77g 4Pk,,,Groceries->Soups & Cans->Dried Soups & Instant Noodles,,2.25,,,,,,,GSCDSIN009,GSCDSIN009.JPG,,taxable,standard-rate
Knoss Lipton Chicken Noodle 4Pk 58g,,,Groceries->Soups & Cans->Dried Soups & Instant Noodles,,2.25,,,,,,,GSCDSIN010,GSCDSIN010.JPG,,taxable,standard-rate
Knoss Lipton Tomato with Avec 88g 4Pk,,,Groceries->Soups & Cans->Dried Soups & Instant Noodles,,2.25,,,,,,,GSCDSIN011,GSCDSIN011.JPG,,taxable,standard-rate
Knoss Lipton Sping Vegetable 63g 4Pk,,,Groceries->Soups & Cans->Dried Soups & Instant Noodles,,2.25,,,,,,,GSCDSIN012,GSCDSIN012.JPG,,taxable,standard-rate
Knoss Lipton Chicken Noodle 61g 4Pk,,,Groceries->Soups & Cans->Dried Soups & Instant Noodles,,2.25,,,,,,,GSCDSIN013,GSCDSIN013.JPG,,taxable,standard-rate
Knoss Lipton Chicken Noodle 166g 2Pk,,,Groceries->Soups & Cans->Dried Soups & Instant Noodles,,2.49,,,,,,,GSCDSIN014,GSCDSIN014.JPG,,taxable,standard-rate
Knoss Lipton Chicken Noodle Less Fat 228g 4Pk,,,Groceries->Soups & Cans->Dried Soups & Instant Noodles,,3.49,,,,,,,GSCDSIN015,GSCDSIN015.JPG,,taxable,standard-rate
Knoss Lipton Chicken Noodle 338g 4Pk,,,Groceries->Soups & Cans->Dried Soups & Instant Noodles,,3.49,,,,,,,GSCDSIN016,GSCDSIN016.JPG,,taxable,standard-rate
Knoss Lipton Onion Less Sodium 113g 4Pk,,,Groceries->Soups & Cans->Dried Soups & Instant Noodles,,3.49,,,,,,,GSCDSIN017,GSCDSIN017.JPG,,taxable,standard-rate
Knoss Lipton Onion Roasted Garlic 82g 2Pk,,,Groceries->Soups & Cans->Dried Soups & Instant Noodles,,2.49,,,,,,,GSCDSIN018,GSCDSIN018.JPG,,taxable,standard-rate
Knoss Lipton Onion 56g 2Pk ,,,Groceries->Soups & Cans->Dried Soups & Instant Noodles,,2.69,,,,,,,GSCDSIN019,GSCDSIN019.JPG,,taxable,standard-rate
Campella Soup at Hand Creamy Tomato 284ml,,,Groceries->Soups & Cans->Dried Soups & Instant Noodles,,1.99,,,,,,,GSCDSIN020,GSCDSIN020.JPG,,taxable,standard-rate
Campella Soup at Hand Garden Tomato 284ml,,,Groceries->Soups & Cans->Dried Soups & Instant Noodles,,1.99,,,,,,,GSCDSIN021,GSCDSIN021.JPG,,taxable,standard-rate
Campella Soup at Hand Cream of Mushroom 284ml,,,Groceries->Soups & Cans->Dried Soups & Instant Noodles,,1.99,,,,,,,GSCDSIN022,GSCDSIN022.JPG,,taxable,standard-rate
Campella Soup at Hand Chicken with Mini-Pasta 284ml,,,Groceries->Soups & Cans->Dried Soups & Instant Noodles,,1.99,,,,,,,GSCDSIN023,GSCDSIN023.JPG,,taxable,standard-rate
Campella Chunky Beef 420ml,,,Groceries->Soups & Cans->Dried Soups & Instant Noodles,,2.99,,,,,,,GSCDSIN024,GSCDSIN024.JPG,,taxable,standard-rate
Campella Chunky Chicken Noodle 420ml,,,Groceries->Soups & Cans->Dried Soups & Instant Noodles,,2.99,,,,,,,GSCDSIN025,GSCDSIN025.JPG,,taxable,standard-rate
Campella Chunky New England Clam Chowder 420ml,,,Groceries->Soups & Cans->Dried Soups & Instant Noodles,,2.99,,,,,,,GSCDSIN026,GSCDSIN026.JPG,,taxable,standard-rate
Campella Chunky Sirloin Burger 420ml,,,Groceries->Soups & Cans->Dried Soups & Instant Noodles,,2.99,,,,,,,GSCDSIN027,GSCDSIN027.JPG,,taxable,standard-rate
Campella Chunky Chicken & Sausage Gumbo 420ml,,,Groceries->Soups & Cans->Dried Soups & Instant Noodles,,2.99,,,,,,,GSCDSIN028,GSCDSIN028.JPG,,taxable,standard-rate
Shore Lunch Creamy Wild Rice 306g ,,,Groceries->Soups & Cans->Dried Soups & Instant Noodles,,5.99,,,,,,,GSCDSIN029,GSCDSIN029.JPG,,taxable,standard-rate
Shore Lunch Creamy Potato 333g,,,Groceries->Soups & Cans->Dried Soups & Instant Noodles,,5.99,,,,,,,GSCDSIN030,GSCDSIN030.JPG,,taxable,standard-rate
Shore Lunch Classic Chicken Noodle 261g,,,Groceries->Soups & Cans->Dried Soups & Instant Noodles,,5.99,,,,,,,GSCDSIN031,GSCDSIN031.JPG,,taxable,standard-rate
Compliments Onion Soup Mix 113 4Pk,,,Groceries->Soups & Cans->Dried Soups & Instant Noodles,,2.29,,,,,,,GSCDSIN032,GSCDSIN032.JPG,,taxable,standard-rate
Compliments Onion Soup Mix 57g 2Pk,,,Groceries->Soups & Cans->Dried Soups & Instant Noodles,,1.49,,,,,,,GSCDSIN033,GSCDSIN033.JPG,,taxable,standard-rate
Campella Hearty Noodles Savoury Beef 55g,,,Groceries->Soups & Cans->Dried Soups & Instant Noodles,,1.69,,,,,,,GSCDSIN034,GSCDSIN034.JPG,,taxable,standard-rate
Campella Hearty Noodles Thai 55g,,,Groceries->Soups & Cans->Dried Soups & Instant Noodles,,1.69,,,,,,,GSCDSIN035,GSCDSIN035.JPG,,taxable,standard-rate
Campella Hearty Noodles Italian Tomato & Herb 55g,,,Groceries->Soups & Cans->Dried Soups & Instant Noodles,,1.69,,,,,,,GSCDSIN036,GSCDSIN036.JPG,,taxable,standard-rate
Campella Hearty Noodles Oriental Hot & Sour 55g,,,Groceries->Soups & Cans->Dried Soups & Instant Noodles,,1.69,,,,,,,GSCDSIN037,GSCDSIN037.JPG,,taxable,standard-rate
Campella Hearty Noodles Chicken 55g,,,Groceries->Soups & Cans->Dried Soups & Instant Noodles,,1.69,,,,,,,GSCDSIN038,GSCDSIN038.JPG,,taxable,standard-rate
Mr. Noodles Vegetable 64g,,,Groceries->Soups & Cans->Dried Soups & Instant Noodles,,0.99,,,,,,,GSCDSIN039,GSCDSIN039.JPG,,taxable,standard-rate
Mr. Noodles Beef 64g,,,Groceries->Soups & Cans->Dried Soups & Instant Noodles,,0.99,,,,,,,GSCDSIN040,GSCDSIN040.JPG,,taxable,standard-rate
Mr. Noodles Chicken 64g,,,Groceries->Soups & Cans->Dried Soups & Instant Noodles,,0.99,,,,,,,GSCDSIN041,GSCDSIN041.JPG,,taxable,standard-rate
Compliments Noodles Vegetable 65g ,,,Groceries->Soups & Cans->Dried Soups & Instant Noodles,,0.79,,,,,,,GSCDSIN042,GSCDSIN042.JPG,,taxable,standard-rate
Compliments Noodles Beef 65g,,,Groceries->Soups & Cans->Dried Soups & Instant Noodles,,0.79,,,,,,,GSCDSIN043,GSCDSIN043.JPG,,taxable,standard-rate
Compliments Noodles Chicken 65g,,,Groceries->Soups & Cans->Dried Soups & Instant Noodles,,0.79,,,,,,,GSCDSIN044,GSCDSIN044.JPG,,taxable,standard-rate
Compliments Noodles Spicy Chicken 65g,,,Groceries->Soups & Cans->Dried Soups & Instant Noodles,,0.79,,,,,,,GSCDSIN045,GSCDSIN045.JPG,,taxable,standard-rate
Nissin Bowl Noodles Rich & Savoury Chicken 95g,,,Groceries->Soups & Cans->Dried Soups & Instant Noodles,,1.99,,,,,,,GSCDSIN046,GSCDSIN046.JPG,,taxable,standard-rate
Mr. Noodles Bowl Noodles Hot n' Spicy ,,,Groceries->Soups & Cans->Dried Soups & Instant Noodles,,0.99,,,,,,,GSCDSIN047,GSCDSIN047.JPG,,taxable,standard-rate
Nissin Bowl Noodles Rich & Savoury Hot & Spicy Chicken 94.2g,,,Groceries->Soups & Cans->Dried Soups & Instant Noodles,,1.99,,,,,,,GSCDSIN048,GSCDSIN048.JPG,,taxable,standard-rate
Mr. Noodles Bowl Noodle Kimchi Chicken  86g,,,Groceries->Soups & Cans->Dried Soups & Instant Noodles,,1.49,,,,,,,GSCDSIN049,GSCDSIN049.JPG,,taxable,standard-rate
Mr. Noodles Bowl Spicy Chicken Simulated 110g,,,Groceries->Soups & Cans->Dried Soups & Instant Noodles,,1.49,,,,,,,GSCDSIN050,GSCDSIN050.JPG,,taxable,standard-rate
Mr. Noodles Bowl Beef Similated 110g,,,Groceries->Soups & Cans->Dried Soups & Instant Noodles,,1.49,,,,,,,GSCDSIN051,GSCDSIN051.JPG,,taxable,standard-rate
Mr. Noodles Bowl Noodle Kimchi Beef 86g,,,Groceries->Soups & Cans->Dried Soups & Instant Noodles,,0.99,,,,,,,GSCDSIN052,GSCDSIN052.JPG,,taxable,standard-rate
Mr. Noodles Bowl Noodle Kimchi 86g,,,Groceries->Soups & Cans->Dried Soups & Instant Noodles,,0.99,,,,,,,GSCDSIN053,GSCDSIN053.JPG,,taxable,standard-rate
Mr. Noodles Bowl Chicken Simulated 110g,,,Groceries->Soups & Cans->Dried Soups & Instant Noodles,,1.49,,,,,,,GSCDSIN054,GSCDSIN054.JPG,,taxable,standard-rate
Mr. Noodles Instant Noodles Vegetable 85g,,,Groceries->Soups & Cans->Dried Soups & Instant Noodles,,0.49,,,,,,,GSCDSIN055,GSCDSIN055.JPG,,taxable,standard-rate
Mr. Noodles Instant Noodles Beef 85g,,,Groceries->Soups & Cans->Dried Soups & Instant Noodles,,0.49,,,,,,,GSCDSIN056,GSCDSIN056.JPG,,taxable,standard-rate
Mr. Noodles Instant Noodles Chicken 85g,,,Groceries->Soups & Cans->Dried Soups & Instant Noodles,,0.49,,,,,,,GSCDSIN057,GSCDSIN057.JPG,,taxable,standard-rate
Mr. Noodles Instant Noodles Oriental 85g,,,Groceries->Soups & Cans->Dried Soups & Instant Noodles,,0.49,,,,,,,GSCDSIN058,GSCDSIN058.JPG,,taxable,standard-rate
Mr. Noodles Instant Noodles Spicy Chicken 85g,,,Groceries->Soups & Cans->Dried Soups & Instant Noodles,,0.49,,,,,,,GSCDSIN059,GSCDSIN059.JPG,,taxable,standard-rate
Compliments Bowl Instant Noodles Vegetable 65g,,,Groceries->Soups & Cans->Dried Soups & Instant Noodles,,0.79,,,,,,,GSCDSIN060,GSCDSIN060.JPG,,taxable,standard-rate
Compliments Bowl Instant Noodles Chicken 65g,,,Groceries->Soups & Cans->Dried Soups & Instant Noodles,,0.79,,,,,,,GSCDSIN061,GSCDSIN061.JPG,,taxable,standard-rate
Compliments Bowl Instant Noodles Spicy Chicken 65g,,,Groceries->Soups & Cans->Dried Soups & Instant Noodles,,0.79,,,,,,,GSCDSIN062,GSCDSIN062.JPG,,taxable,standard-rate
