title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Naturegg Free Run 6 Eggs Large,,,Groceries->Eggs,,3.09,,,,,,,GE001,GE001.JPG,,taxable,standard-rate
Burnbrae Brown 6 Eggs Large,,,Groceries->Eggs,,2.44,,,,,,,GE002,GE002.JPG,,taxable,standard-rate
Naturegg Omega-3 6 Eggs Medium,,,Groceries->Eggs,,2.79,,,,,,,GE003,GE003.JPG,,taxable,standard-rate
Burnbrae White 6 Eggs Large,,,Groceries->Eggs,,2.39,,,,,,,GE004,GE004.JPG,,taxable,standard-rate
Compliments 12 Medium Size Eggs,,,Groceries->Eggs,,2.81,,,,,,,GE005,GE005.JPG,,taxable,standard-rate
Rowefarms Omega-3 12 Large Eggs,,,Groceries->Eggs,,4.99,,,,,,,GE006,GE006.JPG,,taxable,standard-rate
Naturegg Nature's Best 12 Eggs Large,,,Groceries->Eggs,,4.49,,,,,,,GE007,GE007.JPG,,taxable,standard-rate
Burnbrae Nestlaid 12 Eggs Large,,,Groceries->Eggs,,4.09,,,,,,,GE008,GE008.JPG,,taxable,standard-rate
Burnbrae Free Run Omega-3 12 Eggs Large,,,Groceries->Eggs,,5.39,,,,,,,GE009,GE009.JPG,,taxable,standard-rate
Compliments Oraganic 12 Large Eggs,,,Groceries->Eggs,,6.49,,,,,,,GE010,GE010.JPG,,taxable,standard-rate
Burnbrae Super Bon-ee 12 Eggs,,,Groceries->Eggs,,4.29,,,,,,,GE011,GE011.JPG,,taxable,standard-rate
Burnbrae Super Bon-ee Doubles 12 Eggs,,,Groceries->Eggs,,5.12,,,,,,,GE012,GE012.JPG,,taxable,standard-rate
Burnbrae 12 Extra Large Eggs,,,Groceries->Eggs,,3.89,,,,,,,GE013,GE013.JPG,,taxable,standard-rate
Naturegg OmegaPro 12 Large Eggs,,,Groceries->Eggs,,5.49,,,,,,,GE014,GE014.JPG,,taxable,standard-rate
Naturegg Omega-3 Brown 12 Large Eggs,,,Groceries->Eggs,,5.49,,,,,,,GE015,GE015.JPG,,taxable,standard-rate
Compliments 12 Extra Large Eggs,,,Groceries->Eggs,,3.09,,,,,,,GE016,GE016.JPG,,taxable,standard-rate
Compliments 12 Brown Large Eggs,,,Groceries->Eggs,,4.09,,,,,,,GE017,GE017.JPG,,taxable,standard-rate
Compliments Balance Omega-3 12 Large Eggs,,,Groceries->Eggs,,4.99,,,,,,,GE018,GE018.JPG,,taxable,standard-rate
Naturegg Omega-3 12 Large Eggs,,,Groceries->Eggs,,5.29,,,,,,,GE019,GE019.JPG,,taxable,standard-rate
Compliments 12 Large Size Eggs,,,Groceries->Eggs,,2.85,,,,,,,GE020,GE020.JPG,,taxable,standard-rate
Burnbrae Prestige 12 Large Eggs,,,Groceries->Eggs,,3.29,,,,,,,GE021,GE021.JPG,,taxable,standard-rate
Naturegg Omega-3 16 Large Eggs,,,Groceries->Eggs,,6.14,,,,,,,GE022,GE022.JPG,,taxable,standard-rate
Burnbrae Prestige 18 Large Eggs,,,Groceries->Eggs,,5.24,,,,,,,GE023,GE023.JPG,,taxable,standard-rate
Compliments 100% Pure Liquid Egg White 500g,,,Groceries->Eggs,,2.69,,,,,,,GE024,GE024.JPG,,taxable,standard-rate
GoldEgg Just Egg White Fat-Free 500g,,,Groceries->Eggs,,3.19,,,,,,,GE025,GE025.JPG,,taxable,standard-rate
GoldEgg Gloden Fat-Free Liquid Egg Product 500g,,,Groceries->Eggs,,3.39,,,,,,,GE026,GE026.JPG,,taxable,standard-rate
GoldEgg FreeRun Egg Whites 500g,,,Groceries->Eggs,,3.39,,,,,,,GE027,GE027.JPG,,taxable,standard-rate
Egg Creations Original 500g,,,Groceries->Eggs,,3.79,,,,,,,GE028,GE028.JPG,,taxable,standard-rate
Egg Creations Cheese & Chives 500g,,,Groceries->Eggs,,3.79,,,,,,,GE029,GE029.JPG,,taxable,standard-rate
Egg Creations Garden Vegetable 500g,,,Groceries->Eggs,,3.79,,,,,,,GE030,GE030.JPG,,taxable,standard-rate
Egg Creations Cinnamon French Toast Blend 500g,,,Groceries->Eggs,,3.79,,,,,,,GE031,GE031.JPG,,taxable,standard-rate
Egg Creations Maple French Toast Blend 500g,,,Groceries->Eggs,,3.79,,,,,,,GE032,GE032.JPG,,taxable,standard-rate
Naturegg Free Run Simply Egg Whites 500g,,,Groceries->Eggs,,3.49,,,,,,,GE033,GE033.JPG,,taxable,standard-rate
Naturegg Simply Egg Whites 500g,,,Groceries->Eggs,,3.49,,,,,,,GE034,GE034.JPG,,taxable,standard-rate
Naturegg Simply Egg Whites 500g 2pk,,,Groceries->Eggs,,3.49,,,,,,,GE035,GE035.JPG,,taxable,standard-rate
Naturegg OmegaPro 500g 2pk,,,Groceries->Eggs,,3.89,,,,,,,GE036,GE036.JPG,,taxable,standard-rate
