title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Always Maxi Overnight Extra Heavy Flow Flexi-Wings 20Pk,,,Home & Lifestyle->Personal Care->Feminine Hygiene,,7.99,,,,,,,HLPCFH001,HLPCFH001.JPG,,taxable ,standard-rate
Always Maxi Overnight Flexi-Wings 14Pk,,,Home & Lifestyle->Personal Care->Feminine Hygiene,,4.99,,,,,,,HLPCFH002,HLPCFH002.JPG,,taxable ,standard-rate
Always Ultra Thin Overnight Flexi-Wings 12Pk,,,Home & Lifestyle->Personal Care->Feminine Hygiene,,4.99,,,,,,,HLPCFH003,HLPCFH003.JPG,,taxable ,standard-rate
Always Ultra Thin Overnight Flexi-Wings 28Pk,,,Home & Lifestyle->Personal Care->Feminine Hygiene,,8.29,,,,,,,HLPCFH004,HLPCFH004.JPG,,taxable ,standard-rate
Always Radiant Infinity Extraordinary Protection Overnight Flexi-Wings Light Clean Scent 12Pk,,,Home & Lifestyle->Personal Care->Feminine Hygiene,,4.99,,,,,,,HLPCFH005,HLPCFH005.JPG,,taxable ,standard-rate
Always Radiant Infinity Extraordinary Protection Regular Flexi-Wings Light Clean Scent 16Pk,,,Home & Lifestyle->Personal Care->Feminine Hygiene,,4.99,,,,,,,HLPCFH006,HLPCFH006.JPG,,taxable ,standard-rate
Always Radiant Incredibly Thin Daily Liners 64Pk,,,Home & Lifestyle->Personal Care->Feminine Hygiene,,5.29,,,,,,,HLPCFH007,HLPCFH007.JPG,,taxable ,standard-rate
Always Xtra Protection Daily Liners Extra Long 34Pk,,,Home & Lifestyle->Personal Care->Feminine Hygiene,,4.99,,,,,,,HLPCFH008,HLPCFH008.JPG,,taxable ,standard-rate
Always Xtra Protection Daily Liners Long 80Pk,,,Home & Lifestyle->Personal Care->Feminine Hygiene,,7.99,,,,,,,HLPCFH009,HLPCFH009.JPG,,taxable ,standard-rate
Always Xtra Protection Daily Liners Long 40Pk,,,Home & Lifestyle->Personal Care->Feminine Hygiene,,4.99,,,,,,,HLPCFH010,HLPCFH010.JPG,,taxable ,standard-rate
Always Xtra Protection Active Daily Liners Regular with Clean Scent 46Pk,,,Home & Lifestyle->Personal Care->Feminine Hygiene,,4.99,,,,,,,HLPCFH011,HLPCFH011.JPG,,taxable ,standard-rate
Always Incredibly Thin Active Daily Liners Regular with Clean Scent 60Pk,,,Home & Lifestyle->Personal Care->Feminine Hygiene,,4.99,,,,,,,HLPCFH012,HLPCFH012.JPG,,taxable ,standard-rate
Always Incredibly Thin Daily Liners Regular 60Pk,,,Home & Lifestyle->Personal Care->Feminine Hygiene,,4.99,,,,,,,HLPCFH013,HLPCFH013.JPG,,taxable ,standard-rate
