title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Tropicana Orange Juice Lots of Pulp 1.75L,,,Beverages->Fresh Juice,,5.12,,,,,,,BFJ001,BFJ001.JPG,,taxable,standard-rate
Tropicana Orange Juice with Added Calcium + Vitamin D 1.75L,,,Beverages->Fresh Juice,,5.12,,,,,,,BFJ002,BFJ002.JPG,,taxable,standard-rate
Tropicana Orange Juice Low Acid 1.75L,,,Beverages->Fresh Juice,,5.12,,,,,,,BFJ003,BFJ003.JPG,,taxable,standard-rate
Tropicana Orange Some Pulp 1.75L,,,Beverages->Fresh Juice,,5.12,,,,,,,BFJ004,BFJ004.JPG,,taxable,standard-rate
Tropicana Orange No Pulp 1.75L,,,Beverages->Fresh Juice,,5.12,,,,,,,BFJ005,BFJ005.JPG,,taxable,standard-rate
Tropicana Trop50 Orange Juice No Pulp 1.75L,,,Beverages->Fresh Juice,,5.12,,,,,,,BFJ006,BFJ006.JPG,,taxable,standard-rate
Tropicana Trop50 Orange Juice Some Pulp 1.75L,,,Beverages->Fresh Juice,,5.12,,,,,,,BFJ007,BFJ007.JPG,,taxable,standard-rate
Tropicana Trop50 Orange Juice Calcium + Vitamin D 1.75L,,,Beverages->Fresh Juice,,5.12,,,,,,,BFJ008,BFJ008.JPG,,taxable,standard-rate
Tropicana Orange Juice No Pulp 2.63L,,,Beverages->Fresh Juice,,6.96,,,,,,,BFJ009,BFJ009.JPG,,taxable,standard-rate
Tropicana Orange Juice Calcium + Vitamin D 2.63L,,,Beverages->Fresh Juice,,6.96,,,,,,,BFJ010,BFJ010.JPG,,taxable,standard-rate
Tropicana Orange Juice Some Pulp 2.63L,,,Beverages->Fresh Juice,,6.96,,,,,,,BFJ011,BFJ011.JPG,,taxable,standard-rate
Tropicana Orange Juice Lots of Pulp 2.63L,,,Beverages->Fresh Juice,,6.96,,,,,,,BFJ012,BFJ012.JPG,,taxable,standard-rate
Tropicana Orange Juice No Pulp 3.78L,,,Beverages->Fresh Juice,,8.59,,,,,,,BFJ013,BFJ013.JPG,,taxable,standard-rate
Tropicana Orange Juice Some Pulp 3.78L,,,Beverages->Fresh Juice,,8.59,,,,,,,BFJ014,BFJ014.JPG,,taxable,standard-rate
Tropicana Orange Juice No Pulp 236ml 6pk,,,Beverages->Fresh Juice,,5.79,,,,,,,BFJ015,BFJ015.JPG,,taxable,standard-rate
Tropicana Trop50 Pomegranate Blueberry Juice 1.75L,,,Beverages->Fresh Juice,,5.12,,,,,,,BFJ016,BFJ016.JPG,,taxable,standard-rate
Simply Grapefruit Juice 1.75L,,,Beverages->Fresh Juice,,4.99,,,,,,,BFJ017,BFJ017.JPG,,taxable,standard-rate
Simply Lemonade with Raspberry 1.75L,,,Beverages->Fresh Juice,,4.82,,,,,,,BFJ018,BFJ018.JPG,,taxable,standard-rate
Simply Orange with Pulp 1.75L,,,Beverages->Fresh Juice,,4.99,,,,,,,BFJ019,BFJ019.JPG,,taxable,standard-rate
Simply Lemonade 1.75L,,,Beverages->Fresh Juice,,4.99,,,,,,,BFJ020,BFJ020.JPG,,taxable,standard-rate
Simply Lemonade with Mango 1.75L,,,Beverages->Fresh Juice,,4.82,,,,,,,BFJ021,BFJ021.JPG,,taxable,standard-rate
Simply Orange Pulp Free 1.75L,,,Beverages->Fresh Juice,,4.99,,,,,,,BFJ022,BFJ022.JPG,,taxable,standard-rate
Simply Orange with Pulp 2.63L,,,Beverages->Fresh Juice,,6.49,,,,,,,BFJ023,BFJ023.JPG,,taxable,standard-rate
Simply Orange Pulp Free 2.63L,,,Beverages->Fresh Juice,,6.49,,,,,,,BFJ024,BFJ024.JPG,,taxable,standard-rate
MinuteMaid Mango 1.75L,,,Beverages->Fresh Juice,,4.09,,,,,,,BFJ025,BFJ025.JPG,,taxable,standard-rate
MinuteMaid Mixed Berry 1.75L,,,Beverages->Fresh Juice,,4.09,,,,,,,BFJ026,BFJ026.JPG,,taxable,standard-rate
MinuteMaid Peach 1.75L,,,Beverages->Fresh Juice,,4.09,,,,,,,BFJ027,BFJ027.JPG,,taxable,standard-rate
MinuteMaid Original Orange Juice 1.75L,,,Beverages->Fresh Juice,,4.09,,,,,,,BFJ028,BFJ028.JPG,,taxable,standard-rate
MinuteMaid Home Squeezed Style Orange Juice 1.75L,,,Beverages->Fresh Juice,,4.09,,,,,,,BFJ029,BFJ029.JPG,,taxable,standard-rate
MinuteMaid Calcium + Vitamin D Orange Juice 1.75L,,,Beverages->Fresh Juice,,4.09,,,,,,,BFJ030,BFJ030.JPG,,taxable,standard-rate
MinuteMaid Low Acid Orange Juice 1.75L,,,Beverages->Fresh Juice,,4.09,,,,,,,BFJ031,BFJ031.JPG,,taxable,standard-rate
Oasis Pineapple and Tropical Fruits 1.75L,,,Beverages->Fresh Juice,,4.49,,,,,,,BFJ032,BFJ032.JPG,,taxable,standard-rate
Oasis Strawberry and Kiwi 1.75L,,,Beverages->Fresh Juice,,4.49,,,,,,,BFJ033,BFJ033.JPG,,taxable,standard-rate
"Oasis Orange, Passion Fruit and Peach 1.75L",,,Beverages->Fresh Juice,,4.49,,,,,,,BFJ034,BFJ034.JPG,,taxable,standard-rate
"Oasis Orange, Mango and Cranberry 1.75L",,,Beverages->Fresh Juice,,4.49,,,,,,,BFJ035,BFJ035.JPG,,taxable,standard-rate
Oasis 10 Fruit Sunny Blend 1.75L,,,Beverages->Fresh Juice,,4.49,,,,,,,BFJ036,BFJ036.JPG,,taxable,standard-rate
Oasis Smoothie Strawberry Banana 1.75L,,,Beverages->Fresh Juice,,4.49,,,,,,,BFJ037,BFJ037.JPG,,taxable,standard-rate
Oasis Smoothie Pineapple-Banana-Coconut 1.75L,,,Beverages->Fresh Juice,,4.49,,,,,,,BFJ038,BFJ038.JPG,,taxable,standard-rate
Oasis Berry and Pomegranate 1.75L,,,Beverages->Fresh Juice,,4.49,,,,,,,BFJ039,BFJ039.JPG,,taxable,standard-rate
Oasis Smoothie Tropical Mango 1.75L,,,Beverages->Fresh Juice,,4.49,,,,,,,BFJ040,BFJ040.JPG,,taxable,standard-rate
Oasis Orange-Mango 1.75L,,,Beverages->Fresh Juice,,4.49,,,,,,,BFJ041,BFJ041.JPG,,taxable,standard-rate
Oasis Orange Juice with Pulp 1.75L,,,Beverages->Fresh Juice,,4.49,,,,,,,BFJ042,BFJ042.JPG,,taxable,standard-rate
Oasis Orange Juice without Pulp 1.75L,,,Beverages->Fresh Juice,,4.49,,,,,,,BFJ043,BFJ043.JPG,,taxable,standard-rate
Oasis Smoothie Apple-Berry 1.75L,,,Beverages->Fresh Juice,,4.49,,,,,,,BFJ044,BFJ044.JPG,,taxable,standard-rate
Oasis Apple-Berry 1.75L,,,Beverages->Fresh Juice,,4.49,,,,,,,BFJ045,BFJ045.JPG,,taxable,standard-rate
Oasis Berry and Pomegranate 2.63L,,,Beverages->Fresh Juice,,6.69,,,,,,,BFJ046,BFJ046.JPG,,taxable,standard-rate
Oasis Orange Juice with Pulp 2.63L,,,Beverages->Fresh Juice,,6.69,,,,,,,BFJ047,BFJ047.JPG,,taxable,standard-rate
Oasis Orange Juice without Pulp 2.63L,,,Beverages->Fresh Juice,,6.69,,,,,,,BFJ048,BFJ048.JPG,,taxable,standard-rate
Tropicana Orange & Mango 1.75L,,,Beverages->Fresh Juice,,5.12,,,,,,,BFJ049,BFJ049.JPG,,taxable,standard-rate
Tropicana Grapefruit Juice 1.75L,,,Beverages->Fresh Juice,,5.12,,,,,,,BFJ050,BFJ050.JPG,,taxable,standard-rate
Tropicana Orange & Tangarine 1.75L,,,Beverages->Fresh Juice,,5.12,,,,,,,BFJ051,BFJ051.JPG,,taxable,standard-rate
