title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Michelina Meat Loaf With Mashed Potato 241g,,,Groceries->Frozen Foods->Frozen Meal ,,2.49,,,,,,,GFFFM001,GFFFM001.JPG,,taxable ,standard-rate
Michelina Chicken Strir Fry Light 227g,,,Groceries->Frozen Foods->Frozen Meal ,,2.49,,,,,,,GFFFM002,GFFFM002.JPG,,taxable ,standard-rate
Michelina General Tao Chicken 255g,,,Groceries->Frozen Foods->Frozen Meal ,,2.49,,,,,,,GFFFM003,GFFFM003.JPG,,taxable ,standard-rate
Michelina Creamy Shrimp Penne Light 227g,,,Groceries->Frozen Foods->Frozen Meal ,,2.49,,,,,,,GFFFM004,GFFFM004.JPG,,taxable ,standard-rate
Michelina Indian Butter Chicken 255g,,,Groceries->Frozen Foods->Frozen Meal ,,2.49,,,,,,,GFFFM005,GFFFM005.JPG,,taxable ,standard-rate
Michelina Pad Thai 269g,,,Groceries->Frozen Foods->Frozen Meal ,,2.49,,,,,,,GFFFM006,GFFFM006.JPG,,taxable ,standard-rate
Michelina Macaroni and Cheese Light 227g,,,Groceries->Frozen Foods->Frozen Meal ,,2.49,,,,,,,GFFFM007,GFFFM007.JPG,,taxable ,standard-rate
Michelina Cheese Tortellini 227g,,,Groceries->Frozen Foods->Frozen Meal ,,2.49,,,,,,,GFFFM008,GFFFM008.JPG,,taxable ,standard-rate
Michelina Fettuccine Alfredo 284g,,,Groceries->Frozen Foods->Frozen Meal ,,2.49,,,,,,,GFFFM009,GFFFM009.JPG,,taxable ,standard-rate
Michelina Parmesan Bacon Linguine 255g,,,Groceries->Frozen Foods->Frozen Meal ,,2.49,,,,,,,GFFFM010,GFFFM010.JPG,,taxable ,standard-rate
Michelina Salisbury Steak 255g,,,Groceries->Frozen Foods->Frozen Meal ,,2.49,,,,,,,GFFFM011,GFFFM011.JPG,,taxable ,standard-rate
Michelina Fries and Chicken Bites 156g,,,Groceries->Frozen Foods->Frozen Meal ,,2.39,,,,,,,GFFFM012,GFFFM012.JPG,,taxable ,standard-rate
Michelina Swedish Meatballs 255g,,,Groceries->Frozen Foods->Frozen Meal ,,2.39,,,,,,,GFFFM013,GFFFM013.JPG,,taxable ,standard-rate
Michelina Fried Chicken With Mashed Potato 213g ,,,Groceries->Frozen Foods->Frozen Meal ,,2.39,,,,,,,GFFFM014,GFFFM014.JPG,,taxable ,standard-rate
Michelina Chicken Primavera 227g,,,Groceries->Frozen Foods->Frozen Meal ,,2.39,,,,,,,GFFFM015,GFFFM015.JPG,,taxable ,standard-rate
