title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Nectarine Basket 1Kg/Pack,,,Produce->Fruits_Vegetables->Fruits,,4.49,,,,,,,PFVF001,PFVF001.JPG,,taxable,standard-rate
Peaches Basket 1Kg/Pack,,,Produce->Fruits_Vegetables->Fruits,,4.49,,,,,,,PFVF002,PFVF002.JPG,,taxable,standard-rate
Navel Orange 0.8lb/Each,,,Produce->Fruits_Vegetables->Fruits,,1.2,,,,,,,PFVF003,PFVF003.JPG,,taxable,standard-rate
Lemon 0.4lb,,,Produce->Fruits_Vegetables->Fruits,,0.75,,,,,,,PFVF004,PFVF004.JPG,,taxable,standard-rate
Seedless Mini Cucumbers 6Pk 397g ,,,Produce->Fruits_Vegetables->Fruits,,3.49,,,,,,,PFVF005,PFVF005.JPG,,taxable,standard-rate
Avocados 0.5lb/Each,,,Produce->Fruits_Vegetables->Fruits,,1.99,,,,,,,PFVF006,PFVF006.JPG,,taxable,standard-rate
Forelle Pears 0.4lb/Each,,,Produce->Fruits_Vegetables->Fruits,,0.8,,,,,,,PFVF007,PFVF007.JPG,,taxable,standard-rate
Bosc Pears 0.4lb/Each,,,Produce->Fruits_Vegetables->Fruits,,0.8,,,,,,,PFVF008,PFVF008.JPG,,taxable,standard-rate
Bartlett Pears 0.4lb/Each,,,Produce->Fruits_Vegetables->Fruits,,0.8,,,,,,,PFVF009,PFVF009.JPG,,taxable,standard-rate
Anjou Pears 0.5lb/Each,,,Produce->Fruits_Vegetables->Fruits,,1.25,,,,,,,PFVF010,PFVF010.JPG,,taxable,standard-rate
Asian Yellow Pears 1.2lb/Each,,,Produce->Fruits_Vegetables->Fruits,,1.8,,,,,,,PFVF011,PFVF011.JPG,,taxable,standard-rate
Packhams Pears 0.4lb/Each,,,Produce->Fruits_Vegetables->Fruits,,0.7,,,,,,,PFVF012,PFVF012.JPG,,taxable,standard-rate
Grape Fruit 0.8lb/Each ,,,Produce->Fruits_Vegetables->Fruits,,1,,,,,,,PFVF013,PFVF013.JPG,,taxable,standard-rate
Key Limes 1lb ,,,Produce->Fruits_Vegetables->Fruits,,3.99,,,,,,,PFVF014,PFVF014.JPG,,taxable,standard-rate
Limes 0.2lb/Each ,,,Produce->Fruits_Vegetables->Fruits,,0.5,,,,,,,PFVF015,PFVF015.JPG,,taxable,standard-rate
Navel Oranges 3lb/Pack,,,Produce->Fruits_Vegetables->Fruits,,4.49,,,,,,,PFVF016,PFVF016.JPG,,taxable,standard-rate
Lemons 2lb/Pack,,,Produce->Fruits_Vegetables->Fruits,,2.99,,,,,,,PFVF017,PFVF017.JPG,,taxable,standard-rate
Lemons and Limes 2lb/Pack,,,Produce->Fruits_Vegetables->Fruits,,3.49,,,,,,,PFVF018,PFVF018.JPG,,taxable,standard-rate
Grape Tomatoes 551ml/Pack,,,Produce->Fruits_Vegetables->Fruits,,2.49,,,,,,,PFVF019,PFVF019.JPG,,taxable,standard-rate
Apricots 0.2lb/Each,,,Produce->Fruits_Vegetables->Fruits,,0.8,,,,,,,PFVF020,PFVF020.JPG,,taxable,standard-rate
Honeycrisp Apples 0.5lb/Each ,,,Produce->Fruits_Vegetables->Fruits,,2,,,,,,,PFVF021,PFVF021.JPG,,taxable,standard-rate
