title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
NatuVall Crchy Apl/Crsp Gran 210g,,,Groceries->Cereal & Breakfast->Granola Bars & Tarts Bars,,3.79,,,,,,,GCBGB001,GCBGB001.JPG,,taxable,standard-rate
NatuVall Oat N Honey Crchy Bar 230g,,,Groceries->Cereal & Breakfast->Granola Bars & Tarts Bars,,3.79,,,,,,,GCBGB002,GCBGB002.JPG,,taxable,standard-rate
Natuall Crbchy P/B Bar 230g,,,Groceries->Cereal & Breakfast->Granola Bars & Tarts Bars,,3.79,,,,,,,GCBGB003,GCBGB003.JPG,,taxable,standard-rate
NatuVall Crchy Frt Cb S/B 190g,,,Groceries->Cereal & Breakfast->Granola Bars & Tarts Bars,,3.79,,,,,,,GCBGB004,GCBGB004.JPG,,taxable,standard-rate
NatuVall Trail Mix Bar Frt&Nut 175g,,,Groceries->Cereal & Breakfast->Granola Bars & Tarts Bars,,3.79,,,,,,,GCBGB005,GCBGB005.JPG,,taxable,standard-rate
NatuVall Gran Thins Dk Ch Snck 170g,,,Groceries->Cereal & Breakfast->Granola Bars & Tarts Bars,,3.79,,,,,,,GCBGB006,GCBGB006.JPG,,taxable,standard-rate
NatuVall Almond Sett&Salty 175g,,,Groceries->Cereal & Breakfast->Granola Bars & Tarts Bars,,3.79,,,,,,,GCBGB007,GCBGB007.JPG,,taxable,standard-rate
NatuVall Trail Mix Bar D/Choc 175g,,,Groceries->Cereal & Breakfast->Granola Bars & Tarts Bars,,3.79,,,,,,,GCBGB008,GCBGB008.JPG,,taxable,standard-rate
NatuVall Gran Thins Pnut Sncks 170g,,,Groceries->Cereal & Breakfast->Granola Bars & Tarts Bars,,3.79,,,,,,,GCBGB009,GCBGB009.JPG,,taxable,standard-rate
NatuVall Sweet&Salty Peanut 175g,,,Groceries->Cereal & Breakfast->Granola Bars & Tarts Bars,,3.79,,,,,,,GCBGB010,GCBGB010.JPG,,taxable,standard-rate
NatuVall Crnchy D/Choc 210g,,,Groceries->Cereal & Breakfast->Granola Bars & Tarts Bars,,3.49,,,,,,,GCBGB011,GCBGB011.JPG,,taxable,standard-rate
