title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Starbuck Coffee Reg Vrnda 10Pk ,,,Groceries->Coffee & Tea->Coffee ,,10.99,,,,,,,GCTC001,GCTC001.JPG,,taxable,standard-rate
Starbuck Coffee Reg House Blnd 10Pk ,,,Groceries->Coffee & Tea->Coffee ,,10.99,,,,,,,GCTC002,GCTC002.JPG,,taxable,standard-rate
Starbuck Kcup Decaf House Blnd 10Pk ,,,Groceries->Coffee & Tea->Coffee ,,10.99,,,,,,,GCTC003,GCTC003.JPG,,taxable,standard-rate
Starbucks Kcup Pike Place Rst 10Pk ,,,Groceries->Coffee & Tea->Coffee ,,10.99,,,,,,,GCTC004,GCTC004.JPG,,taxable,standard-rate
Starbuck Kcup Coffee French Roast 10Pk ,,,Groceries->Coffee & Tea->Coffee ,,10.99,,,,,,,GCTC005,GCTC005.JPG,,taxable,standard-rate
Starbuck Coffee Sumatra 10Pk ,,,Groceries->Coffee & Tea->Coffee ,,10.99,,,,,,,GCTC006,GCTC006.JPG,,taxable,standard-rate
Starbuck Cof Verona Pke Plc 10Pk ,,,Groceries->Coffee & Tea->Coffee ,,10.99,,,,,,,GCTC007,GCTC007.JPG,,taxable,standard-rate
VanHoutt Kcup Fr Vanilla BOI 12Pk ,,,Groceries->Coffee & Tea->Coffee ,,9.49,,,,,,,GCTC008,GCTC008.JPG,,taxable,standard-rate
VanHoutt HseBlnd 3/4Lt 1/4Drk 12Pk ,,,Groceries->Coffee & Tea->Coffee ,,9.49,,,,,,,GCTC009,GCTC009.JPG,,taxable,standard-rate
VanHoutt Colmbn Med Roast Kcup 12Pk ,,,Groceries->Coffee & Tea->Coffee ,,9.49,,,,,,,GCTC010,GCTC010.JPG,,taxable,standard-rate
VanHoutt Decaffeinatd Med Kcup 12Pk ,,,Groceries->Coffee & Tea->Coffee ,,9.49,,,,,,,GCTC011,GCTC011.JPG,,taxable,standard-rate
VanHoutt Coff Clmban Dark Kcup 12Pk ,,,Groceries->Coffee & Tea->Coffee ,,9.49,,,,,,,GCTC012,GCTC012.JPG,,taxable,standard-rate
VanHoutt Coff Choc R/Truf Kcup 12Pk ,,,Groceries->Coffee & Tea->Coffee ,,9.49,,,,,,,GCTC013,GCTC013.JPG,,taxable,standard-rate
VanHoutt Hazelnut Light Kcup 12Pk ,,,Groceries->Coffee & Tea->Coffee ,,9.49,,,,,,,GCTC014,GCTC014.JPG,,taxable,standard-rate
VanHoutt Coffee Btrstch Kcup 12Pk ,,,Groceries->Coffee & Tea->Coffee ,,9.49,,,,,,,GCTC015,GCTC015.JPG,,taxable,standard-rate
VanHoutt French Van Lt Kcup 12Pk ,,,Groceries->Coffee & Tea->Coffee ,,9.49,,,,,,,GCTC016,GCTC016.JPG,,taxable,standard-rate
VanHoutt Coff Frnch Rst Dk Kcup 12Pk ,,,Groceries->Coffee & Tea->Coffee ,,9.49,,,,,,,GCTC017,GCTC017.JPG,,taxable,standard-rate
VanHoutt Hondrs Med Xbld Kcup 12Pk ,,,Groceries->Coffee & Tea->Coffee ,,9.49,,,,,,,GCTC018,GCTC018.JPG,,taxable,standard-rate
VanHoutt Mexico FTO Dark Kcup 12Pk ,,,Groceries->Coffee & Tea->Coffee ,,9.49,,,,,,,GCTC019,GCTC019.JPG,,taxable,standard-rate
VanHoutt Amaz Org FT Med Kcup 12Pk ,,,Groceries->Coffee & Tea->Coffee ,,9.49,,,,,,,GCTC020,GCTC020.JPG,,taxable,standard-rate
BariPrim Kcup Med Dark Roast 12Pk ,,,Groceries->Coffee & Tea->Coffee ,,10.99,,,,,,,GCTC021,GCTC021.JPG,,taxable,standard-rate
BariPrim Kcup Colombia Med Drk 12Pk ,,,Groceries->Coffee & Tea->Coffee ,,10.99,,,,,,,GCTC022,GCTC022.JPG,,taxable,standard-rate
BariPrim Kcup Italian Rst Dark 12Pk ,,,Groceries->Coffee & Tea->Coffee ,,10.99,,,,,,,GCTC023,GCTC023.JPG,,taxable,standard-rate
BariPrim Kcup FrenchRoast Dark 12Pk ,,,Groceries->Coffee & Tea->Coffee ,,10.99,,,,,,,GCTC024,GCTC024.JPG,,taxable,standard-rate
Timothys Ex Bld Rnfst Expresso 12Pk ,,,Groceries->Coffee & Tea->Coffee ,,9.49,,,,,,,GCTC025,GCTC025.JPG,,taxable,standard-rate
Timothys Kcup Clmbn Excelencia 12Pk ,,,Groceries->Coffee & Tea->Coffee ,,9.49,,,,,,,GCTC026,GCTC026.JPG,,taxable,standard-rate
Timothys Kcup French Vanilla 12Pk ,,,Groceries->Coffee & Tea->Coffee ,,9.49,,,,,,,GCTC027,GCTC027.JPG,,taxable,standard-rate
Timothys Coffee Breakfast Blnd 12Pk ,,,Groceries->Coffee & Tea->Coffee ,,9.49,,,,,,,GCTC028,GCTC028.JPG,,taxable,standard-rate
Folgers Grnd Grmt ClsscRst Kcup 12Pk ,,,Groceries->Coffee & Tea->Coffee ,,8.99,,,,,,,GCTC029,GCTC029.JPG,,taxable,standard-rate
Folgers Kcup Grnd Grmt MornCaf 12Pk ,,,Groceries->Coffee & Tea->Coffee ,,8.99,,,,,,,GCTC030,GCTC030.JPG,,taxable,standard-rate
Folgers Kcup Lively Colombian 12Pk ,,,Groceries->Coffee & Tea->Coffee ,,8.99,,,,,,,GCTC031,GCTC031.JPG,,taxable,standard-rate
Folgers Kcup Decaf Lively Colombian 12Pk ,,,Groceries->Coffee & Tea->Coffee ,,8.99,,,,,,,GCTC032,GCTC032.JPG,,taxable,standard-rate
Folgers Kcup Black Silk 12Pk ,,,Groceries->Coffee & Tea->Coffee ,,8.99,,,,,,,GCTC033,GCTC033.JPG,,taxable,standard-rate
Folgers GrdGrmt 12Kcup CrmlDrz 12Pk ,,,Groceries->Coffee & Tea->Coffee ,,8.99,,,,,,,GCTC034,GCTC034.JPG,,taxable,standard-rate
Folgers Kcup Vanilla Biscotti 12Pk ,,,Groceries->Coffee & Tea->Coffee ,,8.99,,,,,,,GCTC035,GCTC035.JPG,,taxable,standard-rate
Twinings Kcups Green Tea 12pk,,,Groceries->Coffee & Tea->Coffee ,,9.99,,,,,,,GCTC036,GCTC036.JPG,,taxable,standard-rate
Twinings Kcups Tea Earl Grey 12pk,,,Groceries->Coffee & Tea->Coffee ,,9.99,,,,,,,GCTC037,GCTC037.JPG,,taxable,standard-rate
Twinings Kcups Tea Earl Gry Gry 12pk,,,Groceries->Coffee & Tea->Coffee ,,9.99,,,,,,,GCTC038,GCTC038.JPG,,taxable,standard-rate
Twinings Kcups Chai Tea 12pk,,,Groceries->Coffee & Tea->Coffee ,,9.99,,,,,,,GCTC039,GCTC039.JPG,,taxable,standard-rate
Bigelow Tea Eng Brkfast K Cup 12pk,,,Groceries->Coffee & Tea->Coffee ,,9.49,,,,,,,GCTC040,GCTC040.JPG,,taxable,standard-rate
Bigelow Tea Earl Grey K Cup 12pk,,,Groceries->Coffee & Tea->Coffee ,,9.49,,,,,,,GCTC041,GCTC041.JPG,,taxable,standard-rate
Bigelow Tea HtCzy Camoomil Kcup 12pk,,,Groceries->Coffee & Tea->Coffee ,,9.49,,,,,,,GCTC042,GCTC042.JPG,,taxable,standard-rate
Bigelow Tea Green Kcup 12pk,,,Groceries->Coffee & Tea->Coffee ,,9.49,,,,,,,GCTC043,GCTC043.JPG,,taxable,standard-rate
Tassim Second Cup Paradiso 12pk,,,Groceries->Coffee & Tea->Coffee ,,8.99,,,,,,,GCTC044,GCTC044.JPG,,taxable,standard-rate
Tassim Second Cup Paradiso Dar 12pk,,,Groceries->Coffee & Tea->Coffee ,,8.99,,,,,,,GCTC045,GCTC045.JPG,,taxable,standard-rate
Gevalia Coffee Tass Drak Ital 12pk,,,Groceries->Coffee & Tea->Coffee ,,8.99,,,,,,,GCTC046,GCTC046.JPG,,taxable,standard-rate
Nabob Tass French Vanilla 12pk,,,Groceries->Coffee & Tea->Coffee ,,8.99,,,,,,,GCTC047,GCTC047.JPG,,taxable,standard-rate
Tassimo Gevalia CrmlMacch 8pk,,,Groceries->Coffee & Tea->Coffee ,,12.99,,,,,,,GCTC048,GCTC048.JPG,,taxable,standard-rate
Nabob Tass Decaf Cap 8pk,,,Groceries->Coffee & Tea->Coffee ,,8.99,,,,,,,GCTC049,GCTC049.JPG,,taxable,standard-rate
Nabob Cappuccino Tassimo 8pk,,,Groceries->Coffee & Tea->Coffee ,,8.99,,,,,,,GCTC050,GCTC050.JPG,,taxable,standard-rate
Nabob Coffee Brkf Blend Tassim 14pk,,,Groceries->Coffee & Tea->Coffee ,,8.99,,,,,,,GCTC051,GCTC051.JPG,,taxable,standard-rate
Tassimo Second Cup Caffe Latte 8pk,,,Groceries->Coffee & Tea->Coffee ,,12.99,,,,,,,GCTC052,GCTC052.JPG,,taxable,standard-rate
Nabob Latte Tassimo 8pk,,,Groceries->Coffee & Tea->Coffee ,,8.99,,,,,,,GCTC053,GCTC053.JPG,,taxable,standard-rate
Tassimo Gevilia VanLatte 8pk,,,Groceries->Coffee & Tea->Coffee ,,12.99,,,,,,,GCTC054,GCTC054.JPG,,taxable,standard-rate
Nabob Coffee Tassimo Climbn 14pk,,,Groceries->Coffee & Tea->Coffee ,,8.99,,,,,,,GCTC055,GCTC055.JPG,,taxable,standard-rate
Tassimo CN Coffee Long Esp 14pk,,,Groceries->Coffee & Tea->Coffee ,,8.99,,,,,,,GCTC056,GCTC056.JPG,,taxable,standard-rate
Tassimo Nabob Espresso 14pk,,,Groceries->Coffee & Tea->Coffee ,,8.49,,,,,,,GCTC057,GCTC057.JPG,,taxable,standard-rate
Tassimo CN Coffee Sig Roast 14pk,,,Groceries->Coffee & Tea->Coffee ,,8.99,,,,,,,GCTC058,GCTC058.JPG,,taxable,standard-rate
MaxHouse Coffee Tassimo 16pk,,,Groceries->Coffee & Tea->Coffee ,,8.99,,,,,,,GCTC059,GCTC059.JPG,,taxable,standard-rate
Tassimo CN America 14pk,,,Groceries->Coffee & Tea->Coffee ,,8.99,,,,,,,GCTC060,GCTC060.JPG,,taxable,standard-rate
MaxHouse Tassimo Decaf 16pk,,,Groceries->Coffee & Tea->Coffee ,,8.99,,,,,,,GCTC061,GCTC061.JPG,,taxable,standard-rate
Tassimo Hot Chocolate Cadbury 8pk,,,Groceries->Coffee & Tea->Coffee ,,8.99,,,,,,,GCTC062,GCTC062.JPG,,taxable,standard-rate
Tassimo Twinings Chai Latte 8Pk ,,,Groceries->Coffee & Tea->Coffee ,,9.49,,,,,,,GCTC063,GCTC063.JPG,,taxable,standard-rate
Tassimo Tet Orange Peko 14pk,,,Groceries->Coffee & Tea->Coffee ,,7.49,,,,,,,GCTC064,GCTC064.JPG,,taxable,standard-rate
Tassimo Tetley Tea Grm Pure 14pk,,,Groceries->Coffee & Tea->Coffee ,,7.49,,,,,,,GCTC065,GCTC065.JPG,,taxable,standard-rate
Nescafe Chococino Dlc Gst 8pk,,,Groceries->Coffee & Tea->Coffee ,,8.99,,,,,,,GCTC066,GCTC066.JPG,,taxable,standard-rate
Nescafe Dolco Macc Crml 8pk,,,Groceries->Coffee & Tea->Coffee ,,8.99,,,,,,,GCTC067,GCTC067.JPG,,taxable,standard-rate
Nescafe Ltmac Dolce Gst 8pk,,,Groceries->Coffee & Tea->Coffee ,,8.99,,,,,,,GCTC068,GCTC068.JPG,,taxable,standard-rate
Nescafe Caffe Kngo Dlc Gst 16pk,,,Groceries->Coffee & Tea->Coffee ,,8.99,,,,,,,GCTC069,GCTC069.JPG,,taxable,standard-rate
Nescafe House Blend Dlc Gst 16pk,,,Groceries->Coffee & Tea->Coffee ,,8.99,,,,,,,GCTC070,GCTC070.JPG,,taxable,standard-rate
