title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Ovaltine Choc Drink Mix 400g,,,Groceries->Coffee & Tea->Hot Chocolate,,5.29,,,,,,,GCTHC001,GCTHC001.JPG,,taxable,standard-rate
Ovaltine Malt Drink Class 400g,,,Groceries->Coffee & Tea->Hot Chocolate,,5.29,,,,,,,GCTHC002,GCTHC002.JPG,,taxable,standard-rate
Tim Hortons Hot Chocolate 500g,,,Groceries->Coffee & Tea->Hot Chocolate,,4.69,,,,,,,GCTHC003,GCTHC003.JPG,,taxable,standard-rate
Carnation Milk Hot/Choc 500g,,,Groceries->Coffee & Tea->Hot Chocolate,,5.49,,,,,,,GCTHC004,GCTHC004.JPG,,taxable,standard-rate
Carbatuib G/Cho With M/Mallo 500g,,,Groceries->Coffee & Tea->Hot Chocolate,,5.49,,,,,,,GCTHC005,GCTHC005.JPG,,taxable,standard-rate
Carnation Rich Hot/Choc 500g,,,Groceries->Coffee & Tea->Hot Chocolate,,5.49,,,,,,,GCTHC006,GCTHC006.JPG,,taxable,standard-rate
Carnation Hot Choc Light 500g,,,Groceries->Coffee & Tea->Hot Chocolate,,5.49,,,,,,,GCTHC007,GCTHC007.JPG,,taxable,standard-rate
Carnation Rolo Hot Choc 500g,,,Groceries->Coffee & Tea->Hot Chocolate,,5.49,,,,,,,GCTHC008,GCTHC008.JPG,,taxable,standard-rate
Carnation Rich Hot/Choc 10pk,,,Groceries->Coffee & Tea->Hot Chocolate,,3.99,,,,,,,GCTHC009,GCTHC009.JPG,,taxable,standard-rate
Carnation Hot/Choc M/Malo 10pk,,,Groceries->Coffee & Tea->Hot Chocolate,,3.99,,,,,,,GCTHC010,GCTHC010.JPG,,taxable,standard-rate
Carnation Hot/Choc Lt 10pk,,,Groceries->Coffee & Tea->Hot Chocolate,,3.99,,,,,,,GCTHC011,GCTHC011.JPG,,taxable,standard-rate
Carnation Hot Chocolate 10pk,,,Groceries->Coffee & Tea->Hot Chocolate,,3.99,,,,,,,GCTHC012,GCTHC012.JPG,,taxable,standard-rate
Nesquik LS Olus Choc Syrup 460ml,,,Groceries->Coffee & Tea->Hot Chocolate,,5.49,,,,,,,GCTHC013,GCTHC013.JPG,,taxable,standard-rate
Nesquik Choc 1/3 L/Sugar 510ml,,,Groceries->Coffee & Tea->Hot Chocolate,,5.49,,,,,,,GCTHC014,GCTHC014.JPG,,taxable,standard-rate
Nesquik Quik Choc Syrp 700ml,,,Groceries->Coffee & Tea->Hot Chocolate,,5.49,,,,,,,GCTHC015,GCTHC015.JPG,,taxable,standard-rate
Nesquik Rolo Syrup 510ml,,,Groceries->Coffee & Tea->Hot Chocolate,,5.49,,,,,,,GCTHC016,GCTHC016.JPG,,taxable,standard-rate
Nesquik Syrip Straw L/S 510ml,,,Groceries->Coffee & Tea->Hot Chocolate,,5.49,,,,,,,GCTHC017,GCTHC017.JPG,,taxable,standard-rate
Nesquik C/Pwdr 1/3 L/S 540g,,,Groceries->Coffee & Tea->Hot Chocolate,,5.99,,,,,,,GCTHC018,GCTHC018.JPG,,taxable,standard-rate
Nesquik Choc Powder 750g,,,Groceries->Coffee & Tea->Hot Chocolate,,5.99,,,,,,,GCTHC019,GCTHC019.JPG,,taxable,standard-rate
Nesquik Powder Strawberry 750g,,,Groceries->Coffee & Tea->Hot Chocolate,,5.99,,,,,,,GCTHC020,GCTHC020.JPG,,taxable,standard-rate
Comp Hot Chocolate Mix 500g,,,Groceries->Coffee & Tea->Hot Chocolate,,3.49,,,,,,,GCTHC021,GCTHC021.JPG,,taxable,standard-rate
Comp M/Malo Ht Choco Mix 500g,,,Groceries->Coffee & Tea->Hot Chocolate,,3.49,,,,,,,GCTHC022,GCTHC022.JPG,,taxable,standard-rate
Comp Chocolate Milk Mix 750g,,,Groceries->Coffee & Tea->Hot Chocolate,,4.99,,,,,,,GCTHC023,GCTHC023.JPG,,taxable,standard-rate
Comp Hot Choco Mix 10pk 280g,,,Groceries->Coffee & Tea->Hot Chocolate,,3.29,,,,,,,GCTHC024,GCTHC024.JPG,,taxable,standard-rate
Comp M/Malo Hot Choc Mix 10pk,,,Groceries->Coffee & Tea->Hot Chocolate,,3.29,,,,,,,GCTHC025,GCTHC025.JPG,,taxable,standard-rate
