title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Lipton Tea Spcd Cin Chai 20pk,,,Groceries->Coffee & Tea->Tea,,4.49,,,,,,,GCTT001,GCTT001.JPG,,taxable,standard-rate
Lipton Tea PYR Earl Grey CA 20pk,,,Groceries->Coffee & Tea->Tea,,4.49,,,,,,,GCTT002,GCTT002.JPG,,taxable,standard-rate
Lipton Pyr SummerFruit Infusio 20pk,,,Groceries->Coffee & Tea->Tea,,4.49,,,,,,,GCTT003,GCTT003.JPG,,taxable,standard-rate
Lipton PYR Lemon Ging Infusion 20pk,,,Groceries->Coffee & Tea->Tea,,4.49,,,,,,,GCTT004,GCTT004.JPG,,taxable,standard-rate
Lipton Pyr Tea P/Mint Infusion 20pk,,,Groceries->Coffee & Tea->Tea,,4.49,,,,,,,GCTT005,GCTT005.JPG,,taxable,standard-rate
Lipton PYR Camomile Infusion 20pk,,,Groceries->Coffee & Tea->Tea,,4.49,,,,,,,GCTT006,GCTT006.JPG,,taxable,standard-rate
Lipton Tea Grn Cbry Pome 20pk,,,Groceries->Coffee & Tea->Tea,,3.49,,,,,,,GCTT007,GCTT007.JPG,,taxable,standard-rate
Lipton Tea Pyramid Green 20pk,,,Groceries->Coffee & Tea->Tea,,4.49,,,,,,,GCTT008,GCTT008.JPG,,taxable,standard-rate
Lipton Green Tea Mandarin Orange 20pk,,,Groceries->Coffee & Tea->Tea,,4.49,,,,,,,GCTT009,GCTT009.JPG,,taxable,standard-rate
Lipton Tea Green Decaf 72pk,,,Groceries->Coffee & Tea->Tea,,7.99,,,,,,,GCTT010,GCTT010.JPG,,taxable,standard-rate
Lipton Tea Green 100pk,,,Groceries->Coffee & Tea->Tea,,6.49,,,,,,,GCTT011,GCTT011.JPG,,taxable,standard-rate
Lipton Yellow Label 100pk,,,Groceries->Coffee & Tea->Tea,,6.49,,,,,,,GCTT012,GCTT012.JPG,,taxable,standard-rate
Twinings Tea Bages Pepmint 20pk,,,Groceries->Coffee & Tea->Tea,,4.99,,,,,,,GCTT013,GCTT013.JPG,,taxable,standard-rate
Twinings Tea Bags Cmomle 20pk,,,Groceries->Coffee & Tea->Tea,,4.99,,,,,,,GCTT014,GCTT014.JPG,,taxable,standard-rate
Twinings Tea French Van Chai 20pk,,,Groceries->Coffee & Tea->Tea,,4.99,,,,,,,GCTT015,GCTT015.JPG,,taxable,standard-rate
Twinings Tea Chai Tea Ult Spc 20pk,,,Groceries->Coffee & Tea->Tea,,4.99,,,,,,,GCTT016,GCTT016.JPG,,taxable,standard-rate
Twinings Chai Tea Decaf 20pk,,,Groceries->Coffee & Tea->Tea,,4.99,,,,,,,GCTT017,GCTT017.JPG,,taxable,standard-rate
