title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Smuckers Jelly Apple 250ml,,,Groceries->Condiments & Sauces->Jam,,2.99,,,,,,,GCJ001,GCJ001.JPG,,taxable,standard-rate
Smuckers Jam Pineapple 250ml,,,Groceries->Condiments & Sauces->Jam,,3.29,,,,,,,GCJ002,GCJ002.JPG,,taxable,standard-rate
Smuckers Jam Cherry 250ml ,,,Groceries->Condiments & Sauces->Jam,,3.29,,,,,,,GCJ003,GCJ003.JPG,,taxable,standard-rate
Smuckers Jam Peach 250ml,,,Groceries->Condiments & Sauces->Jam,,3.29,,,,,,,GCJ004,GCJ004.JPG,,taxable,standard-rate
Smuckers Jam Rasp S/less 250ml,,,Groceries->Condiments & Sauces->Jam,,3.29,,,,,,,GCJ005,GCJ005.JPG,,taxable,standard-rate
Smuckers Jam S/B Sdls 250ml,,,Groceries->Condiments & Sauces->Jam,,3.29,,,,,,,GCJ006,GCJ006.JPG,,taxable,standard-rate
Smuckers Jam S/Berry Pur 500ml,,,Groceries->Condiments & Sauces->Jam,,4.29,,,,,,,GCJ007,GCJ007.JPG,,taxable,standard-rate
Smuckers Jam Rd Rasp Pur 500ml,,,Groceries->Condiments & Sauces->Jam,,4.29,,,,,,,GCJ008,GCJ008.JPG,,taxable,standard-rate
Smuckers Jam Wildberry 390ml ,,,Groceries->Condiments & Sauces->Jam,,4.29,,,,,,,GCJ009,GCJ009.JPG,,taxable,standard-rate
Smuckers Jam S/Berry NSA 310ml ,,,Groceries->Condiments & Sauces->Jam,,4.29,,,,,,,GCJ010,GCJ010.JPG,,taxable,standard-rate
Smuckers Spread B/Bry NS 310ml ,,,Groceries->Condiments & Sauces->Jam,,4.29,,,,,,,GCJ011,GCJ011.JPG,,taxable,standard-rate
Smuckers jam W/Berry NSA 310ml,,,Groceries->Condiments & Sauces->Jam,,4.29,,,,,,,GCJ012,GCJ012.JPG,,taxable,standard-rate
Smuckers FieldBerry 390ml,,,Groceries->Condiments & Sauces->Jam,,4.29,,,,,,,GCJ013,GCJ013.JPG,,taxable,standard-rate
Smuckers Summer Fruit 390ml,,,Groceries->Condiments & Sauces->Jam,,4.29,,,,,,,GCJ014,GCJ014.JPG,,taxable,standard-rate
Smuckers Jam Marm Orn NS 310ml,,,Groceries->Condiments & Sauces->Jam,,4.29,,,,,,,GCJ015,GCJ015.JPG,,taxable,standard-rate
Smuckers DblFrt Jam Rasp 390ml ,,,Groceries->Condiments & Sauces->Jam,,4.79,,,,,,,GCJ016,GCJ016.JPG,,taxable,standard-rate
Smuckers Jam Wildberry 500ml ,,,Groceries->Condiments & Sauces->Jam,,4.29,,,,,,,GCJ017,GCJ017.JPG,,taxable,standard-rate
Smuckers Jam Apricot 500ml,,,Groceries->Condiments & Sauces->Jam,,4.29,,,,,,,GCJ018,GCJ018.JPG,,taxable,standard-rate
EDSmith Jam S/Berry Lvrs 500ml,,,Groceries->Condiments & Sauces->Jam,,4.29,,,,,,,GCJ019,GCJ019.JPG,,taxable,standard-rate
EDSmith Jam Rasp Lvrs 500ml,,,Groceries->Condiments & Sauces->Jam,,4.29,,,,,,,GCJ020,GCJ020.JPG,,taxable,standard-rate
EDSmith Jam S/B Ras Plum 375ml,,,Groceries->Condiments & Sauces->Jam,,3.99,,,,,,,GCJ021,GCJ021.JPG,,taxable,standard-rate
EDSmith Jam Ras S/B BLkb 375ml,,,Groceries->Condiments & Sauces->Jam,,3.99,,,,,,,GCJ022,GCJ022.JPG,,taxable,standard-rate
EDSmith Jam Rasp S/B BLkb 500ml,,,Groceries->Condiments & Sauces->Jam,,3.99,,,,,,,GCJ023,GCJ023.JPG,,taxable,standard-rate
EDSmith Jam S/B Ras Plum 500ml,,,Groceries->Condiments & Sauces->Jam,,3.99,,,,,,,GCJ024,GCJ024.JPG,,taxable,standard-rate
EDSmith Spread Wildberry 500ml,,,Groceries->Condiments & Sauces->Jam,,3.99,,,,,,,GCJ025,GCJ025.JPG,,taxable,standard-rate
EDSmith Jam Apr Pch Pfrt 500ml,,,Groceries->Condiments & Sauces->Jam,,3.99,,,,,,,GCJ026,GCJ026.JPG,,taxable,standard-rate
EDSFrtLv Jam Strawberry 500ml,,,Groceries->Condiments & Sauces->Jam,,4.29,,,,,,,GCJ027,GCJ027.JPG,,taxable,standard-rate
EDSFrtLv Spread Rasp 500ml,,,Groceries->Condiments & Sauces->Jam,,4.29,,,,,,,GCJ028,GCJ028.JPG,,taxable,standard-rate
EDSFrtLv jam Ras Blkb 500ml,,,Groceries->Condiments & Sauces->Jam,,4.29,,,,,,,GCJ029,GCJ029.JPG,,taxable,standard-rate
EDSFrtLv Spread B/Bry 500ml,,,Groceries->Condiments & Sauces->Jam,,4.29,,,,,,,GCJ030,GCJ030.JPG,,taxable,standard-rate
EDSFrtLv NSA Rasp Jam 375ml,,,Groceries->Condiments & Sauces->Jam,,3.99,,,,,,,GCJ031,GCJ031.JPG,,taxable,standard-rate
EDSFrtLv NSA StwBry Jam,,,Groceries->Condiments & Sauces->Jam,,3.99,,,,,,,GCJ032,GCJ032.JPG,,taxable,standard-rate
CompOrg Jam StrawBerry 250ml,,,Groceries->Condiments & Sauces->Jam,,3.49,,,,,,,GCJ033,GCJ033.JPG,,taxable,standard-rate
CompOrg Jam Raspberry 250ml,,,Groceries->Condiments & Sauces->Jam,,3.49,,,,,,,GCJ034,GCJ034.JPG,,taxable,standard-rate
Comp Strawberry Jam 500ml,,,Groceries->Condiments & Sauces->Jam,,3.79,,,,,,,GCJ035,GCJ035.JPG,,taxable,standard-rate
Comp Spread S/Berry Lgt 500ml,,,Groceries->Condiments & Sauces->Jam,,3.79,,,,,,,GCJ036,GCJ036.JPG,,taxable,standard-rate
Comp Raspberry jam 500ml,,,Groceries->Condiments & Sauces->Jam,,3.79,,,,,,,GCJ037,GCJ037.JPG,,taxable,standard-rate
Comp Spread Rasp Lgt 500ml,,,Groceries->Condiments & Sauces->Jam,,3.79,,,,,,,GCJ038,GCJ038.JPG,,taxable,standard-rate
Comp Jelly Grape 500ml,,,Groceries->Condiments & Sauces->Jam,,3.79,,,,,,,GCJ039,GCJ039.JPG,,taxable,standard-rate
Comp Jam Blueberry Pur 500ml,,,Groceries->Condiments & Sauces->Jam,,3.79,,,,,,,GCJ040,GCJ040.JPG,,taxable,standard-rate
Comp Jumbleberry Jam 500ml,,,Groceries->Condiments & Sauces->Jam,,3.79,,,,,,,GCJ041,GCJ041.JPG,,taxable,standard-rate
Comp Orange Marmalade 500ml ,,,Groceries->Condiments & Sauces->Jam,,3.79,,,,,,,GCJ042,GCJ042.JPG,,taxable,standard-rate
Comp Jam Apricot Pure 500ml,,,Groceries->Condiments & Sauces->Jam,,3.79,,,,,,,GCJ043,GCJ043.JPG,,taxable,standard-rate
Robertsn Marmalade Orn 250ml,,,Groceries->Condiments & Sauces->Jam,,3.79,,,,,,,GCJ044,GCJ044.JPG,,taxable,standard-rate
Robertsn Jam Marm Ging 250ml,,,Groceries->Condiments & Sauces->Jam,,3.79,,,,,,,GCJ045,GCJ045.JPG,,taxable,standard-rate
Robertsn Jam Marm Gold 250ml,,,Groceries->Condiments & Sauces->Jam,,3.79,,,,,,,GCJ046,GCJ046.JPG,,taxable,standard-rate
Robertsn Jam Marm Orange 250ml,,,Groceries->Condiments & Sauces->Jam,,3.79,,,,,,,GCJ047,GCJ047.JPG,,taxable,standard-rate
StDalfor Jam Black Currant 225ml,,,Groceries->Condiments & Sauces->Jam,,5.49,,,,,,,GCJ048,GCJ048.JPG,,taxable,standard-rate
StDalfor Jam Red Raspberry 25ml,,,Groceries->Condiments & Sauces->Jam,,5.49,,,,,,,GCJ049,GCJ049.JPG,,taxable,standard-rate
StDalfor Jam Apricot 225ml,,,Groceries->Condiments & Sauces->Jam,,5.49,,,,,,,GCJ050,GCJ050.JPG,,taxable,standard-rate
StDalfor Jam Strawberry 225ml,,,Groceries->Condiments & Sauces->Jam,,5.49,,,,,,,GCJ051,GCJ051.JPG,,taxable,standard-rate
