title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Nutella Spread 375g,,,Groceries->Condiments & Sauces->Spreads,,4.99,,,,,,,GCS001,GCS001.JPG,,taxable,standard-rate
Nutella Spread 725g,,,Groceries->Condiments & Sauces->Spreads,,6.99,,,,,,,GCS002,GCS002.JPG,,taxable,standard-rate
Comp Chocolate Spread 400g,,,Groceries->Condiments & Sauces->Spreads,,3.79,,,,,,,GCS003,GCS003.JPG,,taxable,standard-rate
MaraNath Almond Butter Creamy 340g,,,Groceries->Condiments & Sauces->Spreads,,7.99,,,,,,,GCS004,GCS004.JPG,,taxable,standard-rate
MaraNath Almond Butter Crunchy 340g,,,Groceries->Condiments & Sauces->Spreads,,7.99,,,,,,,GCS005,GCS005.JPG,,taxable,standard-rate
Comp Peanut Butter Nat 500g,,,Groceries->Condiments & Sauces->Spreads,,3.99,,,,,,,GCS006,GCS006.JPG,,taxable,standard-rate
Comp Org Crunchy Peanut Btter 500g,,,Groceries->Condiments & Sauces->Spreads,,4.49,,,,,,,GCS007,GCS007.JPG,,taxable,standard-rate
Comp Org Smooth Peanut Butter  500g,,,Groceries->Condiments & Sauces->Spreads,,4.49,,,,,,,GCS008,GCS008.JPG,,taxable,standard-rate
Comp Peanut Butter Smooth 500g,,,Groceries->Condiments & Sauces->Spreads,,3.99,,,,,,,GCS009,GCS009.JPG,,taxable,standard-rate
Comp 100% Pnut/Btr Crunchy 500g,,,Groceries->Condiments & Sauces->Spreads,,3.99,,,,,,,GCS010,GCS010.JPG,,taxable,standard-rate
Comp Peanut Butter Crchy 500g,,,Groceries->Condiments & Sauces->Spreads,,3.99,,,,,,,GCS011,GCS011.JPG,,taxable,standard-rate
Comp Bal Peanut Butter Smooth 500g,,,Groceries->Condiments & Sauces->Spreads,,3.99,,,,,,,GCS012,GCS012.JPG,,taxable,standard-rate
Comp Bal Peanut Butter Smooth 1kg,,,Groceries->Condiments & Sauces->Spreads,,5.79,,,,,,,GCS013,GCS013.JPG,,taxable,standard-rate
Comp Peanuy Butter Crchy 1kg,,,Groceries->Condiments & Sauces->Spreads,,5.79,,,,,,,GCS014,GCS014.JPG,,taxable,standard-rate
Comp Peanut Butter Smooth 1kg ,,,Groceries->Condiments & Sauces->Spreads,,5.79,,,,,,,GCS015,GCS015.JPG,,taxable,standard-rate
Comp Peanut Butter Smooth 2kg,,,Groceries->Condiments & Sauces->Spreads,,9.99,,,,,,,GCS016,GCS016.JPG,,taxable,standard-rate
Kraft Peanut Butter Smooth 500g,,,Groceries->Condiments & Sauces->Spreads,,4.49,,,,,,,GCS017,GCS017.JPG,,taxable,standard-rate
Kraft Peanut Butter Light 500g,,,Groceries->Condiments & Sauces->Spreads,,4.49,,,,,,,GCS018,GCS018.JPG,,taxable,standard-rate
Kraft Peanut Butter Crchy 500g,,,Groceries->Condiments & Sauces->Spreads,,4.49,,,,,,,GCS019,GCS019.JPG,,taxable,standard-rate
