title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Kraft Philadelphia Cream Cheese Low Fat 250g,,,Groceries->Dairy Products->Cheese,,4.29,,,,,,,GDPC001,GDPC001.JPG,,taxable,standard-rate
Kraft Philadelphia Cream Cheese Original 250g,,,Groceries->Dairy Products->Cheese,,4.29,,,,,,,GDPC002,GDPC002.JPG,,taxable,standard-rate
Kraft Philadelphia Cream Cheese Chocolate 250g,,,Groceries->Dairy Products->Cheese,,4.19,,,,,,,GDPC003,GDPC003.JPG,,taxable,standard-rate
Kraft Philadelphia Cream Cheese Light Strawberry 250g,,,Groceries->Dairy Products->Cheese,,4.19,,,,,,,GDPC004,GDPC004.JPG,,taxable,standard-rate
Kraft Philadelphia Cream Cheese Garden Vegetables 250g,,,Groceries->Dairy Products->Cheese,,4.19,,,,,,,GDPC005,GDPC005.JPG,,taxable,standard-rate
Kraft Philadelphia Cream Cheese Low Fat Herb & Garlic 250g,,,Groceries->Dairy Products->Cheese,,4.19,,,,,,,GDPC006,GDPC006.JPG,,taxable,standard-rate
Kraft Philadelphia Cream Cheese Herb & Garlic 250g,,,Groceries->Dairy Products->Cheese,,4.19,,,,,,,GDPC007,GDPC007.JPG,,taxable,standard-rate
Kraft Philadelphia Cream Cheese Roasted Garlic 250g,,,Groceries->Dairy Products->Cheese,,4.19,,,,,,,GDPC008,GDPC008.JPG,,taxable,standard-rate
Kraft Philadelphia Cream Cheese Smkoed Salmon 250g,,,Groceries->Dairy Products->Cheese,,4.19,,,,,,,GDPC009,GDPC009.JPG,,taxable,standard-rate
Kraft Philadelphia Cream Cheese Light Herb & Garlic 250g,,,Groceries->Dairy Products->Cheese,,4.19,,,,,,,GDPC010,GDPC010.JPG,,taxable,standard-rate
Kraft Philadelphia Cream Cheese Whipped Chives 150g,,,Groceries->Dairy Products->Cheese,,4.19,,,,,,,GDPC011,GDPC011.JPG,,taxable,standard-rate
Kraft Philadelphia Cream Cheese Whipped Regular 150g,,,Groceries->Dairy Products->Cheese,,4.19,,,,,,,GDPC012,GDPC012.JPG,,taxable,standard-rate
Kraft 100% Parmesan Cheese Aged Grated 141g,,,Groceries->Dairy Products->Cheese,,4.99,,,,,,,GDPC013,GDPC013.JPG,,taxable,standard-rate
Kraft 100% Parmesan Cheese Shaved 141g,,,Groceries->Dairy Products->Cheese,,4.99,,,,,,,GDPC014,GDPC014.JPG,,taxable,standard-rate
Kraft 100% Parmesan Cheese Shredded 200g,,,Groceries->Dairy Products->Cheese,,6.99,,,,,,,GDPC015,GDPC015.JPG,,taxable,standard-rate
Kraft Parmesan Romano Cheese Shredded 200g,,,Groceries->Dairy Products->Cheese,,6.99,,,,,,,GDPC016,GDPC016.JPG,,taxable,standard-rate
Kraft Philadelphia Cream Cheese Spread Brick Light 250g,,,Groceries->Dairy Products->Cheese,,4.19,,,,,,,GDPC017,GDPC017.JPG,,taxable,standard-rate
Kraft Philadelphia Cream Cheese Spread Brick 250g,,,Groceries->Dairy Products->Cheese,,4.19,,,,,,,GDPC018,GDPC018.JPG,,taxable,standard-rate
Kraft Philadelphia Cream Cheese Spread Herb & Garlic 400g,,,Groceries->Dairy Products->Cheese,,6.79,,,,,,,GDPC019,GDPC019.JPG,,taxable,standard-rate
Kraft Philadelphia Cream Cheese Spread Light 400g,,,Groceries->Dairy Products->Cheese,,6.79,,,,,,,GDPC020,GDPC020.JPG,,taxable,standard-rate
Kraft Philadelphia Cream Cheese Spread Chocolate 400g,,,Groceries->Dairy Products->Cheese,,6.79,,,,,,,GDPC021,GDPC021.JPG,,taxable,standard-rate
Kraft Philadelphia Cream Cheese Pineapple 250g,,,Groceries->Dairy Products->Cheese,,4.19,,,,,,,GDPC022,GDPC022.JPG,,taxable,standard-rate
Kraft Philadelphia Cream Cheese Strawberry 250g,,,Groceries->Dairy Products->Cheese,,4.19,,,,,,,GDPC023,GDPC023.JPG,,taxable,standard-rate
Kraft Philadelphia Cream Cheese Garden Vegetable Light 250g,,,Groceries->Dairy Products->Cheese,,4.19,,,,,,,GDPC024,GDPC024.JPG,,taxable,standard-rate
Kraft Philadelphia Cream Cheese Dill 250g,,,Groceries->Dairy Products->Cheese,,4.19,,,,,,,GDPC025,GDPC025.JPG,,taxable,standard-rate
Kraft Philadelphia Cream Cheese Chive & Onion 250g,,,Groceries->Dairy Products->Cheese,,4.19,,,,,,,GDPC026,GDPC026.JPG,,taxable,standard-rate
Kraft Philadelphia Cooking Cream Savoury Garlic 270g,,,Groceries->Dairy Products->Cheese,,4.19,,,,,,,GDPC027,GDPC027.JPG,,taxable,standard-rate
