title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Planters TrlMx Van Nuts&Cbry Mx 180g,,,Groceries->Nuts & Seeds->Nuts,,3.29,,,,,,,GNSN001,GNSN001.JPG,,Taxable,standard-rate
Panters 100Cal Almd 18g 12pk,,,Groceries->Nuts & Seeds->Nuts,,4.99,,,,,,,GNSN002,GNSN002.JPG,,Taxable,standard-rate
Planters 100Cal Vital 20g 12pk,,,Groceries->Nuts & Seeds->Nuts,,4.99,,,,,,,GNSN003,GNSN003.JPG,,Taxable,standard-rate
Planters P/Nut Brittle 230g,,,Groceries->Nuts & Seeds->Nuts,,2.99,,,,,,,GNSN004,GNSN004.JPG,,Taxable,standard-rate
Planters TriMix Nut Cdy&Frt Mx 180g,,,Groceries->Nuts & Seeds->Nuts,,3.29,,,,,,,GNSN005,GNSN005.JPG,,Taxable,standard-rate
Cracked Black Pepper Cashews 275g,,,Groceries->Nuts & Seeds->Nuts,,7.49,,,,,,,GNSN006,GNSN006.JPG,,Taxable,standard-rate
Planters Almnds Rstd Sltd 250g,,,Groceries->Nuts & Seeds->Nuts,,6.49,,,,,,,GNSN007,GNSN007.JPG,,Taxable,standard-rate
Planters C/Tall P/Nuts Tin 300g,,,Groceries->Nuts & Seeds->Nuts,,4.49,,,,,,,GNSN008,GNSN008.JPG,,Taxable,standard-rate
Planters Rstd Cashews W/S Tin 275g,,,Groceries->Nuts & Seeds->Nuts,,7.49,,,,,,,GNSN009,GNSN009.JPG,,Taxable,standard-rate
Planters Peanuts Lgt Sea Sltd 300g,,,Groceries->Nuts & Seeds->Nuts,,3.49,,,,,,,GNSN010,GNSN010.JPG,,Taxable,standard-rate
Planters Praline Nut Mix 575g,,,Groceries->Nuts & Seeds->Nuts,,6.99,,,,,,,GNSN011,GNSN011.JPG,,Taxable,standard-rate
Planters Honey Nut Mix 575g,,,Groceries->Nuts & Seeds->Nuts,,6.99,,,,,,,GNSN012,GNSN012.JPG,,Taxable,standard-rate
Planters Dry Rstd P/Nuts 600g,,,Groceries->Nuts & Seeds->Nuts,,5.49,,,,,,,GNSN013,GNSN013.JPG,,Taxable,standard-rate
Comp Dry Rstd No Oil P/Nuts,,,Groceries->Nuts & Seeds->Nuts,,4.99,,,,,,,GNSN014,GNSN014.JPG,,Taxable,standard-rate
Comp Honey Rsted Peanuts 700g,,,Groceries->Nuts & Seeds->Nuts,,4.99,,,,,,,GNSN015,GNSN015.JPG,,Taxable,standard-rate
Comp Dry Rstd P/Nuts Seasoned 700g,,,Groceries->Nuts & Seeds->Nuts,,4.99,,,,,,,GNSN016,GNSN016.JPG,,Taxable,standard-rate
Comp Dlx Mix Nuts 50% Cshw Rst 275g,,,Groceries->Nuts & Seeds->Nuts,,6.49,,,,,,,GNSN017,GNSN017.JPG,,Taxable,standard-rate
Comp Party Nuts 60% Peanuts 300g,,,Groceries->Nuts & Seeds->Nuts,,3.99,,,,,,,GNSN018,GNSN018.JPG,,Taxable,standard-rate
Comp Cashew Roasted NSA 275g,,,Groceries->Nuts & Seeds->Nuts,,6.49,,,,,,,GNSN019,GNSN019.JPG,,Taxable,standard-rate
Comp Casgews Rstd Salt 275g,,,Groceries->Nuts & Seeds->Nuts,,6.49,,,,,,,GNSN020,GNSN020.JPG,,Taxable,standard-rate
Planters Dry Rstd Pistach 250g,,,Groceries->Nuts & Seeds->Nuts,,6.49,,,,,,,GNSN021,GNSN021.JPG,,Taxable,standard-rate
Planters Pistachios Cr/Blk/Pep 250g,,,Groceries->Nuts & Seeds->Nuts,,6.49,,,,,,,GNSN022,GNSN022.JPG,,Taxable,standard-rate
Planters C/Tail Nuts No Salt 300g,,,Groceries->Nuts & Seeds->Nuts,,4.29,,,,,,,GNSN023,GNSN023.JPG,,Taxable,standard-rate
Planters C/Tail P/Nuts 600g,,,Groceries->Nuts & Seeds->Nuts,,5.99,,,,,,,GNSN024,GNSN024.JPG,,Taxable,standard-rate
