title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Classico Mushroom Alfredo 410ml,,,Groceries->Pasta_Pasta Sauce->Pasta Sauce,,3.99,,,,,,,GPPSPS001,GPPSPS001.JPG,,taxable,standard-rate
Classico Alfredo & Roasted Garlic 410ml,,,Groceries->Pasta_Pasta Sauce->Pasta Sauce,,3.99,,,,,,,GPPSPS002,GPPSPS002.JPG,,taxable,standard-rate
Classico Roasted Red Pepper Alfredo 410ml,,,Groceries->Pasta_Pasta Sauce->Pasta Sauce,,3.99,,,,,,,GPPSPS003,GPPSPS003.JPG,,taxable,standard-rate
Classico Four Cheese Alfredo 410ml,,,Groceries->Pasta_Pasta Sauce->Pasta Sauce,,3.99,,,,,,,GPPSPS004,GPPSPS004.JPG,,taxable,standard-rate
Classico Alfredo Less Fat 410ml,,,Groceries->Pasta_Pasta Sauce->Pasta Sauce,,3.99,,,,,,,GPPSPS005,GPPSPS005.JPG,,taxable,standard-rate
Classico Alfredo 410ml,,,Groceries->Pasta_Pasta Sauce->Pasta Sauce,,3.99,,,,,,,GPPSPS006,GPPSPS006.JPG,,taxable,standard-rate
Classico Florentine Spinach & Cheese 650ml,,,Groceries->Pasta_Pasta Sauce->Pasta Sauce,,3.99,,,,,,,GPPSPS007,GPPSPS007.JPG,,taxable,standard-rate
Classico Tomato & Basil 650ml,,,Groceries->Pasta_Pasta Sauce->Pasta Sauce,,3.99,,,,,,,GPPSPS008,GPPSPS008.JPG,,taxable,standard-rate
Classico Roasted Garlic & Onion 650ml,,,Groceries->Pasta_Pasta Sauce->Pasta Sauce,,3.99,,,,,,,GPPSPS009,GPPSPS009.JPG,,taxable,standard-rate
Classico Spicy Red Pepper 650ml,,,Groceries->Pasta_Pasta Sauce->Pasta Sauce,,3.99,,,,,,,GPPSPS010,GPPSPS010.JPG,,taxable,standard-rate
Classico Tomato & Pesto 650ml,,,Groceries->Pasta_Pasta Sauce->Pasta Sauce,,3.99,,,,,,,GPPSPS011,GPPSPS011.JPG,,taxable,standard-rate
Classico Tuscan-Style Olive & Garlic 650ml,,,Groceries->Pasta_Pasta Sauce->Pasta Sauce,,3.99,,,,,,,GPPSPS012,GPPSPS012.JPG,,taxable,standard-rate
Classico Sun-Dried Tomato 650ml,,,Groceries->Pasta_Pasta Sauce->Pasta Sauce,,3.99,,,,,,,GPPSPS013,GPPSPS013.JPG,,taxable,standard-rate
Classico Tomato Alfredo 650ml,,,Groceries->Pasta_Pasta Sauce->Pasta Sauce,,3.99,,,,,,,GPPSPS014,GPPSPS014.JPG,,taxable,standard-rate
Classico Red Wine & Herb 650ml,,,Groceries->Pasta_Pasta Sauce->Pasta Sauce,,3.99,,,,,,,GPPSPS015,GPPSPS015.JPG,,taxable,standard-rate
Classico Fire-Roasted Tomato & Garlic 650ml,,,Groceries->Pasta_Pasta Sauce->Pasta Sauce,,3.99,,,,,,,GPPSPS016,GPPSPS016.JPG,,taxable,standard-rate
Classico Vodka Sauce 650ml,,,Groceries->Pasta_Pasta Sauce->Pasta Sauce,,3.99,,,,,,,GPPSPS017,GPPSPS017.JPG,,taxable,standard-rate
Classico Four Cheese 650ml,,,Groceries->Pasta_Pasta Sauce->Pasta Sauce,,3.99,,,,,,,GPPSPS018,GPPSPS018.JPG,,taxable,standard-rate
