title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
DelMonte Frt C/Tail VeryCherry 398ml,,,Groceries->Soups & Cans->Canned Fruits,,2.49,,,,,,,GSCF001,GSCF001.JPG,,taxable,standard-rate
DelMonte Fruit Cocktail NSA 398ml,,,Groceries->Soups & Cans->Canned Fruits,,2.49,,,,,,,GSCF002,GSCF002.JPG,,taxable,standard-rate
DelMonte Fruit Cocktail 398ml,,,Groceries->Soups & Cans->Canned Fruits,,2.49,,,,,,,GSCF003,GSCF003.JPG,,taxable,standard-rate
DelMonte Fruit Peach Slcs NSA 398ml,,,Groceries->Soups & Cans->Canned Fruits,,2.49,,,,,,,GSCF004,GSCF004.JPG,,taxable,standard-rate
DelMonte  Peach Slices 398ml,,,Groceries->Soups & Cans->Canned Fruits,,2.49,,,,,,,GSCF005,GSCF005.JPG,,taxable,standard-rate
DelMonte Peach Halves 398ml,,,Groceries->Soups & Cans->Canned Fruits,,2.49,,,,,,,GSCF006,GSCF006.JPG,,taxable,standard-rate
DelMonte Pear Halves 398ml,,,Groceries->Soups & Cans->Canned Fruits,,2.49,,,,,,,GSCF007,GSCF007.JPG,,taxable,standard-rate
DelMonte Peach Slices 796ml,,,Groceries->Soups & Cans->Canned Fruits,,3.49,,,,,,,GSCF008,GSCF008.JPG,,taxable,standard-rate
DelMonte Chky Mxd Fruit 796ml,,,Groceries->Soups & Cans->Canned Fruits,,3.49,,,,,,,GSCF009,GSCF009.JPG,,taxable,standard-rate
DelMonte Pear Halves 796ml ,,,Groceries->Soups & Cans->Canned Fruits,,3.49,,,,,,,GSCF010,GSCF010.JPG,,taxable,standard-rate
DelMonte Frt C/Tail VeryCherry 796ml,,,Groceries->Soups & Cans->Canned Fruits,,3.49,,,,,,,GSCF011,GSCF011.JPG,,taxable,standard-rate
DelMonte Fruit Cocktail 796ml,,,Groceries->Soups & Cans->Canned Fruits,,3.49,,,,,,,GSCF012,GSCF012.JPG,,taxable,standard-rate
Dole Pineapple Chunk 398ml,,,Groceries->Soups & Cans->Canned Fruits,,1.39,,,,,,,GSCF013,GSCF013.JPG,,taxable,standard-rate
Dole Pineapple Sliced 398ml ,,,Groceries->Soups & Cans->Canned Fruits,,1.39,,,,,,,GSCF014,GSCF014.JPG,,taxable,standard-rate
Dole Pineapple Crushed 398ml,,,Groceries->Soups & Cans->Canned Fruits,,1.39,,,,,,,GSCF015,GSCF015.JPG,,taxable,standard-rate
Dole Pineapple Tidbits 398ml,,,Groceries->Soups & Cans->Canned Fruits,,1.39,,,,,,,GSCF016,GSCF016.JPG,,taxable,standard-rate
Comp Fruit Cocktail Lt 398ml,,,Groceries->Soups & Cans->Canned Fruits,,1.79,,,,,,,GSCF017,GSCF017.JPG,,taxable,standard-rate
CompBal Pear Halves in Juice 398ml,,,Groceries->Soups & Cans->Canned Fruits,,1.79,,,,,,,GSCF018,GSCF018.JPG,,taxable,standard-rate
Comp Pear Halves in Light Syrup 398ml,,,Groceries->Soups & Cans->Canned Fruits,,1.79,,,,,,,GSCF019,GSCF019.JPG,,taxable,standard-rate
Comp Pineapple Chunk in Juice 398ml,,,Groceries->Soups & Cans->Canned Fruits,,1.29,,,,,,,GSCF020,GSCF020.JPG,,taxable,standard-rate
Comp Pineapple Sliced in Juice 398ml,,,Groceries->Soups & Cans->Canned Fruits,,1.29,,,,,,,GSCF021,GSCF021.JPG,,taxable,standard-rate
Comp Pineapple Crushed in Juice 398ml,,,Groceries->Soups & Cans->Canned Fruits,,1.29,,,,,,,GSCF022,GSCF022.JPG,,taxable,standard-rate
Comp Pineapple Tidbits in Juice 398ml,,,Groceries->Soups & Cans->Canned Fruits,,1.29,,,,,,,GSCF023,GSCF023.JPG,,taxable,standard-rate
Comp Sce Jel Cranberry 348ml,,,Groceries->Soups & Cans->Canned Fruits,,2.29,,,,,,,GSCF024,GSCF024.JPG,,taxable,standard-rate
Comp Sce Whl Cranberry 348ml,,,Groceries->Soups & Cans->Canned Fruits,,2.29,,,,,,,GSCF025,GSCF025.JPG,,taxable,standard-rate
Comp Mandarin Orange Whl 284ml,,,Groceries->Soups & Cans->Canned Fruits,,1.09,,,,,,,GSCF026,GSCF026.JPG,,taxable,standard-rate
Comp Fruit Cocktail Lt 796ml,,,Groceries->Soups & Cans->Canned Fruits,,2.49,,,,,,,GSCF027,GSCF027.JPG,,taxable,standard-rate
Comp Peach Halves in Lgt Syrup 796ml,,,Groceries->Soups & Cans->Canned Fruits,,1.99,,,,,,,GSCF028,GSCF028.JPG,,taxable,standard-rate
Comp Peach Slices in Lgt Syrup 796ml,,,Groceries->Soups & Cans->Canned Fruits,,1.99,,,,,,,GSCF029,GSCF029.JPG,,taxable,standard-rate
ComBal Pear Halves 796ml,,,Groceries->Soups & Cans->Canned Fruits,,2.99,,,,,,,GSCF030,GSCF030.JPG,,taxable,standard-rate
CompBal Peach Halves in Pear Juice 398ml,,,Groceries->Soups & Cans->Canned Fruits,,1.79,,,,,,,GSCF031,GSCF031.JPG,,taxable,standard-rate
Comp Peach Slices in Lgt Syrup 398ml,,,Groceries->Soups & Cans->Canned Fruits,,1.79,,,,,,,GSCF032,GSCF032.JPG,,taxable,standard-rate
OcnSpray Cbry Sauce Jlld 348ml,,,Groceries->Soups & Cans->Canned Fruits,,2.49,,,,,,,GSCF033,GSCF033.JPG,,taxable,standard-rate
OcnSpray Cbry Sauce Whl 348ml,,,Groceries->Soups & Cans->Canned Fruits,,2.49,,,,,,,GSCF034,GSCF034.JPG,,taxable,standard-rate
Motts Sweet Apple Sauce 796ml,,,Groceries->Soups & Cans->Canned Fruits,,2.59,,,,,,,GSCF035,GSCF035.JPG,,taxable,standard-rate
Motts Unswt Apple Sauce 796ml,,,Groceries->Soups & Cans->Canned Fruits,,2.59,,,,,,,GSCF036,GSCF036.JPG,,taxable,standard-rate
CompBal Unswt Apple Sauce 796ml,,,Groceries->Soups & Cans->Canned Fruits,,1.99,,,,,,,GSCF037,GSCF037.JPG,,taxable,standard-rate
CompBal Apple Sauce 398ml,,,Groceries->Soups & Cans->Canned Fruits,,1.49,,,,,,,GSCF038,GSCF038.JPG,,taxable,standard-rate
Comp Swtnd Apple Sauce 398ml,,,Groceries->Soups & Cans->Canned Fruits,,1.49,,,,,,,GSCF039,GSCF039.JPG,,taxable,standard-rate
Comp Swtnd Apple Sauce 796ml,,,Groceries->Soups & Cans->Canned Fruits,,1.99,,,,,,,GSCF040,GSCF040.JPG,,taxable,standard-rate
