title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Elite Chicken Salad With Wheat Crackers 95g,,,Groceries->Soups & Cans->Canned Meat & Seafood,,1.99,,,,,,,GSCCMS001,GSCCMS001.JPG,,taxable,standard-rate
Elite Chicken Salad With Cranberries And Wheat Crackers 95g,,,Groceries->Soups & Cans->Canned Meat & Seafood,,1.99,,,,,,,GSCCMS002,GSCCMS002.JPG,,taxable,standard-rate
Clover Leaf Tuna Salad Kit Rosemary & Sundried Tomato 90g,,,Groceries->Soups & Cans->Canned Meat & Seafood,,1.99,,,,,,,GSCCMS003,GSCCMS003.JPG,,taxable,standard-rate
Clover Leaf Tuna Salad Kit Lemon & Pepper 90g,,,Groceries->Soups & Cans->Canned Meat & Seafood,,1.99,,,,,,,GSCCMS004,GSCCMS004.JPG,,taxable,standard-rate
Clover Leaf Tuna Salad Kit Spicy Thai Chili 90g,,,Groceries->Soups & Cans->Canned Meat & Seafood,,1.99,,,,,,,GSCCMS005,GSCCMS005.JPG,,taxable,standard-rate
Clover Leaf Whole Baby Clams In Water 142g,,,Groceries->Soups & Cans->Canned Meat & Seafood,,2.79,,,,,,,GSCCMS006,GSCCMS006.JPG,,taxable,standard-rate
Clover Leaf Clam Juice Natural 236ml,,,Groceries->Soups & Cans->Canned Meat & Seafood,,2.49,,,,,,,GSCCMS007,GSCCMS007.JPG,,taxable,standard-rate
Comp Small Shrimp 106g,,,Groceries->Soups & Cans->Canned Meat & Seafood,,3.99,,,,,,,GSCCMS008,GSCCMS008.JPG,,taxable,standard-rate
Clover Leaf Crabmeat With 15% Leg Meat 120g,,,Groceries->Soups & Cans->Canned Meat & Seafood,,3.79,,,,,,,GSCCMS009,GSCCMS009.JPG,,taxable,standard-rate
Clover Leaf Chunk Crabmeat 120g,,,Groceries->Soups & Cans->Canned Meat & Seafood,,6.49,,,,,,,GSCCMS010,GSCCMS010.JPG,,taxable,standard-rate
Encore Seasoning Mix Escargot 7g,,,Groceries->Soups & Cans->Canned Meat & Seafood,,0.99,,,,,,,GSCCMS011,GSCCMS011.JPG,,taxable,standard-rate
M'Lord Snails 115g,,,Groceries->Soups & Cans->Canned Meat & Seafood,,2.79,,,,,,,GSCCMS012,GSCCMS012.JPG,,taxable,standard-rate
Clover Leaf Cocktail Shrimp 106g,,,Groceries->Soups & Cans->Canned Meat & Seafood,,4.79,,,,,,,GSCCMS013,GSCCMS013.JPG,,taxable,standard-rate
Brunswick Seafood Snacks Fish Fillets In Hot Sauce 100g,,,Groceries->Soups & Cans->Canned Meat & Seafood,,1.49,,,,,,,GSCCMS014,GSCCMS014.JPG,,taxable,standard-rate
Brunswick Seafood Snacks Fish Fillets In Tomato & Basil Sauce 100g,,,Groceries->Soups & Cans->Canned Meat & Seafood,,1.49,,,,,,,GSCCMS015,GSCCMS015.JPG,,taxable,standard-rate
Brunswick Seafood Snacks Fish Fillets In Golden Smoked 100g,,,Groceries->Soups & Cans->Canned Meat & Seafood,,1.49,,,,,,,GSCCMS016,GSCCMS016.JPG,,taxable,standard-rate
Brunswick Seafood Snacks Fish Fillets Kippered 100g,,,Groceries->Soups & Cans->Canned Meat & Seafood,,1.49,,,,,,,GSCCMS017,GSCCMS017.JPG,,taxable,standard-rate
Club Des Millionnaires Sardines Skiness and Boneless 124g,,,Groceries->Soups & Cans->Canned Meat & Seafood,,2.99,,,,,,,GSCCMS018,GSCCMS018.JPG,,taxable,standard-rate
Club Des Millionnaires In Water Sardines 124g,,,Groceries->Soups & Cans->Canned Meat & Seafood,,2.99,,,,,,,GSCCMS019,GSCCMS019.JPG,,taxable,standard-rate
Club Des Millionnaires Brisling Sardines Slightly Smoked 100g,,,Groceries->Soups & Cans->Canned Meat & Seafood,,2.99,,,,,,,GSCCMS020,GSCCMS020.JPG,,taxable,standard-rate
Clover Leaf Brisling Sardines In Olive Oil 106g,,,Groceries->Soups & Cans->Canned Meat & Seafood,,3.49,,,,,,,GSCCMS021,GSCCMS021.JPG,,taxable,standard-rate
Brunswick Sardines in Soya Oil 106g,,,Groceries->Soups & Cans->Canned Meat & Seafood,,1.29,,,,,,,GSCCMS022,GSCCMS022.JPG,,taxable,standard-rate
Brunswick Sardines in Spring Water No Salted 84g,,,Groceries->Soups & Cans->Canned Meat & Seafood,,1.29,,,,,,,GSCCMS023,GSCCMS023.JPG,,taxable,standard-rate
Brunswick Sardines in With Hot Peppers 106g,,,Groceries->Soups & Cans->Canned Meat & Seafood,,1.29,,,,,,,GSCCMS024,GSCCMS024.JPG,,taxable,standard-rate
Brunswick Sardines in Tomato Sauce 106g,,,Groceries->Soups & Cans->Canned Meat & Seafood,,1.29,,,,,,,GSCCMS025,GSCCMS025.JPG,,taxable,standard-rate
Brunswick Sardines in Lemon Sauce 106g,,,Groceries->Soups & Cans->Canned Meat & Seafood,,1.29,,,,,,,GSCCMS026,GSCCMS026.JPG,,taxable,standard-rate
Clover Leaf Smoked Mussels Hardwood Smoked 85g,,,Groceries->Soups & Cans->Canned Meat & Seafood,,2.29,,,,,,,GSCCMS027,GSCCMS027.JPG,,taxable,standard-rate
Comp Whole Smoked Mussels 85g,,,Groceries->Soups & Cans->Canned Meat & Seafood,,1.99,,,,,,,GSCCMS028,GSCCMS028.JPG,,taxable,standard-rate
Comp Whole Smoked Oysters 85g,,,Groceries->Soups & Cans->Canned Meat & Seafood,,1.99,,,,,,,GSCCMS029,GSCCMS029.JPG,,taxable,standard-rate
Clover Leaf Smoked Oysters Hardwood Smoked 85g,,,Groceries->Soups & Cans->Canned Meat & Seafood,,2.29,,,,,,,GSCCMS030,GSCCMS030.JPG,,taxable,standard-rate
Clover Leaf Solid Light Tuna Yellowfin in Olive Oil 85g,,,Groceries->Soups & Cans->Canned Meat & Seafood,,1.79,,,,,,,GSCCMS031,GSCCMS031.JPG,,taxable,standard-rate
Clover Leaf Solid White Tuna In Water 85g,,,Groceries->Soups & Cans->Canned Meat & Seafood,,1.99,,,,,,,GSCCMS032,GSCCMS032.JPG,,taxable,standard-rate
Clover Leaf Flaked Light Tuna Sundried Tomato & Basil 85g,,,Groceries->Soups & Cans->Canned Meat & Seafood,,1.79,,,,,,,GSCCMS033,GSCCMS033.JPG,,taxable,standard-rate
Clover Leaf Flaked Light Tuna Dill & Lemon 85g,,,Groceries->Soups & Cans->Canned Meat & Seafood,,1.79,,,,,,,GSCCMS034,GSCCMS034.JPG,,taxable,standard-rate
Clover Leaf Flaked Light Tuna Tomato & Onion 85g,,,Groceries->Soups & Cans->Canned Meat & Seafood,,1.79,,,,,,,GSCCMS035,GSCCMS035.JPG,,taxable,standard-rate
Clover Leaf Flaked Light Tuna Lemon & Pepper 85g,,,Groceries->Soups & Cans->Canned Meat & Seafood,,1.79,,,,,,,GSCCMS036,GSCCMS036.JPG,,taxable,standard-rate
Comp Balance Flaked Light Tuna Lemon & Pepper 85g,,,Groceries->Soups & Cans->Canned Meat & Seafood,,0.99,,,,,,,GSCCMS037,GSCCMS037.JPG,,taxable,standard-rate
Comp Balance Flaked Light Tuna Tomato & Onion 85g,,,Groceries->Soups & Cans->Canned Meat & Seafood,,0.99,,,,,,,GSCCMS038,GSCCMS038.JPG,,taxable,standard-rate
Comp Balance Flaked Light tuna Spicy Thai Chili 85g,,,Groceries->Soups & Cans->Canned Meat & Seafood,,0.99,,,,,,,GSCCMS039,GSCCMS039.JPG,,taxable,standard-rate
Clover Leaf Flaked Light Tuna Garlic & Hot Pepper 85g,,,Groceries->Soups & Cans->Canned Meat & Seafood,,1.79,,,,,,,GSCCMS040,GSCCMS040.JPG,,taxable,standard-rate
Clover Leaf Flaked Light Tuna Spicy Thai Chili 85g,,,Groceries->Soups & Cans->Canned Meat & Seafood,,1.79,,,,,,,GSCCMS041,GSCCMS041.JPG,,taxable,standard-rate
Clover Leaf Chipotle Chunk White Tuna 142g,,,Groceries->Soups & Cans->Canned Meat & Seafood,,2.79,,,,,,,GSCCMS042,GSCCMS042.JPG,,taxable,standard-rate
Clover Leaf Jalapeno in Olive Oil 142g,,,Groceries->Soups & Cans->Canned Meat & Seafood,,2.79,,,,,,,GSCCMS043,GSCCMS043.JPG,,taxable,standard-rate
Clover Leaf Sundried Tomato in Olive Oil 142g,,,Groceries->Soups & Cans->Canned Meat & Seafood,,2.79,,,,,,,GSCCMS044,GSCCMS044.JPG,,taxable,standard-rate
Sensations White Tuna in Water Solid Albacore 170g,,,Groceries->Soups & Cans->Canned Meat & Seafood,,2.49,,,,,,,GSCCMS045,GSCCMS045.JPG,,taxable,standard-rate
Clover Leaf Solid White Tuna in Water 170g,,,Groceries->Soups & Cans->Canned Meat & Seafood,,2.49,,,,,,,GSCCMS046,GSCCMS046.JPG,,taxable,standard-rate
Clover Leaf Solid White Yellowfin Tuna Vegetable Broth & Oil 170g,,,Groceries->Soups & Cans->Canned Meat & Seafood,,2.49,,,,,,,GSCCMS047,GSCCMS047.JPG,,taxable,standard-rate
Clover Leaf Chunk White Tuna in Water 170g,,,Groceries->Soups & Cans->Canned Meat & Seafood,,2.49,,,,,,,GSCCMS048,GSCCMS048.JPG,,taxable,standard-rate
GoldSeal Solid White Tuna Albacore in Water 170g,,,Groceries->Soups & Cans->Canned Meat & Seafood,,2.49,,,,,,,GSCCMS049,GSCCMS049.JPG,,taxable,standard-rate
GoldSeal Sockeye Red Salmon 213g,,,Groceries->Soups & Cans->Canned Meat & Seafood,,3.49,,,,,,,GSCCMS050,GSCCMS050.JPG,,taxable,standard-rate
Sensations Sockeye Salmon 213g,,,Groceries->Soups & Cans->Canned Meat & Seafood,,3.49,,,,,,,GSCCMS051,GSCCMS051.JPG,,taxable,standard-rate
Clover Leaf Sockeye Red Salmon 213g,,,Groceries->Soups & Cans->Canned Meat & Seafood,,3.49,,,,,,,GSCCMS052,GSCCMS052.JPG,,taxable,standard-rate
Clover Leaf Sockeye Red Salmon Low Sodium 213g,,,Groceries->Soups & Cans->Canned Meat & Seafood,,4.49,,,,,,,GSCCMS053,GSCCMS053.JPG,,taxable,standard-rate
Clover Leaf Skiness and Boneless Sockeye Salmon in Water 150g,,,Groceries->Soups & Cans->Canned Meat & Seafood,,4.99,,,,,,,GSCCMS054,GSCCMS054.JPG,,taxable,standard-rate
Clover Leaf Sockeye Salmon 106g,,,Groceries->Soups & Cans->Canned Meat & Seafood,,2.49,,,,,,,GSCCMS055,GSCCMS055.JPG,,taxable,standard-rate
Sensations White Tuna in Water Solid Albacore Low Sodium 170g,,,Groceries->Soups & Cans->Canned Meat & Seafood,,2.49,,,,,,,GSCCMS056,GSCCMS056.JPG,,taxable,standard-rate
Sensations White Tuna in Water Solid Flaked Albacore 170g,,,Groceries->Soups & Cans->Canned Meat & Seafood,,2.49,,,,,,,GSCCMS057,GSCCMS057.JPG,,taxable,standard-rate
