title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Philips EnergySaver Soft White 9W Mini Twister Medium Base 2Pk,,,Home & Liftstyle->Home Appliances->Light Bulbs ,,9.99,,,,,,,HLHALB001,HLHALB001.JPG,,taxable,standard-rate
Philips EnergySaver Soft White 5W Mini Twister Medium Base 1Pk,,,Home & Liftstyle->Home Appliances->Light Bulbs ,,5.79,,,,,,,HLHALB002,HLHALB002.JPG,,taxable,standard-rate
Philips EnergySaver Soft White Medium Base Chandlier 9W 1Pk,,,Home & Liftstyle->Home Appliances->Light Bulbs ,,0.99,,,,,,,HLHALB003,HLHALB003.JPG,,taxable,standard-rate
Philips DuraMax 50W/100W/150W Medium Base A21 1Pk,,,Home & Liftstyle->Home Appliances->Light Bulbs ,,3.49,,,,,,,HLHALB004,HLHALB004.JPG,,taxable,standard-rate
Philips DuraMax 30W/70W/100W Medium Base A21 1Pk,,,Home & Liftstyle->Home Appliances->Light Bulbs ,,3.49,,,,,,,HLHALB005,HLHALB005.JPG,,taxable,standard-rate
Philips Appliance Bulbs for Refrigerators & Oven Medium Base 40W Clear 2Pk,,,Home & Liftstyle->Home Appliances->Light Bulbs ,,2.29,,,,,,,HLHALB006,HLHALB006.JPG,,taxable,standard-rate
Philips DuraMax Bulbs for Fan & Garage Door Medium Base 40W Clear 2Pk,,,Home & Liftstyle->Home Appliances->Light Bulbs ,,3.49,,,,,,,HLHALB007,HLHALB007.JPG,,taxable,standard-rate
Philips DuraMax Bulbs Candelabra Base 25W Clear 2Pk,,,Home & Liftstyle->Home Appliances->Light Bulbs ,,2.99,,,,,,,HLHALB008,HLHALB008.JPG,,taxable,standard-rate
Philips DuraMax Bulbs Candelabra Base 40W Clear 2Pk,,,Home & Liftstyle->Home Appliances->Light Bulbs ,,2.99,,,,,,,HLHALB009,HLHALB009.JPG,,taxable,standard-rate
Philips DuraMax Bulbs Medium Base 25W Clear 2Pk,,,Home & Liftstyle->Home Appliances->Light Bulbs ,,2.29,,,,,,,HLHALB010,HLHALB010.JPG,,taxable,standard-rate
Philips DuraMax Bulbs Medium Base 40W Clear 2Pk,,,Home & Liftstyle->Home Appliances->Light Bulbs ,,2.29,,,,,,,HLHALB011,HLHALB011.JPG,,taxable,standard-rate
Philips DuraMax Bulbs Candelabra Base 25W Clear 2Pk,,,Home & Liftstyle->Home Appliances->Light Bulbs ,,2.29,,,,,,,HLHALB012,HLHALB012.JPG,,taxable,standard-rate
Philips DuraMax Bulbs Candelabra Base 40W Clear 2Pk,,,Home & Liftstyle->Home Appliances->Light Bulbs ,,2.29,,,,,,,HLHALB013,HLHALB013.JPG,,taxable,standard-rate
Philips DuraMax Bulbs Candelabra Base 40W Frost 2Pk,,,Home & Liftstyle->Home Appliances->Light Bulbs ,,2.29,,,,,,,HLHALB014,HLHALB014.JPG,,taxable,standard-rate
Philips DuraMax Bulbs Candelabra Base 60W Clear 2Pk,,,Home & Liftstyle->Home Appliances->Light Bulbs ,,2.29,,,,,,,HLHALB015,HLHALB015.JPG,,taxable,standard-rate
Comp Energy Saving Mini Twister Lamp Medium Base 13W 4Pk,,,Home & Liftstyle->Home Appliances->Light Bulbs ,,12.99,,,,,,,HLHALB016,HLHALB016.JPG,,taxable,standard-rate
Comp Energy Saving Mini Twister Lamp Medium Base 23W 4Pk,,,Home & Liftstyle->Home Appliances->Light Bulbs ,,21.99,,,,,,,HLHALB017,HLHALB017.JPG,,taxable,standard-rate
Comp Energy Saving Mini Twister Lamp Medium Base 13W 2Pk,,,Home & Liftstyle->Home Appliances->Light Bulbs ,,6.99,,,,,,,HLHALB018,HLHALB018.JPG,,taxable,standard-rate
Comp Energy Saving Mini Twister Lamp Medium Base 23W 2Pk,,,Home & Liftstyle->Home Appliances->Light Bulbs ,,10.99,,,,,,,HLHALB019,HLHALB019.JPG,,taxable,standard-rate
Signal Frosted Light Bulbs 60W Medium Base 4Pk,,,Home & Liftstyle->Home Appliances->Light Bulbs ,,1.99,,,,,,,HLHALB020,HLHALB020.JPG,,taxable,standard-rate
