title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Air Wick Freshmatic Compact Fruit Medley Cocktail 24ml,,,Home & Lifestyle->Home Supplies->Air Freshners ,,7.49,,,,,,,HLSHSAF001,HLSHSAF001.JPG,,taxable,standard-rate
Air Wick Scent Ribbons Vanilla Sugar Sparkle180g ,,,Home & Lifestyle->Home Supplies->Air Freshners ,,9.99,,,,,,,HLSHSAF002,HLSHSAF002.JPG,,taxable,standard-rate
Air Wick Scent Ribbons Apple & Shimmering Spice 180g,,,Home & Lifestyle->Home Supplies->Air Freshners ,,9.99,,,,,,,HLSHSAF003,HLSHSAF003.JPG,,taxable,standard-rate
Febreze Candle Meadows & Rain 155g,,,Home & Lifestyle->Home Supplies->Air Freshners ,,7.99,,,,,,,HLSHSAF004,HLSHSAF004.JPG,,taxable,standard-rate
Febreze Candle Eliminates Odors and Freshens 155g,,,Home & Lifestyle->Home Supplies->Air Freshners ,,7.99,,,,,,,HLSHSAF005,HLSHSAF005.JPG,,taxable,standard-rate
Glade Candle French Vanilla ,,,Home & Lifestyle->Home Supplies->Air Freshners ,,4.99,,,,,,,HLSHSAF006,HLSHSAF006.JPG,,taxable,standard-rate
Glade Candle Apple Cinnamon ,,,Home & Lifestyle->Home Supplies->Air Freshners ,,4.99,,,,,,,HLSHSAF007,HLSHSAF007.JPG,,taxable,standard-rate
Glade Candle 2 in 1 Fresh Berries and Wild Raspberry ,,,Home & Lifestyle->Home Supplies->Air Freshners ,,4.99,,,,,,,HLSHSAF008,HLSHSAF008.JPG,,taxable,standard-rate
Glade Candle 2 in 1 Creamy Custard and Apple Cinnamon ,,,Home & Lifestyle->Home Supplies->Air Freshners ,,4.99,,,,,,,HLSHSAF009,HLSHSAF009.JPG,,taxable,standard-rate
Air Wick Candle Warm Apple Pie 120g,,,Home & Lifestyle->Home Supplies->Air Freshners ,,9.99,,,,,,,HLSHSAF010,HLSHSAF010.JPG,,taxable,standard-rate
Air Wick Candle Apple Cinnamon 120g,,,Home & Lifestyle->Home Supplies->Air Freshners ,,9.99,,,,,,,HLSHSAF011,HLSHSAF011.JPG,,taxable,standard-rate
Air Wick Freshmatic Mountain Breeze Refills 180g,,,Home & Lifestyle->Home Supplies->Air Freshners ,,7.49,,,,,,,HLSHSAF012,HLSHSAF012.JPG,,taxable,standard-rate
Air Wick Freshmatic Sparkling Citrus Rills 180g,,,Home & Lifestyle->Home Supplies->Air Freshners ,,7.49,,,,,,,HLSHSAF013,HLSHSAF013.JPG,,taxable,standard-rate
Air Wick Freshmatic Vanilla Passion Refills 180g,,,Home & Lifestyle->Home Supplies->Air Freshners ,,7.49,,,,,,,HLSHSAF014,HLSHSAF014.JPG,,taxable,standard-rate
Air Wick Freshmatic Fresh Waters Refills 180g,,,Home & Lifestyle->Home Supplies->Air Freshners ,,7.49,,,,,,,HLSHSAF015,HLSHSAF015.JPG,,taxable,standard-rate
Air Wick Freshmatic Lavender & Chamomile Refills 180g,,,Home & Lifestyle->Home Supplies->Air Freshners ,,7.49,,,,,,,HLSHSAF016,HLSHSAF016.JPG,,taxable,standard-rate
