title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Cascade All in 1 Fresh Scent 20Pk,,,Home & Lifestyle->Home Supplies->Dishwashing Liquid,,8.29,,,,,,,HLHSDL001,HLHSDL001.JPG,,taxable,standard-rate
Cascade All in 1 Citrus 25Pk,,,Home & Lifestyle->Home Supplies->Dishwashing Liquid,,8.29,,,,,,,HLHSDL002,HLHSDL002.JPG,,taxable,standard-rate
Cascade All in 1 Fresh Scent 25Pk,,,Home & Lifestyle->Home Supplies->Dishwashing Liquid,,8.29,,,,,,,HLHSDL003,HLHSDL003.JPG,,taxable,standard-rate
Cascade All in 1 Fresh Scent 44Pk,,,Home & Lifestyle->Home Supplies->Dishwashing Liquid,,16.79,,,,,,,HLHSDL004,HLHSDL004.JPG,,taxable,standard-rate
Cascade All in 1 Citrus 44Pk,,,Home & Lifestyle->Home Supplies->Dishwashing Liquid,,15.99,,,,,,,HLHSDL005,HLHSDL005.JPG,,taxable,standard-rate
Cascade All in 1 Citrus 90Pk,,,Home & Lifestyle->Home Supplies->Dishwashing Liquid,,24.99,,,,,,,HLHSDL006,HLHSDL006.JPG,,taxable,standard-rate
Cascade All in 1 Citrus 54Pk,,,Home & Lifestyle->Home Supplies->Dishwashing Liquid,,16.79,,,,,,,HLHSDL007,HLHSDL007.JPG,,taxable,standard-rate
Cascade All in 1 Fresh Scent 54Pk,,,Home & Lifestyle->Home Supplies->Dishwashing Liquid,,16.79,,,,,,,HLHSDL008,HLHSDL008.JPG,,taxable,standard-rate
Cascade Powder Regular Fresh Scent 1.7Kg,,,Home & Lifestyle->Home Supplies->Dishwashing Liquid,,7.99,,,,,,,HLHSDL009,HLHSDL009.JPG,,taxable,standard-rate
Finish Jet Dry Rinse Green Apple 250ml,,,Home & Lifestyle->Home Supplies->Dishwashing Liquid,,5.49,,,,,,,HLHSDL010,HLHSDL010.JPG,,taxable,standard-rate
Finish Dishwasher Cleaner 250ml,,,Home & Lifestyle->Home Supplies->Dishwashing Liquid,,5.99,,,,,,,HLHSDL011,HLHSDL011.JPG,,taxable,standard-rate
Finish Powerball All in 1 Fresh Scent 25Pk,,,Home & Lifestyle->Home Supplies->Dishwashing Liquid,,9.49,,,,,,,HLHSDL012,HLHSDL012.JPG,,taxable,standard-rate
Finish Gelpacs All in 1 Orange Scent 25Pk,,,Home & Lifestyle->Home Supplies->Dishwashing Liquid,,9.49,,,,,,,HLHSDL013,HLHSDL013.JPG,,taxable,standard-rate
Finish Powerball Quantum Lemon Sparkle 20Pk,,,Home & Lifestyle->Home Supplies->Dishwashing Liquid,,9.49,,,,,,,HLHSDL014,HLHSDL014.JPG,,taxable,standard-rate
Finish Jet Dry Rinse 621ml,,,Home & Lifestyle->Home Supplies->Dishwashing Liquid,,9.29,,,,,,,HLHSDL015,HLHSDL015.JPG,,taxable,standard-rate
Finish Jet Dry Rinse Quantum 500ml,,,Home & Lifestyle->Home Supplies->Dishwashing Liquid,,9.29,,,,,,,HLHSDL016,HLHSDL016.JPG,,taxable,standard-rate
Finish Powerball Quantum 20Pk,,,Home & Lifestyle->Home Supplies->Dishwashing Liquid,,9.49,,,,,,,HLHSDL017,HLHSDL017.JPG,,taxable,standard-rate
Finish Powerball Quantum with Baking Soda 20Pk,,,Home & Lifestyle->Home Supplies->Dishwashing Liquid,,9.49,,,,,,,HLHSDL018,HLHSDL018.JPG,,taxable,standard-rate
Finish Powerball All in 1 Orange Scent 60Pk,,,Home & Lifestyle->Home Supplies->Dishwashing Liquid,,18.99,,,,,,,HLHSDL019,HLHSDL019.JPG,,taxable,standard-rate
Finish Powerball All in 1 60Pk,,,Home & Lifestyle->Home Supplies->Dishwashing Liquid,,18.99,,,,,,,HLHSDL020,HLHSDL020.JPG,,taxable,standard-rate
Finish Powerball Quantum with Baking Soda 48Pk,,,Home & Lifestyle->Home Supplies->Dishwashing Liquid,,18.99,,,,,,,HLHSDL021,HLHSDL021.JPG,,taxable,standard-rate
Finish Powerball Quantum 48Pk,,,Home & Lifestyle->Home Supplies->Dishwashing Liquid,,18.99,,,,,,,HLHSDL022,HLHSDL022.JPG,,taxable,standard-rate
Finish Powerball All in 1 Orange Scent 90Pk,,,Home & Lifestyle->Home Supplies->Dishwashing Liquid,,21.99,,,,,,,HLHSDL023,HLHSDL023.JPG,,taxable,standard-rate
Finish Gelpacs All in 1 Orange Scent 60Pk,,,Home & Lifestyle->Home Supplies->Dishwashing Liquid,,18.99,,,,,,,HLHSDL024,HLHSDL024.JPG,,taxable,standard-rate
Finish Power Regular 1.8Kg,,,Home & Lifestyle->Home Supplies->Dishwashing Liquid,,18.99,,,,,,,HLHSDL025,HLHSDL025.JPG,,taxable,standard-rate
Comp Automatic Dishwasher Detergent Pouches 25Pk,,,Home & Lifestyle->Home Supplies->Dishwashing Liquid,,6.99,,,,,,,HLHSDL026,HLHSDL026.JPG,,taxable,standard-rate
Comp Green Care Aotomatic Dishwasher Detergent Pouches 24Pk,,,Home & Lifestyle->Home Supplies->Dishwashing Liquid,,6.49,,,,,,,HLHSDL027,HLHSDL027.JPG,,taxable,standard-rate
Nature-Clean Dishwasher Pouches Unscented 24Pk,,,Home & Lifestyle->Home Supplies->Dishwashing Liquid,,7.99,,,,,,,HLHSDL028,HLHSDL028.JPG,,taxable,standard-rate
Affresh Dishwasher Cleaner 60g 3Pk,,,Home & Lifestyle->Home Supplies->Dishwashing Liquid,,9.99,,,,,,,HLHSDL029,HLHSDL029.JPG,,taxable,standard-rate
Sunlight Oxi Action Dishwasher Detergent Pouches Lemon Fresh 55Pk,,,Home & Lifestyle->Home Supplies->Dishwashing Liquid,,12.99,,,,,,,HLHSDL030,HLHSDL030.JPG,,taxable,standard-rate
Comp Automatic Dishwasher Detergent Gel 2.6L,,,Home & Lifestyle->Home Supplies->Dishwashing Liquid,,7.49,,,,,,,HLHSDL031,HLHSDL031.JPG,,taxable,standard-rate
Cascade Dishwasher Detergent Gel Lemon Scent 2.83L,,,Home & Lifestyle->Home Supplies->Dishwashing Liquid,,8.29,,,,,,,HLHSDL032,HLHSDL032.JPG,,taxable,standard-rate
Finish 2 in 1 Gel Lemon 2.6L,,,Home & Lifestyle->Home Supplies->Dishwashing Liquid,,8.19,,,,,,,HLHSDL033,HLHSDL033.JPG,,taxable,standard-rate
Palmolive Ocean Splash Dish Liquid 739ml,,,Home & Lifestyle->Home Supplies->Dishwashing Liquid,,3.49,,,,,,,HLHSDL034,HLHSDL034.JPG,,taxable,standard-rate
Palmolive Passion Fruit & Plumeria Dish Liquid 739ml,,,Home & Lifestyle->Home Supplies->Dishwashing Liquid,,3.49,,,,,,,HLHSDL035,HLHSDL035.JPG,,taxable,standard-rate
Palmolive Pomegranate Dish Liquid 739ml,,,Home & Lifestyle->Home Supplies->Dishwashing Liquid,,3.49,,,,,,,HLHSDL036,HLHSDL036.JPG,,taxable,standard-rate
Palmolive Green Apple Dish Liquid 739ml,,,Home & Lifestyle->Home Supplies->Dishwashing Liquid,,3.49,,,,,,,HLHSDL037,HLHSDL037.JPG,,taxable,standard-rate
