title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Kleenex Facial Tiss Lotion Wht 120-3ply,,,Home & Lifestyle->Home Supplies->Facial Tissue,,2.99,,,,,,,HHF001,HHF001.JPG,,taxable,standard-rate
Kleenex Facial Tissue Cool Tch 30-3ply,,,Home & Lifestyle->Home Supplies->Facial Tissue,,3.29,,,,,,,HHF002,HHF002.JPG,,taxable,standard-rate
Kleenex Facial Tiss PocketPack 8packs-3ply,,,Home & Lifestyle->Home Supplies->Facial Tissue,,2.99,,,,,,,HHF003,HHF003.JPG,,taxable,standard-rate
Kleenex Facial Tissue Ultra Reg 3pack 120-3ply,,,Home & Lifestyle->Home Supplies->Facial Tissue,,7.69,,,,,,,HHF004,HHF004.JPG,,taxable,standard-rate
Kleenex Facial Tiss Mix 3Pk 184-2ply ,,,Home & Lifestyle->Home Supplies->Facial Tissue,,7.69,,,,,,,HHF005,HHF005.JPG,,taxable,standard-rate
Royale Facial Tiss 6Pk 88-3ply ,,,Home & Lifestyle->Home Supplies->Facial Tissue,,8.99,,,,,,,HHF006,HHF006.JPG,,taxable,standard-rate
Comp Facial Tiss 78-3ply,,,Home & Lifestyle->Home Supplies->Facial Tissue,,1.69,,,,,,,HHF007,HHF007.JPG,,taxable,standard-rate
Comp Facial Tiss 250-2ply,,,Home & Lifestyle->Home Supplies->Facial Tissue,,1.79,,,,,,,HHF008,HHF008.JPG,,taxable,standard-rate
Comp Facial Tiss 136-2ply,,,Home & Lifestyle->Home Supplies->Facial Tissue,,1.29,,,,,,,HHF009,HHF009.JPG,,taxable,standard-rate
Comp Facial Tiss Ultra Soft 70-3ply,,,Home & Lifestyle->Home Supplies->Facial Tissue,,1.59,,,,,,,HHF010,HHF010.JPG,,taxable,standard-rate
Comp Facial Tiss 6Pk 78-3ply,,,Home & Lifestyle->Home Supplies->Facial Tissue,,7.49,,,,,,,HHF011,HHF011.JPG,,taxable,standard-rate
Comp Facial Tiss 6Pk 136-2ply,,,Home & Lifestyle->Home Supplies->Facial Tissue,,5.99,,,,,,,HHF012,HHF012.JPG,,taxable,standard-rate
Scotties Facial Tissue 126-2ply,,,Home & Lifestyle->Home Supplies->Facial Tissue,,1.99,,,,,,,HHF013,HHF013.JPG,,taxable,standard-rate
Scotties Facial Tissue 94-3ply ,,,Home & Lifestyle->Home Supplies->Facial Tissue,,1.89,,,,,,,HHF014,HHF014.JPG,,taxable,standard-rate
Scotties Supreme 6Pk 94-3ply,,,Home & Lifestyle->Home Supplies->Facial Tissue,,8.99,,,,,,,HHF015,HHF015.JPG,,taxable,standard-rate
Scotties Facial Tissue 6Pk 126-2ply,,,Home & Lifestyle->Home Supplies->Facial Tissue,,8.99,,,,,,,HHF016,HHF016.JPG,,taxable,standard-rate
