title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Bounty P/Towel SAS 2 Roll Wht,,,Home & Lifestyle->Home Supplies->Paper Towel,,3.79,,,,,,,HHP001,HHP001.JPG,,taxable,standard-rate
Bounty Duratowel 2 King Roll Wht ,,,Home & Lifestyle->Home Supplies->Paper Towel,,4.99,,,,,,,HHP002,HHP002.JPG,,taxable,standard-rate
Bounty Paper Towel Reg Wht 6 Roll ,,,Home & Lifestyle->Home Supplies->Paper Towel,,9.99,,,,,,,HHP003,HHP003.JPG,,taxable,standard-rate
Royale Paper Towel 2ply 6 Roll,,,Home & Lifestyle->Home Supplies->Paper Towel,,8.79,,,,,,,HHP004,HHP004.JPG,,taxable,standard-rate
Comp P/Towel 2ply 2 Roll,,,Home & Lifestyle->Home Supplies->Paper Towel,,3.19,,,,,,,HHP005,HHP005.JPG,,taxable,standard-rate
Comp P/Towel 2ply 6 Roll ,,,Home & Lifestyle->Home Supplies->Paper Towel,,7.49,,,,,,,HHP006,HHP006.JPG,,taxable,standard-rate
Comp Green Care P/Towel Reg 6 Roll,,,Home & Lifestyle->Home Supplies->Paper Towel,,7.89,,,,,,,HHP007,HHP007.JPG,,taxable,standard-rate
Signal P/Towel Reg 2 Roll,,,Home & Lifestyle->Home Supplies->Paper Towel,,1.29,,,,,,,HHP008,HHP008.JPG,,taxable,standard-rate
Signal P/Towel Reg 12 Roll ,,,Home & Lifestyle->Home Supplies->Paper Towel,,6.49,,,,,,,HHP009,HHP009.JPG,,taxable,standard-rate
Spontowl Ultra P/Towel 2 Roll ,,,Home & Lifestyle->Home Supplies->Paper Towel,,3.99,,,,,,,HHP010,HHP010.JPG,,taxable,standard-rate
Spontowl EnviroCare 2pyl 2 Roll ,,,Home & Lifestyle->Home Supplies->Paper Towel,,5.49,,,,,,,HHP011,HHP011.JPG,,taxable,standard-rate
Spontowl Ultra P/Towel 8 Roll ,,,Home & Lifestyle->Home Supplies->Paper Towel,,8.49,,,,,,,HHP012,HHP012.JPG,,taxable,standard-rate
Spontowl 6 Big Rolls ,,,Home & Lifestyle->Home Supplies->Paper Towel,,8.49,,,,,,,HHP013,HHP013.JPG,,taxable,standard-rate
Spontowl Paper Towel Ultra 12 Giant rolls ,,,Home & Lifestyle->Home Supplies->Paper Towel,,21.49,,,,,,,HHP014,HHP014.JPG,,taxable,standard-rate
