title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
PaperChf Parch Cking Bags 10EA,,,Home & Lifestyle->Home Supplies->Plastic Wrap & Freezer Bags,,3.99,,,,,,,HHPF001,HHPF001.JPG,,taxable,standard-rate
Glad Cling Wrap 30m,,,Home & Lifestyle->Home Supplies->Plastic Wrap & Freezer Bags,,2.49,,,,,,,HHPF002,HHPF002.JPG,,taxable,standard-rate
Glad Cling Wrap 90m,,,Home & Lifestyle->Home Supplies->Plastic Wrap & Freezer Bags,,4.99,,,,,,,HHPF003,HHPF003.JPG,,taxable,standard-rate
Glad Cling Wrap 60m,,,Home & Lifestyle->Home Supplies->Plastic Wrap & Freezer Bags,,3.99,,,,,,,HHPF004,HHPF004.JPG,,taxable,standard-rate
Glad Press n Seal Wrap ,,,Home & Lifestyle->Home Supplies->Plastic Wrap & Freezer Bags,,3.99,,,,,,,HHPF005,HHPF005.JPG,,taxable,standard-rate
Glad Cling Wrap 152m ,,,Home & Lifestyle->Home Supplies->Plastic Wrap & Freezer Bags,,7.99,,,,,,,HHPF006,HHPF006.JPG,,taxable,standard-rate
Glad Zipper strg bags Med 50Bags,,,Home & Lifestyle->Home Supplies->Plastic Wrap & Freezer Bags,,3.99,,,,,,,HHPF007,HHPF007.JPG,,taxable,standard-rate
Glad Zipper strg bags Lg 20Bags,,,Home & Lifestyle->Home Supplies->Plastic Wrap & Freezer Bags,,2.99,,,,,,,HHPF008,HHPF008.JPG,,taxable,standard-rate
Glad Zipper strg Bags Lg 40Bags ,,,Home & Lifestyle->Home Supplies->Plastic Wrap & Freezer Bags,,3.99,,,,,,,HHPF009,HHPF009.JPG,,taxable,standard-rate
Glad Swch Bag Zipper 100bags ,,,Home & Lifestyle->Home Supplies->Plastic Wrap & Freezer Bags,,4.39,,,,,,,HHPF010,HHPF010.JPG,,taxable,standard-rate
Glad Bag Swch Lock Reclsable 50bags ,,,Home & Lifestyle->Home Supplies->Plastic Wrap & Freezer Bags,,2.49,,,,,,,HHPF011,HHPF011.JPG,,taxable,standard-rate
Glad Swch Bag lock Reclsable 20bags ,,,Home & Lifestyle->Home Supplies->Plastic Wrap & Freezer Bags,,2.99,,,,,,,HHPF012,HHPF012.JPG,,taxable,standard-rate
Glad Storage Bag Zipper Med 30Bags ,,,Home & Lifestyle->Home Supplies->Plastic Wrap & Freezer Bags,,2.99,,,,,,,HHPF013,HHPF013.JPG,,taxable,standard-rate
Glad Bag Freezer Zipper Lg 15bags ,,,Home & Lifestyle->Home Supplies->Plastic Wrap & Freezer Bags,,2.99,,,,,,,HHPF014,HHPF014.JPG,,taxable,standard-rate
Glad bag Freezer Zipper Lg 30Bags ,,,Home & Lifestyle->Home Supplies->Plastic Wrap & Freezer Bags,,3.99,,,,,,,HHPF015,HHPF015.JPG,,taxable,standard-rate
Glad Zipper Freezer Bag Med 40Bags ,,,Home & Lifestyle->Home Supplies->Plastic Wrap & Freezer Bags,,3.99,,,,,,,HHPF016,HHPF016.JPG,,taxable,standard-rate
Glad Lunch Bags 25bags ,,,Home & Lifestyle->Home Supplies->Plastic Wrap & Freezer Bags,,2.29,,,,,,,HHPF017,HHPF017.JPG,,taxable,standard-rate
Comp Plstc Wrap 30m,,,Home & Lifestyle->Home Supplies->Plastic Wrap & Freezer Bags,,1.79,,,,,,,HHPF018,HHPF018.JPG,,taxable,standard-rate
Comp Plstc Wrap 90m,,,Home & Lifestyle->Home Supplies->Plastic Wrap & Freezer Bags,,2.99,,,,,,,HHPF019,HHPF019.JPG,,taxable,standard-rate
Comp Sandwich Reclos 100Bags ,,,Home & Lifestyle->Home Supplies->Plastic Wrap & Freezer Bags,,2.99,,,,,,,HHPF020,HHPF020.JPG,,taxable,standard-rate
Comp Freezer Bag Reseal Med 75Bags ,,,Home & Lifestyle->Home Supplies->Plastic Wrap & Freezer Bags,,3.99,,,,,,,HHPF021,HHPF021.JPG,,taxable,standard-rate
Comp Snack Reclos 75Bags ,,,Home & Lifestyle->Home Supplies->Plastic Wrap & Freezer Bags,,2.79,,,,,,,HHPF022,HHPF022.JPG,,taxable,standard-rate
Comp Frzr Bag Reseal Med 20Bags ,,,Home & Lifestyle->Home Supplies->Plastic Wrap & Freezer Bags,,2.49,,,,,,,HHPF023,HHPF023.JPG,,taxable,standard-rate
Comp Frzr Reseal Lrg 12Bags ,,,Home & Lifestyle->Home Supplies->Plastic Wrap & Freezer Bags,,2.49,,,,,,,HHPF024,HHPF024.JPG,,taxable,standard-rate
Comp Reseal Frzr Bag Lrg 60Bags ,,,Home & Lifestyle->Home Supplies->Plastic Wrap & Freezer Bags,,3.99,,,,,,,HHPF025,HHPF025.JPG,,taxable,standard-rate
Comp Lunch Bags 50Bags ,,,Home & Lifestyle->Home Supplies->Plastic Wrap & Freezer Bags,,2.69,,,,,,,HHPF026,HHPF026.JPG,,taxable,standard-rate
Comp Wax Paper 30.5m,,,Home & Lifestyle->Home Supplies->Plastic Wrap & Freezer Bags,,2.69,,,,,,,HHPF027,HHPF027.JPG,,taxable,standard-rate
Ziploc Bag Swch 100Bags ,,,Home & Lifestyle->Home Supplies->Plastic Wrap & Freezer Bags,,3.99,,,,,,,HHPF028,HHPF028.JPG,,taxable,standard-rate
Ziploc Bag Snack 75Bags ,,,Home & Lifestyle->Home Supplies->Plastic Wrap & Freezer Bags,,3.69,,,,,,,HHPF029,HHPF029.JPG,,taxable,standard-rate
Ziploc Frzr Bag Value Pk Lrg 30Bags,,,Home & Lifestyle->Home Supplies->Plastic Wrap & Freezer Bags,,6.99,,,,,,,HHPF030,HHPF030.JPG,,taxable,standard-rate
Ziploc Frzr Bags Value Pk Med 40Bags ,,,Home & Lifestyle->Home Supplies->Plastic Wrap & Freezer Bags,,6.99,,,,,,,HHPF031,HHPF031.JPG,,taxable,standard-rate
