title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Heinz Low Sodium Ketchup 750ml,,,Groceries->Condiments & Sauces->Ketchup & Mustard,,4.39,,,,,,,GCSKM001,"GCSKM001,JPG",,taxable,standard-rate
Heinz Hot & Spicy Ketchup 750ml,,,Groceries->Condiments & Sauces->Ketchup & Mustard,,4.39,,,,,,,GCSKM002,"GCSKM002,JPG",,taxable,standard-rate
Heinz Balsamic Vinegar Ketchup 750ml,,,Groceries->Condiments & Sauces->Ketchup & Mustard,,4.59,,,,,,,GCSKM003,"GCSKM003,JPG",,taxable,standard-rate
Heinz Organic Ketchup 750ml,,,Groceries->Condiments & Sauces->Ketchup & Mustard,,5.49,,,,,,,GCSKM004,"GCSKM004,JPG",,taxable,standard-rate
Heinz Ketchup 375ml,,,Groceries->Condiments & Sauces->Ketchup & Mustard,,2.99,,,,,,,GCSKM005,"GCSKM005,JPG",,taxable,standard-rate
Heinz Ketchup 750ml,,,Groceries->Condiments & Sauces->Ketchup & Mustard,,4.39,,,,,,,GCSKM006,"GCSKM006,JPG",,taxable,standard-rate
Compliments Low Sodium Ketchup 750ml,,,Groceries->Condiments & Sauces->Ketchup & Mustard,,2.99,,,,,,,GCSKM007,"GCSKM007,JPG",,taxable,standard-rate
Compliments Ketchup 750ml,,,Groceries->Condiments & Sauces->Ketchup & Mustard,,3.29,,,,,,,GCSKM008,"GCSKM008,JPG",,taxable,standard-rate
Compliments Ketchup 1L,,,Groceries->Condiments & Sauces->Ketchup & Mustard,,2.99,,,,,,,GCSKM009,"GCSKM009,JPG",,taxable,standard-rate
Heinz Ketchup 1L,,,Groceries->Condiments & Sauces->Ketchup & Mustard,,3.99,,,,,,,GCSKM010,"GCSKM010,JPG",,taxable,standard-rate
Compliments Ketchup 1.5L,,,Groceries->Condiments & Sauces->Ketchup & Mustard,,4.79,,,,,,,GCSKM011,"GCSKM011,JPG",,taxable,standard-rate
Signal Ketchup 1L,,,Groceries->Condiments & Sauces->Ketchup & Mustard,,2.17,,,,,,,GCSKM012,"GCSKM012,JPG",,taxable,standard-rate
Heinz Ketchup 1.5L,,,Groceries->Condiments & Sauces->Ketchup & Mustard,,6.15,,,,,,,GCSKM013,"GCSKM013,JPG",,taxable,standard-rate
French's Yellow Mustard 225ml,,,Groceries->Condiments & Sauces->Ketchup & Mustard,,1.69,,,,,,,GCSKM014,"GCSKM014,JPG",,taxable,standard-rate
French's Yellow Mustard 400ml,,,Groceries->Condiments & Sauces->Ketchup & Mustard,,2.49,,,,,,,GCSKM015,"GCSKM015,JPG",,taxable,standard-rate
French's Yellow Mustard 550ml,,,Groceries->Condiments & Sauces->Ketchup & Mustard,,3.55,,,,,,,GCSKM016,"GCSKM016,JPG",,taxable,standard-rate
Compliments Prepared Mustard 250ml,,,Groceries->Condiments & Sauces->Ketchup & Mustard,,0.99,,,,,,,GCSKM017,"GCSKM017,JPG",,taxable,standard-rate
Compliments Prepared Mustard 500ml,,,Groceries->Condiments & Sauces->Ketchup & Mustard,,1.49,,,,,,,GCSKM018,"GCSKM018,JPG",,taxable,standard-rate
Compliments Prepared Mustard 650ml,,,Groceries->Condiments & Sauces->Ketchup & Mustard,,1.99,,,,,,,GCSKM019,"GCSKM019,JPG",,taxable,standard-rate
Compliments Prepared Mustard 875ml,,,Groceries->Condiments & Sauces->Ketchup & Mustard,,2.29,,,,,,,GCSKM020,"GCSKM020,JPG",,taxable,standard-rate
