title,description,short_description,category,stock,price,regular_price,sales_prices,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Planters Trail Mix Vanilla Nuts & Cranberry Mix 180g,,,Groceries->Nuts & Seeds->Nuts,,3.29,,,,,,,GNSN001,GNSN001.JPG,,Taxable,standard-rate
Planters 100Calories Almonds 18g 12pk,,,Groceries->Nuts & Seeds->Nuts,,4.99,,,,,,,GNSN002,GNSN002.JPG,,Taxable,standard-rate
Planters 100Calories Vitality 20g 12pk,,,Groceries->Nuts & Seeds->Nuts,,4.99,,,,,,,GNSN003,GNSN003.JPG,,Taxable,standard-rate
Planters Peanuts Brittle 230g,,,Groceries->Nuts & Seeds->Nuts,,2.99,,,,,,,GNSN004,GNSN004.JPG,,Taxable,standard-rate
Planters Trail Mix Nut Candy & Fruit Mix 180g,,,Groceries->Nuts & Seeds->Nuts,,3.29,,,,,,,GNSN005,GNSN005.JPG,,Taxable,standard-rate
Planters Cracked Black Pepper Cashews 275g,,,Groceries->Nuts & Seeds->Nuts,,7.49,,,,,,,GNSN006,GNSN006.JPG,,Taxable,standard-rate
Planters Almonds Roasted Salted 250g,,,Groceries->Nuts & Seeds->Nuts,,6.49,,,,,,,GNSN007,GNSN007.JPG,,Taxable,standard-rate
Planters Cocktail Peanuts Tin 300g,,,Groceries->Nuts & Seeds->Nuts,,4.49,,,,,,,GNSN008,GNSN008.JPG,,Taxable,standard-rate
Planters Roasted Cashews with Salt Tin 275g,,,Groceries->Nuts & Seeds->Nuts,,7.49,,,,,,,GNSN009,GNSN009.JPG,,Taxable,standard-rate
Planters Peanuts Light Sea Salted 300g,,,Groceries->Nuts & Seeds->Nuts,,3.49,,,,,,,GNSN010,GNSN010.JPG,,Taxable,standard-rate
Planters Praline Nut Mix 575g,,,Groceries->Nuts & Seeds->Nuts,,6.49,,,,,,,GNSN011,GNSN011.JPG,,Taxable,standard-rate
Planters Honey Nut Mix 575g,,,Groceries->Nuts & Seeds->Nuts,,6.49,,,,,,,GNSN012,GNSN012.JPG,,Taxable,standard-rate
Planters Dry Roasted Peanuts 600g,,,Groceries->Nuts & Seeds->Nuts,,5.49,,,,,,,GNSN013,GNSN013.JPG,,Taxable,standard-rate
Compliments Dry Roasted No Oil Peanuts,,,Groceries->Nuts & Seeds->Nuts,,4.99,,,,,,,GNSN014,GNSN014.JPG,,Taxable,standard-rate
Compliments Honey Roasted Peanuts 700g,,,Groceries->Nuts & Seeds->Nuts,,4.99,,,,,,,GNSN015,GNSN015.JPG,,Taxable,standard-rate
Compliments Dry Roasted Peanuts Seasoned 700g,,,Groceries->Nuts & Seeds->Nuts,,4.99,,,,,,,GNSN016,GNSN016.JPG,,Taxable,standard-rate
Compliments Mix Nuts 50% Cshw Rst 275g,,,Groceries->Nuts & Seeds->Nuts,,6.49,,,,,,,GNSN017,GNSN017.JPG,,Taxable,standard-rate
Compliments Party Nuts 60% Peanuts 300g,,,Groceries->Nuts & Seeds->Nuts,,3.99,,,,,,,GNSN018,GNSN018.JPG,,Taxable,standard-rate
Compliments Cashew Roasted No Salt Added 275g,,,Groceries->Nuts & Seeds->Nuts,,6.49,,,,,,,GNSN019,GNSN019.JPG,,Taxable,standard-rate
Compliments Cashews Roasted Salt 275g,,,Groceries->Nuts & Seeds->Nuts,,6.49,,,,,,,GNSN020,GNSN020.JPG,,Taxable,standard-rate
Planters Dry Roasted Pistachios 250g,,,Groceries->Nuts & Seeds->Nuts,,6.49,,,,,,,GNSN021,GNSN021.JPG,,Taxable,standard-rate
Planters Pistachios Sea Salt & Black Pepper 250g,,,Groceries->Nuts & Seeds->Nuts,,6.49,,,,,,,GNSN022,GNSN022.JPG,,Taxable,standard-rate
Planters Cocktail Nuts No Salt 300g,,,Groceries->Nuts & Seeds->Nuts,,4.29,,,,,,,GNSN023,GNSN023.JPG,,Taxable,standard-rate
Planters Cocktail Peanuts 600g,,,Groceries->Nuts & Seeds->Nuts,,5.99,,,,,,,GNSN024,GNSN024.JPG,,Taxable,standard-rate
Planters Cocktail Peanuts 300g,,,Groceries->Nuts & Seeds->Nuts,,4.29,,,,,,,GNSN025,GNSN025.JPG,,Taxable,standard-rate
Planters Trail Mix Fruit & Nut 350g,,,Groceries->Nuts & Seeds->Nuts,,4.29,,,,,,,GNSN026,GNSN026.JPG,,Taxable,standard-rate
Compliments Deluxe Trail Mix Nuts/Cranberry 400g,,,Groceries->Nuts & Seeds->Nuts,,3.99,,,,,,,GNSN027,GNSN027.JPG,,Taxable,standard-rate
Compliments Deluxe Trail Mix Nuts/Fruit 400g,,,Groceries->Nuts & Seeds->Nuts,,3.99,,,,,,,GNSN028,GNSN028.JPG,,Taxable,standard-rate
Cinnabon Cinnamon Almonds 200g,,,Groceries->Nuts & Seeds->Nuts,,5.99,,,,,,,GNSN029,GNSN029.JPG,,Taxable,standard-rate
Compliments Almonds Hickory Smoked 300g,,,Groceries->Nuts & Seeds->Nuts,,5.99,,,,,,,GNSN030,GNSN030.JPG,,Taxable,standard-rate
Sensations Kettle Cooked Pnuts 3 Pep BBQ 275g,,,Groceries->Nuts & Seeds->Nuts,,2.99,,,,,,,GNSN031,GNSN031.JPG,,Taxable,standard-rate
Sensations Peanuts Kettle Cooked Sea Salt & Black Pepper 275g,,,Groceries->Nuts & Seeds->Nuts,,2.99,,,,,,,GNSN032,GNSN032.JPG,,Taxable,standard-rate
Sensations Peanuts Kettle Cooked Chiu & Lime 275g,,,Groceries->Nuts & Seeds->Nuts,,2.99,,,,,,,GNSN033,GNSN033.JPG,,Taxable,standard-rate
Sensations Peanuts Kettle Cooked Jalapeno 275g,,,Groceries->Nuts & Seeds->Nuts,,2.99,,,,,,,GNSN034,GNSN034.JPG,,Taxable,standard-rate
Compliments Peanuts BBQ  300g,,,Groceries->Nuts & Seeds->Nuts,,3.29,,,,,,,GNSN035,GNSN035.JPG,,Taxable,standard-rate
Compliments Peanuts Roasted & Salted 300g,,,Groceries->Nuts & Seeds->Nuts,,3.29,,,,,,,GNSN036,GNSN036.JPG,,Taxable,standard-rate
Compliments Peanuts Roasted & Salted 600g,,,Groceries->Nuts & Seeds->Nuts,,3.99,,,,,,,GNSN037,GNSN037.JPG,,Taxable,standard-rate
